stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
35,0,ANDAMAN & NICOBAR ISLANDS,0,ANDAMAN & NICOBAR ISLANDS,0,ANDAMAN & NICOBAR ISLANDS
35,638,Nicobars,0,Nicobars,0,Nicobars
35,638,Nicobars,5916,Car Nicobar,0,Car Nicobar
35,638,Nicobars,5916,Car Nicobar,645012,Mus
35,638,Nicobars,5916,Car Nicobar,645013,Teetop
35,638,Nicobars,5916,Car Nicobar,645014,Sawai
35,638,Nicobars,5916,Car Nicobar,645015,Arong
35,638,Nicobars,5916,Car Nicobar,645016,Kimois
35,638,Nicobars,5916,Car Nicobar,645017,Kakana
35,638,Nicobars,5916,Car Nicobar,645018,IAF Camp
35,638,Nicobars,5916,Car Nicobar,645019,Malacca
35,638,Nicobars,5916,Car Nicobar,645020,Perka
35,638,Nicobars,5916,Car Nicobar,645021,Tamaloo
35,638,Nicobars,5916,Car Nicobar,645022,Kinyuka
35,638,Nicobars,5916,Car Nicobar,645023,Chuckchucha
35,638,Nicobars,5916,Car Nicobar,645024,Tapoiming
35,638,Nicobars,5916,Car Nicobar,645025,Big Lapati
35,638,Nicobars,5916,Car Nicobar,645026,Small Lapati
35,638,Nicobars,5916,Car Nicobar,645027,Kinmai
35,638,Nicobars,5917,Nancowry,0,Nancowry
35,638,Nicobars,5917,Nancowry,645028,Tahaila
35,638,Nicobars,5917,Nancowry,645029,Chongkamong
35,638,Nicobars,5917,Nancowry,645030,Alhiat
35,638,Nicobars,5917,Nancowry,645031,Kuitasuk
35,638,Nicobars,5917,Nancowry,645032,Raihion
35,638,Nicobars,5917,Nancowry,645033,Tillang Chong Island*
35,638,Nicobars,5917,Nancowry,645034,Aloorang
35,638,Nicobars,5917,Nancowry,645035,Aloora*
35,638,Nicobars,5917,Nancowry,645036,Enam
35,638,Nicobars,5917,Nancowry,645037,Luxi
35,638,Nicobars,5917,Nancowry,645038,Kalara*
35,638,Nicobars,5917,Nancowry,645039,Chukmachi
35,638,Nicobars,5917,Nancowry,645040,Safedbalu*
35,638,Nicobars,5917,Nancowry,645041,Minyuk
35,638,Nicobars,5917,Nancowry,645042,Kanahinot
35,638,Nicobars,5917,Nancowry,645043,Kalasi
35,638,Nicobars,5917,Nancowry,645044,Bengali
35,638,Nicobars,5917,Nancowry,645045,Bompoka Island*
35,638,Nicobars,5917,Nancowry,645046,Jhoola*
35,638,Nicobars,5917,Nancowry,645047,Jansin*
35,638,Nicobars,5917,Nancowry,645048,Hitlat*
35,638,Nicobars,5917,Nancowry,645049,Mavatapis/Maratapia*
35,638,Nicobars,5917,Nancowry,645050,Chonghipoh*
35,638,Nicobars,5917,Nancowry,645051,Sanaya*
35,638,Nicobars,5917,Nancowry,645052,Alkaipoh/Alkripoh*
35,638,Nicobars,5917,Nancowry,645053,Alhitoth/Alhiloth*
35,638,Nicobars,5917,Nancowry,645054,Katahuwa*
35,638,Nicobars,5917,Nancowry,645055,Kumikia*
35,638,Nicobars,5917,Nancowry,645056,Kamriak*
35,638,Nicobars,5917,Nancowry,645057,Hutnyak*
35,638,Nicobars,5917,Nancowry,645058,Ongulongho*
35,638,Nicobars,5917,Nancowry,645059,Chonsiyala*
35,638,Nicobars,5917,Nancowry,645060,Hontona*
35,638,Nicobars,5917,Nancowry,645061,Kulatapangia*
35,638,Nicobars,5917,Nancowry,645062,Vyavtapu*
35,638,Nicobars,5917,Nancowry,645063,Hoipoh*
35,638,Nicobars,5917,Nancowry,645064,Mapayala*
35,638,Nicobars,5917,Nancowry,645065,Chengtamilan*
35,638,Nicobars,5917,Nancowry,645066,Atkuna/Alkun*
35,638,Nicobars,5917,Nancowry,645067,Tani*
35,638,Nicobars,5917,Nancowry,645068,Kalminikum/Kalmenkam*
35,638,Nicobars,5917,Nancowry,645069,Hakonhala*
35,638,Nicobars,5917,Nancowry,645070,Reakomlong*
35,638,Nicobars,5917,Nancowry,645071,Sonomkuwa*
35,638,Nicobars,5917,Nancowry,645072,Tavinkin/Tavakin*
35,638,Nicobars,5917,Nancowry,645073,Halnatai/Hoinatai*
35,638,Nicobars,5917,Nancowry,645074,Altaful*
35,638,Nicobars,5917,Nancowry,645075,Kavatinpeu/Karahinpoh*
35,638,Nicobars,5917,Nancowry,645076,Alsama*
35,638,Nicobars,5917,Nancowry,645077,Kapanga*
35,638,Nicobars,5917,Nancowry,645078,Kupinga*
35,638,Nicobars,5917,Nancowry,645079,Mildera
35,638,Nicobars,5917,Nancowry,645080,Upper Katchal
35,638,Nicobars,5917,Nancowry,645081,Meenakshi Ram Nagar
35,638,Nicobars,5917,Nancowry,645082,Japan Tikri
35,638,Nicobars,5917,Nancowry,645083,E-Wall
35,638,Nicobars,5917,Nancowry,645084,W.B.Katchal/Hindra*
35,638,Nicobars,5917,Nancowry,645085,Alipa/Alips*
35,638,Nicobars,5917,Nancowry,645086,Lapat*
35,638,Nicobars,5917,Nancowry,645087,Hindra*
35,638,Nicobars,5917,Nancowry,645088,Mus*
35,638,Nicobars,5917,Nancowry,645089,Payak*
35,638,Nicobars,5917,Nancowry,645090,Neang*
35,638,Nicobars,5917,Nancowry,645091,Tapong incl. Kabila
35,638,Nicobars,5917,Nancowry,645092,Lanuanga*
35,638,Nicobars,5917,Nancowry,645093,Altheak
35,638,Nicobars,5917,Nancowry,645094,Al-Hit-Touch/Balu Basti
35,638,Nicobars,5917,Nancowry,645095,Malacca*
35,638,Nicobars,5917,Nancowry,645096,Champin
35,638,Nicobars,5917,Nancowry,645097,Hinnunga*
35,638,Nicobars,5917,Nancowry,645098,Tapani/Tapainy*
35,638,Nicobars,5917,Nancowry,645099,Inroak/Chinlak*
35,638,Nicobars,5917,Nancowry,645100,Itoi*(HITUI)
35,638,Nicobars,5917,Nancowry,645101,Alreak*
35,638,Nicobars,5917,Nancowry,645102,Hintona*
35,638,Nicobars,5917,Nancowry,645103,Uper Tapu*
35,638,Nicobars,5917,Nancowry,645104,Pilpilow
35,638,Nicobars,5917,Nancowry,645105,Neeche Tapu*
35,638,Nicobars,5917,Nancowry,645106,Manjula*
35,638,Nicobars,5917,Nancowry,645107,Okiya/Chiya*
35,638,Nicobars,5917,Nancowry,645108,Olinpon/Alhinpon*
35,638,Nicobars,5917,Nancowry,645109,Bumpal*
35,638,Nicobars,5917,Nancowry,645110,Karan/Karav*
35,638,Nicobars,5917,Nancowry,645111,Daring
35,638,Nicobars,5917,Nancowry,645112,Maru*
35,638,Nicobars,5917,Nancowry,645113,Chanel/Chanol*
35,638,Nicobars,5917,Nancowry,645114,Tanae*
35,638,Nicobars,5917,Nancowry,645115,Alointung*
35,638,Nicobars,5917,Nancowry,645116,Banderkari/Pulu
35,638,Nicobars,5917,Nancowry,645117,Alpintu/Alpintung*
35,638,Nicobars,5917,Nancowry,645118,Tomae/Inmae*
35,638,Nicobars,5917,Nancowry,645119,Changua/Changup
35,638,Nicobars,5917,Nancowry,645120,Masala Tapu*
35,638,Nicobars,5917,Nancowry,645121,Alukian/Alhukheck
35,638,Nicobars,5917,Nancowry,645122,Knot
35,638,Nicobars,5917,Nancowry,645123,Inmae*
35,638,Nicobars,5917,Nancowry,645124,Payuha
35,638,Nicobars,5917,Nancowry,645125,Munak incl. Ponioo/Moul
35,638,Nicobars,5917,Nancowry,645126,Ramzoo*(Ramjaw)
35,638,Nicobars,5917,Nancowry,645127,Kamorta/Kalatapu(Incl.Sanuh)
35,638,Nicobars,5917,Nancowry,645128,Chota Inak
35,638,Nicobars,5917,Nancowry,645129,Berainak/Badnak
35,638,Nicobars,5917,Nancowry,645130,Vikas Nagar
35,638,Nicobars,5917,Nancowry,645131,Kakana
35,638,Nicobars,5917,Nancowry,645132,Nyicalang*
35,638,Nicobars,5917,Nancowry,645133,Mohreak/Kohreakap*
35,638,Nicobars,5917,Nancowry,645134,Kuikua*
35,638,Nicobars,5917,Nancowry,645135,Safedbalu*
35,638,Nicobars,5917,Nancowry,645136,Hockook*
35,638,Nicobars,5917,Nancowry,645137,Trinket*
35,638,Nicobars,5917,Nancowry,645138,Tapiang*
35,638,Nicobars,5917,Nancowry,645139,Kapila*
35,638,Nicobars,5918,Great Nicobar,0,Great Nicobar
35,638,Nicobars,5918,Great Nicobar,645140,Pulomilo
35,638,Nicobars,5918,Great Nicobar,645141,Minlana/Minlan
35,638,Nicobars,5918,Great Nicobar,645142,Anul/Anula
35,638,Nicobars,5918,Great Nicobar,645143,Makhahu/Makachua
35,638,Nicobars,5918,Great Nicobar,645144,Akupa
35,638,Nicobars,5918,Great Nicobar,645145,Inlock/Infock
35,638,Nicobars,5918,Great Nicobar,645146,Pulotalia/Pulotohio
35,638,Nicobars,5918,Great Nicobar,645147,Pulobaha/Pathathifen
35,638,Nicobars,5918,Great Nicobar,645148,Bewai/Kuwak
35,638,Nicobars,5918,Great Nicobar,645149,Kiyang
35,638,Nicobars,5918,Great Nicobar,645150,Pulloullo/Puloulo
35,638,Nicobars,5918,Great Nicobar,645151,Hoin incl. Ikuia
35,638,Nicobars,5918,Great Nicobar,645152,Pea
35,638,Nicobars,5918,Great Nicobar,645153,Pulobha/Pulobahan
35,638,Nicobars,5918,Great Nicobar,645154,Hokesiang
35,638,Nicobars,5918,Great Nicobar,645155,Pattia (Pulopattia)
35,638,Nicobars,5918,Great Nicobar,645156,Olinchi/Bombay
35,638,Nicobars,5918,Great Nicobar,645157,Inlock/Pattia
35,638,Nicobars,5918,Great Nicobar,645158,Pulopanja
35,638,Nicobars,5918,Great Nicobar,645159,Elahi/Ilhoya
35,638,Nicobars,5918,Great Nicobar,645160,Inod
35,638,Nicobars,5918,Great Nicobar,645161,Pehayo
35,638,Nicobars,5918,Great Nicobar,645162,Bahua
35,638,Nicobars,5918,Great Nicobar,645163,Kondul
35,638,Nicobars,5918,Great Nicobar,645164,Pulobed/Lababu
35,638,Nicobars,5918,Great Nicobar,645165,Katahu
35,638,Nicobars,5918,Great Nicobar,645166,Afra Bay
35,638,Nicobars,5918,Great Nicobar,645167,Dairkurat
35,638,Nicobars,5918,Great Nicobar,645168,Alexandera River
35,638,Nicobars,5918,Great Nicobar,645169,Ayouk
35,638,Nicobars,5918,Great Nicobar,645170,Pulobed
35,638,Nicobars,5918,Great Nicobar,645171,Pulokunji
35,638,Nicobars,5918,Great Nicobar,645172,Shompen Village-A
35,638,Nicobars,5918,Great Nicobar,645173,Renguang
35,638,Nicobars,5918,Great Nicobar,645174,Dogmar River
35,638,Nicobars,5918,Great Nicobar,645175,Kopenheat
35,638,Nicobars,5918,Great Nicobar,645176,Shompen Village-B
35,638,Nicobars,5918,Great Nicobar,645177,Kasintung
35,638,Nicobars,5918,Great Nicobar,645178,Koe
35,638,Nicobars,5918,Great Nicobar,645179,Danlet
35,638,Nicobars,5918,Great Nicobar,645180,Pulobhabi
35,638,Nicobars,5918,Great Nicobar,645181,Patatiya
35,638,Nicobars,5918,Great Nicobar,645182,Hin-Pou-Chi
35,638,Nicobars,5918,Great Nicobar,645183,Kokeon
