stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
12,0,ARUNACHAL PRADESH,0,ARUNACHAL PRADESH,0,ARUNACHAL PRADESH
12,245,Tawang,0,Tawang,0,Tawang
12,245,Tawang,1556,Zemithang,0,Zemithang
12,245,Tawang,1556,Zemithang,261377,Shoktsen
12,245,Tawang,1556,Zemithang,261378,Brokenthang
12,245,Tawang,1556,Zemithang,261379,Lumpo
12,245,Tawang,1556,Zemithang,261380,T.Gonpa
12,245,Tawang,1556,Zemithang,261381,Muchut (Kharakpu)
12,245,Tawang,1556,Zemithang,261382,Gorsam
12,245,Tawang,1556,Zemithang,261383,Zemithang H.Q.
12,245,Tawang,1556,Zemithang,261384,Kharman
12,245,Tawang,1556,Zemithang,261385,Kelengteng
12,245,Tawang,1556,Zemithang,261386,Dung
12,245,Tawang,1556,Zemithang,261387,Khobleteng
12,245,Tawang,1556,Zemithang,261388,B.T.K (Chumrong)
12,245,Tawang,1556,Zemithang,261389,Tebo
12,245,Tawang,1556,Zemithang,261390,Hanggang
12,245,Tawang,1556,Zemithang,261391,Thikshi
12,245,Tawang,1556,Zemithang,261392,Sirdi
12,245,Tawang,1556,Zemithang,261393,Khebleteng
12,245,Tawang,1556,Zemithang,261394,Shakti
12,245,Tawang,1557,LUMLA ,0,LUMLA 
12,245,Tawang,1557,LUMLA ,261395,Lumla H.Q.
12,245,Tawang,1557,LUMLA ,261396,Lumla Village (Soleng)
12,245,Tawang,1557,LUMLA ,261397,New Lumla
12,245,Tawang,1557,LUMLA ,261398,Khozo (Melenghar) (Tabrang) (Mayur)
12,245,Tawang,1557,LUMLA ,261399,Mangnam
12,245,Tawang,1557,LUMLA ,261400,Thrillam
12,245,Tawang,1557,LUMLA ,261401,Bukiong
12,245,Tawang,1557,LUMLA ,261402,Sakyur
12,245,Tawang,1557,LUMLA ,261403,Hoongla
12,245,Tawang,1557,LUMLA ,261404,Pharmay
12,245,Tawang,1557,LUMLA ,261405,Khuminthang
12,245,Tawang,1557,LUMLA ,261406,Dugumba
12,245,Tawang,1557,LUMLA ,261407,Suhung(Jung)
12,245,Tawang,1557,LUMLA ,261408,Sazo
12,245,Tawang,1557,LUMLA ,261409,Kungba
12,245,Tawang,1557,LUMLA ,261410,Kharteng
12,245,Tawang,1557,LUMLA ,261411,Phomang
