stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
18,0,ASSAM,0,ASSAM,0,ASSAM
18,300,Kokrajhar,0,Kokrajhar,0,Kokrajhar
18,300,Kokrajhar,2001,Gossaigaon (Pt),0,Gossaigaon (Pt)
18,300,Kokrajhar,2001,Gossaigaon (Pt),279595,Khokhshaguri Block
18,300,Kokrajhar,2001,Gossaigaon (Pt),279596,Khukshiguri No.3
18,300,Kokrajhar,2001,Gossaigaon (Pt),279597,Khukshiguri No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279598,Moktaigaon-I
18,300,Kokrajhar,2001,Gossaigaon (Pt),279599,SapkataNo.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279600,Matiapara No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279601,Matiapara No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279602,Borjabil No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279603,Shyamdasguri
18,300,Kokrajhar,2001,Gossaigaon (Pt),279604,Kathalguri
18,300,Kokrajhar,2001,Gossaigaon (Pt),279605,Kanhupara No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279606,Kanhupara No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279607,Hatigarh No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279608,Thaigirguri
18,300,Kokrajhar,2001,Gossaigaon (Pt),279609,Panbari No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279610,Panbari No.3
18,300,Kokrajhar,2001,Gossaigaon (Pt),279611,Fersuabari No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279612,Fersuabari No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279613,Durabil
18,300,Kokrajhar,2001,Gossaigaon (Pt),279614,Gambariguri
18,300,Kokrajhar,2001,Gossaigaon (Pt),279615,Narayanpur
18,300,Kokrajhar,2001,Gossaigaon (Pt),279616,Simlaguri No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279617,Panbari No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279618,Hatigarh No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279619,Joymaguri No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279620,Kandanapara No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279621,Saljuri No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279622,Saljuri No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279623,Borjabil No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279624,Hashrawbari-II
18,300,Kokrajhar,2001,Gossaigaon (Pt),279625,Hashrawbari-I
18,300,Kokrajhar,2001,Gossaigaon (Pt),279626,SapkataNo.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279627,Haoriapet-I
18,300,Kokrajhar,2001,Gossaigaon (Pt),279628,Haoriapet-II
18,300,Kokrajhar,2001,Gossaigaon (Pt),279629,Bajugaon No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279630,Moktaigaon-II
18,300,Kokrajhar,2001,Gossaigaon (Pt),279631,Khukshiguri No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279632,Jaraguri Block
18,300,Kokrajhar,2001,Gossaigaon (Pt),279633,Jaraguri P.G.R.-I
18,300,Kokrajhar,2001,Gossaigaon (Pt),279634,Jaraguri No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279635,Bajugaon No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279636,Goladangi No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279637,Goladangi No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279638,Burichatam No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279639,Palashguri-II
18,300,Kokrajhar,2001,Gossaigaon (Pt),279640,Palashguri-I
18,300,Kokrajhar,2001,Gossaigaon (Pt),279641,Panowari
18,300,Kokrajhar,2001,Gossaigaon (Pt),279642,Saljuri No.3
18,300,Kokrajhar,2001,Gossaigaon (Pt),279643,Kandanapara No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279644,Joyma No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279645,Garokotora No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279646,Gardanpara
18,300,Kokrajhar,2001,Gossaigaon (Pt),279647,Simlaguri No.2
18,300,Kokrajhar,2001,Gossaigaon (Pt),279648,Gambaribil
18,300,Kokrajhar,2001,Gossaigaon (Pt),279649,Sinsilabari
18,300,Kokrajhar,2001,Gossaigaon (Pt),279650,Mukuldanga No.1
18,300,Kokrajhar,2001,Gossaigaon (Pt),279651,Surjyakhata
