stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
10,203,Pashchim Champaran,0,Pashchim Champaran,0,Pashchim Champaran
10,203,Pashchim Champaran,1013,Sidhaw,0,Sidhaw
10,203,Pashchim Champaran,1013,Sidhaw,215989,Kalapani
10,203,Pashchim Champaran,1013,Sidhaw,215990,Bhaisalotan
10,203,Pashchim Champaran,1013,Sidhaw,215991,Tharhi
10,203,Pashchim Champaran,1013,Sidhaw,215992,Pipra
10,203,Pashchim Champaran,1013,Sidhaw,215993,Kotaraha
10,203,Pashchim Champaran,1013,Sidhaw,215994,Rampurwa
10,203,Pashchim Champaran,1013,Sidhaw,215995,Lachhmipur
10,203,Pashchim Champaran,1013,Sidhaw,215996,Daruabari
10,203,Pashchim Champaran,1013,Sidhaw,215997,Santpur
10,203,Pashchim Champaran,1013,Sidhaw,215998,Soharia
10,203,Pashchim Champaran,1013,Sidhaw,215999,Parsauni
10,203,Pashchim Champaran,1013,Sidhaw,216000,Balgangwa
10,203,Pashchim Champaran,1013,Sidhaw,216001,Jharharwa
10,203,Pashchim Champaran,1013,Sidhaw,216002,Shiunaha
10,203,Pashchim Champaran,1013,Sidhaw,216003,Champapur
10,203,Pashchim Champaran,1013,Sidhaw,216004,Narainapur
10,203,Pashchim Champaran,1013,Sidhaw,216005,Gonauli
10,203,Pashchim Champaran,1013,Sidhaw,216006,Malkauli
10,203,Pashchim Champaran,1013,Sidhaw,216007,Gorar
10,203,Pashchim Champaran,1013,Sidhaw,216008,Satchubanwa
10,203,Pashchim Champaran,1013,Sidhaw,216009,Pipra
10,203,Pashchim Champaran,1013,Sidhaw,216010,Songaharwa
10,203,Pashchim Champaran,1013,Sidhaw,216011,Dardari
10,203,Pashchim Champaran,1013,Sidhaw,216012,Misraulia
10,203,Pashchim Champaran,1013,Sidhaw,216013,Kotraha
10,203,Pashchim Champaran,1013,Sidhaw,216014,Naurangiya
10,203,Pashchim Champaran,1013,Sidhaw,216015,Kerai
10,203,Pashchim Champaran,1013,Sidhaw,216016,Berai
10,203,Pashchim Champaran,1013,Sidhaw,216017,Ghurauli
10,203,Pashchim Champaran,1013,Sidhaw,216018,Amhat
10,203,Pashchim Champaran,1013,Sidhaw,216019,Mohna
10,203,Pashchim Champaran,1013,Sidhaw,216020,Matiaria
10,203,Pashchim Champaran,1013,Sidhaw,216021,Amwa
10,203,Pashchim Champaran,1013,Sidhaw,216022,Katharwa
10,203,Pashchim Champaran,1013,Sidhaw,216023,Dewtaha
10,203,Pashchim Champaran,1013,Sidhaw,216024,Mahuawa
10,203,Pashchim Champaran,1013,Sidhaw,216025,Bankatwa
10,203,Pashchim Champaran,1013,Sidhaw,216026,Semra
10,203,Pashchim Champaran,1013,Sidhaw,216027,Harnatanr
10,203,Pashchim Champaran,1013,Sidhaw,216028,Mahdewa
10,203,Pashchim Champaran,1013,Sidhaw,216029,Bairiya Kalan
10,203,Pashchim Champaran,1013,Sidhaw,216030,Bairiya Khurd
10,203,Pashchim Champaran,1013,Sidhaw,216031,Chhatraul
10,203,Pashchim Champaran,1013,Sidhaw,216032,Garkatti
10,203,Pashchim Champaran,1013,Sidhaw,216033,Jarar
10,203,Pashchim Champaran,1013,Sidhaw,216034,Sinagahi
10,203,Pashchim Champaran,1013,Sidhaw,216035,Balua
10,203,Pashchim Champaran,1013,Sidhaw,216036,Bihar
10,203,Pashchim Champaran,1013,Sidhaw,216037,Belahwa
10,203,Pashchim Champaran,1013,Sidhaw,216038,Pachrukha
10,203,Pashchim Champaran,1013,Sidhaw,216039,Madanpur
10,203,Pashchim Champaran,1013,Sidhaw,216040,Rampurwa
10,203,Pashchim Champaran,1013,Sidhaw,216041,Rampur
10,203,Pashchim Champaran,1013,Sidhaw,216042,Naakar Rampur
10,203,Pashchim Champaran,1013,Sidhaw,216043,Jamunapur
10,203,Pashchim Champaran,1013,Sidhaw,216044,Pipra Dharauli
10,203,Pashchim Champaran,1013,Sidhaw,216045,Chegauna
10,203,Pashchim Champaran,1013,Sidhaw,216046,Binwaliya
10,203,Pashchim Champaran,1013,Sidhaw,216047,Dudhaura
10,203,Pashchim Champaran,1013,Sidhaw,216048,Karmaha
10,203,Pashchim Champaran,1013,Sidhaw,216049,Budhsar
10,203,Pashchim Champaran,1013,Sidhaw,216050,Batsara
10,203,Pashchim Champaran,1013,Sidhaw,216051,Sidhawa
10,203,Pashchim Champaran,1013,Sidhaw,216052,Naraingarh
10,203,Pashchim Champaran,1013,Sidhaw,216053,Behuarwa
10,203,Pashchim Champaran,1013,Sidhaw,216054,Gandhariya
10,203,Pashchim Champaran,1013,Sidhaw,216055,Bairaidih
10,203,Pashchim Champaran,1013,Sidhaw,216056,Majhauwa
10,203,Pashchim Champaran,1013,Sidhaw,216057,Bakulia
10,203,Pashchim Champaran,1013,Sidhaw,216058,Khamaura
10,203,Pashchim Champaran,1013,Sidhaw,216059,Barba Khurd
10,203,Pashchim Champaran,1013,Sidhaw,216060,Misraulia
10,203,Pashchim Champaran,1013,Sidhaw,216061,Dewriya
10,203,Pashchim Champaran,1013,Sidhaw,216062,Bharchhi
10,203,Pashchim Champaran,1013,Sidhaw,216063,Khajoria
10,203,Pashchim Champaran,1013,Sidhaw,216064,Amolba
10,203,Pashchim Champaran,1013,Sidhaw,216065,PandarKhap
10,203,Pashchim Champaran,1013,Sidhaw,216066,Barba Kalan
10,203,Pashchim Champaran,1013,Sidhaw,216067,Tariwanwa
10,203,Pashchim Champaran,1013,Sidhaw,216068,Kunai Lachhmipur
10,203,Pashchim Champaran,1013,Sidhaw,216069,Bhelahi
10,203,Pashchim Champaran,1013,Sidhaw,216070,Mainahamothia
10,203,Pashchim Champaran,1013,Sidhaw,216071,Jamira
10,203,Pashchim Champaran,1013,Sidhaw,216072,Nawatanwa
10,203,Pashchim Champaran,1013,Sidhaw,216073,Tikulia
10,203,Pashchim Champaran,1013,Sidhaw,216074,Nawtanwan
10,203,Pashchim Champaran,1013,Sidhaw,216075,Paorha
10,203,Pashchim Champaran,1013,Sidhaw,216076,Barba
10,203,Pashchim Champaran,1013,Sidhaw,216077,Dharahia
10,203,Pashchim Champaran,1013,Sidhaw,216078,Hathiwanwan
10,203,Pashchim Champaran,1013,Sidhaw,216079,Dholbajwa
10,203,Pashchim Champaran,1013,Sidhaw,216080,Gangaulia
10,203,Pashchim Champaran,1013,Sidhaw,216081,Darhia
10,203,Pashchim Champaran,1013,Sidhaw,216082,Shiwraha
10,203,Pashchim Champaran,1013,Sidhaw,216083,Kerai Berai
10,203,Pashchim Champaran,1013,Sidhaw,216084,Marjadpur
10,203,Pashchim Champaran,1013,Sidhaw,216085,Ratanpurwa
10,203,Pashchim Champaran,1013,Sidhaw,216086,Lachhmipur
10,203,Pashchim Champaran,1013,Sidhaw,216087,Kataha
10,203,Pashchim Champaran,1013,Sidhaw,216088,Bhitaha
10,203,Pashchim Champaran,1013,Sidhaw,216089,Kadamha
10,203,Pashchim Champaran,1013,Sidhaw,216090,Chiutaha
10,203,Pashchim Champaran,1013,Sidhaw,216091,Bairagi Sonbarsa
10,203,Pashchim Champaran,1013,Sidhaw,216092,Serahwa
10,203,Pashchim Champaran,1013,Sidhaw,216093,Pipra
10,203,Pashchim Champaran,1013,Sidhaw,216094,Balkahwa
10,203,Pashchim Champaran,1013,Sidhaw,216095,Bairati 
10,203,Pashchim Champaran,1013,Sidhaw,216096,Barganw
10,203,Pashchim Champaran,1013,Sidhaw,216097,Kharhat
10,203,Pashchim Champaran,1013,Sidhaw,216098,Tonwa
10,203,Pashchim Champaran,1013,Sidhaw,216099,Barwa
10,203,Pashchim Champaran,1013,Sidhaw,216100,Belwachakhni
10,203,Pashchim Champaran,1013,Sidhaw,216101,Bariarwa
10,203,Pashchim Champaran,1013,Sidhaw,216102,Sapahi
10,203,Pashchim Champaran,1013,Sidhaw,216103,Mahuawa
10,203,Pashchim Champaran,1013,Sidhaw,216104,Tri-Bhauni
10,203,Pashchim Champaran,1013,Sidhaw,216105,Barwa
10,203,Pashchim Champaran,1013,Sidhaw,216106,Sirji Barhampur
10,203,Pashchim Champaran,1013,Sidhaw,216107,Bharauliya
10,203,Pashchim Champaran,1013,Sidhaw,216108,Shiuna
10,203,Pashchim Champaran,1013,Sidhaw,216109,Ramauliya
10,203,Pashchim Champaran,1013,Sidhaw,216110,Paikaulia
10,203,Pashchim Champaran,1013,Sidhaw,216111,Dhakdhaian
10,203,Pashchim Champaran,1013,Sidhaw,216112,Katkuina
10,203,Pashchim Champaran,1013,Sidhaw,216113,Medraul
10,203,Pashchim Champaran,1013,Sidhaw,216114,Semra
10,203,Pashchim Champaran,1013,Sidhaw,216115,Khurharia
10,203,Pashchim Champaran,1013,Sidhaw,216116,Panchgarwa
10,203,Pashchim Champaran,1013,Sidhaw,216117,Jhankaul
10,203,Pashchim Champaran,1013,Sidhaw,216118,Tarwalia
10,203,Pashchim Champaran,1013,Sidhaw,216119,Harka
10,203,Pashchim Champaran,1013,Sidhaw,216120,Singari
10,203,Pashchim Champaran,1013,Sidhaw,216121,Bhinda Chaur
10,203,Pashchim Champaran,1013,Sidhaw,216122,Leduaphas Phaso
10,203,Pashchim Champaran,1013,Sidhaw,216123,Patherwa
10,203,Pashchim Champaran,1013,Sidhaw,216124,Pharsahni
10,203,Pashchim Champaran,1013,Sidhaw,216125,Katphorwa
10,203,Pashchim Champaran,1013,Sidhaw,216126,Bauridouri
10,203,Pashchim Champaran,1013,Sidhaw,216127,Nayaganw
10,203,Pashchim Champaran,1013,Sidhaw,216128,Ausani
10,203,Pashchim Champaran,1013,Sidhaw,216129,Mangalpur
10,203,Pashchim Champaran,1013,Sidhaw,216130,Pokharbhinda
10,203,Pashchim Champaran,1013,Sidhaw,216131,Sukhban
10,203,Pashchim Champaran,1013,Sidhaw,216132,Goiti
10,203,Pashchim Champaran,1013,Sidhaw,216133,Amadih
10,203,Pashchim Champaran,1013,Sidhaw,216134,Bansganw
10,203,Pashchim Champaran,1013,Sidhaw,216135,Sabeya Musai
10,203,Pashchim Champaran,1013,Sidhaw,216136,Dharmauli
10,203,Pashchim Champaran,1013,Sidhaw,216137,Dumri
10,203,Pashchim Champaran,1013,Sidhaw,216138,Gorkati
10,203,Pashchim Champaran,1013,Sidhaw,216139,Bindauliya
10,203,Pashchim Champaran,1013,Sidhaw,216140,Mahuar
10,203,Pashchim Champaran,1013,Sidhaw,216141,Bangaria
10,203,Pashchim Champaran,1013,Sidhaw,216142,Maghariya
10,203,Pashchim Champaran,1013,Sidhaw,216143,Narwal
10,203,Pashchim Champaran,1013,Sidhaw,216144,Pokharbhinda
10,203,Pashchim Champaran,1013,Sidhaw,216145,Sakhui
10,203,Pashchim Champaran,1013,Sidhaw,216146,Barwal
10,203,Pashchim Champaran,1013,Sidhaw,216147,Nipania
10,203,Pashchim Champaran,1013,Sidhaw,216148,Pipari
10,203,Pashchim Champaran,1013,Sidhaw,216149,Serahwa
10,203,Pashchim Champaran,1013,Sidhaw,216150,Dhandhi
10,203,Pashchim Champaran,1013,Sidhaw,216151,Pokhar Bhinda
10,203,Pashchim Champaran,1013,Sidhaw,216152,Turki
10,203,Pashchim Champaran,1013,Sidhaw,216153,Semarkol
10,203,Pashchim Champaran,1013,Sidhaw,216154,Jharhar
10,203,Pashchim Champaran,1013,Sidhaw,216155,Pipra
10,203,Pashchim Champaran,1013,Sidhaw,216156,Khiria urf Gamharia
10,203,Pashchim Champaran,1013,Sidhaw,216157,Sikatia
10,203,Pashchim Champaran,1013,Sidhaw,216158,Bhagajua
10,203,Pashchim Champaran,1013,Sidhaw,216159,Machharganwan
10,203,Pashchim Champaran,1013,Sidhaw,216160,Gurwaliya
10,203,Pashchim Champaran,1013,Sidhaw,216161,Matiaria
10,203,Pashchim Champaran,1013,Sidhaw,216162,Chamwalia
10,203,Pashchim Champaran,1013,Sidhaw,216163,Gopaulia
10,203,Pashchim Champaran,1014,Ramnagar,0,Ramnagar
10,203,Pashchim Champaran,1014,Ramnagar,216164,Bargajwa
10,203,Pashchim Champaran,1014,Ramnagar,216165,Baikunthwa
10,203,Pashchim Champaran,1014,Ramnagar,216166,Mahui
10,203,Pashchim Champaran,1014,Ramnagar,216167,Semra
10,203,Pashchim Champaran,1014,Ramnagar,216168,Barganw
