stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
4,55,Chandigarh,0,Chandigarh,0,Chandigarh
4,55,Chandigarh,277,Chandigarh,0,Chandigarh
4,55,Chandigarh,277,Chandigarh,40089,Kaimbwala
4,55,Chandigarh,277,Chandigarh,40090,Sarangpur
4,55,Chandigarh,277,Chandigarh,40091,Dhanas
4,55,Chandigarh,277,Chandigarh,40092,Raipur Khurd
4,55,Chandigarh,277,Chandigarh,40093,Raipur Kalan & Makhan Majra
4,55,Chandigarh,277,Chandigarh,40094,Khuda Alisher (CT)
4,55,Chandigarh,277,Chandigarh,40095,"Mani Majra (R), Basti Kishangarh, Basti Bhagwanpur"
4,55,Chandigarh,277,Chandigarh,40096,Daria (CT)
4,55,Chandigarh,277,Chandigarh,40097,Mauli Jagran (CT)
4,55,Chandigarh,277,Chandigarh,40098,Behlana (CT)
4,55,Chandigarh,277,Chandigarh,40099,Lahora (OG)
4,55,Chandigarh,277,Chandigarh,40100,Khuda Jassu (OG)
