stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
22,0,CHHATTISGARH,0,CHHATTISGARH,0,CHHATTISGARH
22,400,Koriya,0,Koriya,0,Koriya
22,400,Koriya,3231,Bharatpur,0,Bharatpur
22,400,Koriya,3231,Bharatpur,431192,Badwahi
22,400,Koriya,3231,Bharatpur,431193,Barchha
22,400,Koriya,3231,Bharatpur,431194,Satkyari
22,400,Koriya,3231,Bharatpur,431195,Mehdauli
22,400,Koriya,3231,Bharatpur,431196,Ghughari
22,400,Koriya,3231,Bharatpur,431197,Bela
22,400,Koriya,3231,Bharatpur,431198,Madisarai
22,400,Koriya,3231,Bharatpur,431199,Harchoka
22,400,Koriya,3231,Bharatpur,431200,Karri
22,400,Koriya,3231,Bharatpur,431201,Chidaula
22,400,Koriya,3231,Bharatpur,431202,Chhirhatola
22,400,Koriya,3231,Bharatpur,431203,Bhuskatola
22,400,Koriya,3231,Bharatpur,431204,Udaki
22,400,Koriya,3231,Bharatpur,431205,Jawaritola
22,400,Koriya,3231,Bharatpur,431206,Poonji
22,400,Koriya,3231,Bharatpur,431207,Markhohi
22,400,Koriya,3231,Bharatpur,431208,Padauli
22,400,Koriya,3231,Bharatpur,431209,Janua
22,400,Koriya,3231,Bharatpur,431210,Deogarh
22,400,Koriya,3231,Bharatpur,431211,Ghordhara
22,400,Koriya,3231,Bharatpur,431212,Charkhar
22,400,Koriya,3231,Bharatpur,431213,Naudhiya
22,400,Koriya,3231,Bharatpur,431214,Pandri
22,400,Koriya,3231,Bharatpur,431215,Belgaon
22,400,Koriya,3231,Bharatpur,431216,Domhara
22,400,Koriya,3231,Bharatpur,431217,Harrai
22,400,Koriya,3231,Bharatpur,431218,Amaradandi
22,400,Koriya,3231,Bharatpur,431219,Singrauli
22,400,Koriya,3231,Bharatpur,431220,Kuwari
22,400,Koriya,3231,Bharatpur,431221,Larkonda
22,400,Koriya,3231,Bharatpur,431222,Dongritola
22,400,Koriya,3231,Bharatpur,431223,Badkadol
22,400,Koriya,3231,Bharatpur,431224,Bharatpur
22,400,Koriya,3231,Bharatpur,431225,Patwahi
