stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
26,0,DADRA & NAGAR HAVELI,0,DADRA & NAGAR HAVELI,0,DADRA & NAGAR HAVELI
26,496,Dadra & Nagar Haveli,0,Dadra & Nagar Haveli,0,Dadra & Nagar Haveli
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,0,Dadra & Nagar Haveli
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524932,Demani
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524933,Tighra
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524934,Vaghchhipa
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524935,Sili
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524936,Morkhal
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524937,Nana Randha
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524938,Mota Randha
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524939,Bonta
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524940,Kilavani
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524941,Galonda
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524942,Athola
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524943,Dhapsa
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524944,Kanadi
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524945,Kharadpada
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524946,Athal
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524947,Falandi
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524948,Umarkui
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524949,Saily
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524950,Kudacha
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524951,Karad
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524952,Vasona
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524953,Chinchpada
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524954,Luhari
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524955,Chikhali
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524956,Dapada
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524957,Pati
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524958,Khadoli
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524959,Surangi
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524960,Apti
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524961,Velugam
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524962,Amboli
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524963,Bindrabin
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524964,Tinoda
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524965,Khanvel
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524966,Umbervarni
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524967,Goratpada
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524968,Vaghchauda
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524969,Kothar
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524970,Medha
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524971,Ambabari
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524972,Jamalpada
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524973,Kauncha
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524974,Dudhani
26,496,Dadra & Nagar Haveli,3949,Dadra & Nagar Haveli,524975,Gunsa
