stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
30,0,GOA,0,GOA,0,GOA
30,585,North Goa,0,North Goa,0,North Goa
30,585,North Goa,5609,Pernem,0,Pernem
30,585,North Goa,5609,Pernem,626635,Tiracol 
30,585,North Goa,5609,Pernem,626636,Querim 
30,585,North Goa,5609,Pernem,626637,Paliem 
30,585,North Goa,5609,Pernem,626638,Corgao 
30,585,North Goa,5609,Pernem,626639,Pernem 
30,585,North Goa,5609,Pernem,626640,Poroscodem 
30,585,North Goa,5609,Pernem,626641,Casnem 
30,585,North Goa,5609,Pernem,626642,Varconda 
30,585,North Goa,5609,Pernem,626643,Amberem 
30,585,North Goa,5609,Pernem,626644,Uguem 
30,585,North Goa,5609,Pernem,626645,Tamboxem 
30,585,North Goa,5609,Pernem,626646,Torxem 
30,585,North Goa,5609,Pernem,626647,Mopa 
30,585,North Goa,5609,Pernem,626648,Chandel 
30,585,North Goa,5609,Pernem,626649,Alorna 
30,585,North Goa,5609,Pernem,626650,Ibrampur 
30,585,North Goa,5609,Pernem,626651,Cansarvornem 
30,585,North Goa,5609,Pernem,626652,Ozorim 
30,585,North Goa,5609,Pernem,626653,Dargalim 
30,585,North Goa,5609,Pernem,626654,Virnora 
30,585,North Goa,5609,Pernem,626655,Tuem 
30,585,North Goa,5609,Pernem,626656,Chopdem 
30,585,North Goa,5609,Pernem,626657,Agarvado 
30,585,North Goa,5609,Pernem,626658,Arambol (CT)
30,585,North Goa,5609,Pernem,626659,Mandrem (CT)
30,585,North Goa,5609,Pernem,626660,Parcem (CT)
30,585,North Goa,5609,Pernem,626661,Morjim (CT)
30,585,North Goa,5610,Bardez,0,Bardez
30,585,North Goa,5610,Bardez,626662,Oxel 
30,585,North Goa,5610,Bardez,626663,Camurlim 
30,585,North Goa,5610,Bardez,626664,Revora 
30,585,North Goa,5610,Bardez,626665,Nadora 
30,585,North Goa,5610,Bardez,626666,Pirna 
30,585,North Goa,5610,Bardez,626667,Moitem 
30,585,North Goa,5610,Bardez,626668,Assonora 
30,585,North Goa,5610,Bardez,626669,Sircaim 
30,585,North Goa,5610,Bardez,626670,Tivim 
30,585,North Goa,5610,Bardez,626671,Marna 
30,585,North Goa,5610,Bardez,626672,Assagao 
30,585,North Goa,5610,Bardez,626673,Arpora 
30,585,North Goa,5610,Bardez,626674,Nagoa 
30,585,North Goa,5610,Bardez,626675,Parra 
30,585,North Goa,5610,Bardez,626676,Verla 
30,585,North Goa,5610,Bardez,626677,Canca 
30,585,North Goa,5610,Bardez,626678,Bastora 
30,585,North Goa,5610,Bardez,626679,Paliem 
30,585,North Goa,5610,Bardez,626680,Punola 
30,585,North Goa,5610,Bardez,626681,Ucassaim 
30,585,North Goa,5610,Bardez,626682,Nachinola 
30,585,North Goa,5610,Bardez,626683,Corjuem 
30,585,North Goa,5610,Bardez,626684,Ponolem 
30,585,North Goa,5610,Bardez,626685,Calvim 
