stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
24,0,GUJARAT,0,GUJARAT,0,GUJARAT
24,468,Kachchh,0,Kachchh,0,Kachchh
24,468,Kachchh,3722,Lakhpat,0,Lakhpat
24,468,Kachchh,3722,Lakhpat,506426,Chher Nani
24,468,Kachchh,3722,Lakhpat,506427,Shinapar
24,468,Kachchh,3722,Lakhpat,506428,Punrajpar
24,468,Kachchh,3722,Lakhpat,506429,Kaner
24,468,Kachchh,3722,Lakhpat,506430,Lakhpat
24,468,Kachchh,3722,Lakhpat,506431,Karanpar
24,468,Kachchh,3722,Lakhpat,506432,Guneri
24,468,Kachchh,3722,Lakhpat,506433,Sayra
24,468,Kachchh,3722,Lakhpat,506434,Mudhan
24,468,Kachchh,3722,Lakhpat,506435,Siyot
24,468,Kachchh,3722,Lakhpat,506436,Atdo
24,468,Kachchh,3722,Lakhpat,506437,Ukher
24,468,Kachchh,3722,Lakhpat,506438,Umarsar
24,468,Kachchh,3722,Lakhpat,506439,Pranpar
24,468,Kachchh,3722,Lakhpat,506440,Baiyavo
24,468,Kachchh,3722,Lakhpat,506441,Maldo
24,468,Kachchh,3722,Lakhpat,506442,Khengarpar
24,468,Kachchh,3722,Lakhpat,506443,Chher Moti
24,468,Kachchh,3722,Lakhpat,506444,Fatehpur
24,468,Kachchh,3722,Lakhpat,506445,Kapurasi
24,468,Kachchh,3722,Lakhpat,506446,Koriyani
24,468,Kachchh,3722,Lakhpat,506447,Mundhvay
24,468,Kachchh,3722,Lakhpat,506448,Panandhro
24,468,Kachchh,3722,Lakhpat,506449,Fulra
24,468,Kachchh,3722,Lakhpat,506450,Akari
24,468,Kachchh,3722,Lakhpat,506451,Chhuger
24,468,Kachchh,3722,Lakhpat,506452,Dhareshi
24,468,Kachchh,3722,Lakhpat,506453,Ghaduli
24,468,Kachchh,3722,Lakhpat,506454,Lakhapar
24,468,Kachchh,3722,Lakhpat,506455,Bana
24,468,Kachchh,3722,Lakhpat,506456,Jara
24,468,Kachchh,3722,Lakhpat,506457,Khatiyun (Khatiya)
24,468,Kachchh,3722,Lakhpat,506458,Virani
24,468,Kachchh,3722,Lakhpat,506459,Khanot
24,468,Kachchh,3722,Lakhpat,506460,Naredi
24,468,Kachchh,3722,Lakhpat,506461,Kaiyari
24,468,Kachchh,3722,Lakhpat,506462,Dhunay
24,468,Kachchh,3722,Lakhpat,506463,Koteshvar
24,468,Kachchh,3722,Lakhpat,506464,Narayan Sarovar
24,468,Kachchh,3722,Lakhpat,506465,Kanoj
24,468,Kachchh,3722,Lakhpat,506466,Sheh
24,468,Kachchh,3722,Lakhpat,506467,Godhatad
24,468,Kachchh,3722,Lakhpat,506468,Mindhiyari
24,468,Kachchh,3722,Lakhpat,506469,Subhashpar(Sanandhro)
24,468,Kachchh,3722,Lakhpat,506470,Dayapar
24,468,Kachchh,3722,Lakhpat,506471,Amiya
24,468,Kachchh,3722,Lakhpat,506472,Haroda
24,468,Kachchh,3722,Lakhpat,506473,Jumara
24,468,Kachchh,3722,Lakhpat,506474,Nara
24,468,Kachchh,3722,Lakhpat,506475,Junachay
24,468,Kachchh,3722,Lakhpat,506476,Meghpar
24,468,Kachchh,3722,Lakhpat,506477,Dolatpar
24,468,Kachchh,3722,Lakhpat,506478,Bitiyari
24,468,Kachchh,3722,Lakhpat,506479,Chamra
24,468,Kachchh,3722,Lakhpat,506480,Mudiya
24,468,Kachchh,3722,Lakhpat,506481,Bhudha (Budha)
24,468,Kachchh,3722,Lakhpat,506482,Guhar Nani
24,468,Kachchh,3722,Lakhpat,506483,Guhar Moti
24,468,Kachchh,3722,Lakhpat,506484,Tahera
24,468,Kachchh,3722,Lakhpat,506485,Kunri
24,468,Kachchh,3722,Lakhpat,506486,Hamankhudi
24,468,Kachchh,3722,Lakhpat,506487,Rodasar Lakki
24,468,Kachchh,3722,Lakhpat,506488,Lakhmirani
24,468,Kachchh,3722,Lakhpat,506489,Naredo
24,468,Kachchh,3722,Lakhpat,506490,Baranda
24,468,Kachchh,3722,Lakhpat,506491,Chakrai
24,468,Kachchh,3722,Lakhpat,506492,Khadak
24,468,Kachchh,3722,Lakhpat,506493,Ravareshvar
24,468,Kachchh,3722,Lakhpat,506494,Ashaldi (Suja Vandh)
24,468,Kachchh,3722,Lakhpat,506495,Matana Madh
24,468,Kachchh,3722,Lakhpat,506496,Denma
24,468,Kachchh,3722,Lakhpat,506497,Dhrang
24,468,Kachchh,3722,Lakhpat,506498,Murchbana
24,468,Kachchh,3722,Lakhpat,506499,Suja Vandh
24,468,Kachchh,3722,Lakhpat,506500,Samjiaro
24,468,Kachchh,3722,Lakhpat,506501,Saran Moti
24,468,Kachchh,3722,Lakhpat,506502,Saran Nani
24,468,Kachchh,3722,Lakhpat,506503,Harudi
24,468,Kachchh,3722,Lakhpat,506504,Jadva
24,468,Kachchh,3722,Lakhpat,506505,Ratipar
24,468,Kachchh,3722,Lakhpat,506506,Bhujpar
24,468,Kachchh,3722,Lakhpat,506507,Mori
24,468,Kachchh,3722,Lakhpat,506508,Gugariyana
24,468,Kachchh,3722,Lakhpat,506509,Pipar
24,468,Kachchh,3722,Lakhpat,506510,Khirsara (Gunau)
24,468,Kachchh,3722,Lakhpat,506511,Gunau
24,468,Kachchh,3722,Lakhpat,506512,Maniara
24,468,Kachchh,3722,Lakhpat,506513,Pakho
24,468,Kachchh,3722,Lakhpat,506514,Kharai
24,468,Kachchh,3722,Lakhpat,506515,Kharoda
24,468,Kachchh,3722,Lakhpat,506516,Julrai
24,468,Kachchh,3722,Lakhpat,506517,Ramaniya
24,468,Kachchh,3722,Lakhpat,506518,Junagiya
24,468,Kachchh,3722,Lakhpat,506519,Ekliun
24,468,Kachchh,3722,Lakhpat,506520,Sambhada
24,468,Kachchh,3722,Lakhpat,506521,Kandhora
24,468,Kachchh,3722,Lakhpat,506522,Kotda
24,468,Kachchh,3722,Lakhpat,506523,Dedrani
24,468,Kachchh,3722,Lakhpat,506524,Bhadara Nana
24,468,Kachchh,3722,Lakhpat,506525,Bhadara Mota
24,468,Kachchh,3723,Rapar,0,Rapar
24,468,Kachchh,3723,Rapar,506526,Lodrani (Parkara Vandh)
24,468,Kachchh,3723,Rapar,506527,Versara
24,468,Kachchh,3723,Rapar,506528,Jatavada (Jilar Vandh)
24,468,Kachchh,3723,Rapar,506529,Dhabda
24,468,Kachchh,3723,Rapar,506530,Bela
24,468,Kachchh,3723,Rapar,506531,Mauvana (Shivagadh)
24,468,Kachchh,3723,Rapar,506532,Vrajvani
24,468,Kachchh,3723,Rapar,506533,Anandpar
24,468,Kachchh,3723,Rapar,506534,Balasar
24,468,Kachchh,3723,Rapar,506535,Lakda Vandh
24,468,Kachchh,3723,Rapar,506536,Surba Vandh
24,468,Kachchh,3723,Rapar,506537,Deshalpar
24,468,Kachchh,3723,Rapar,506538,Nagalpar
24,468,Kachchh,3723,Rapar,506539,Gedi
24,468,Kachchh,3723,Rapar,506540,Fatehgadh
24,468,Kachchh,3723,Rapar,506541,Manjuvas
24,468,Kachchh,3723,Rapar,506542,Momaymora
24,468,Kachchh,3723,Rapar,506543,Khandek
24,468,Kachchh,3723,Rapar,506544,Hamirpar Nani
24,468,Kachchh,3723,Rapar,506545,Sangadh
24,468,Kachchh,3723,Rapar,506546,Selari
24,468,Kachchh,3723,Rapar,506547,Thanpar
24,468,Kachchh,3723,Rapar,506548,Davri
24,468,Kachchh,3723,Rapar,506549,Rav Moti
24,468,Kachchh,3723,Rapar,506550,Sudana Vandh
24,468,Kachchh,3723,Rapar,506551,Naranpar
24,468,Kachchh,3723,Rapar,506552,Vanoi
24,468,Kachchh,3723,Rapar,506553,Gavaripar
24,468,Kachchh,3723,Rapar,506554,Suvai
24,468,Kachchh,3723,Rapar,506555,Khengarpar
24,468,Kachchh,3723,Rapar,506556,Vajepar
24,468,Kachchh,3723,Rapar,506557,Jesda
24,468,Kachchh,3723,Rapar,506558,Nandasar
24,468,Kachchh,3723,Rapar,506559,Kalyanpar
24,468,Kachchh,3723,Rapar,506560,Karuda
24,468,Kachchh,3723,Rapar,506561,Umaiya
24,468,Kachchh,3723,Rapar,506562,Kanpar
24,468,Kachchh,3723,Rapar,506563,Hamirpar Moti
24,468,Kachchh,3723,Rapar,506564,Moda
24,468,Kachchh,3723,Rapar,506565,Sanva
24,468,Kachchh,3723,Rapar,506566,Bambhansar
24,468,Kachchh,3723,Rapar,506567,Adesar
24,468,Kachchh,3723,Rapar,506568,Jadupar (Bhangera)
24,468,Kachchh,3723,Rapar,506569,Lakhagadh
24,468,Kachchh,3723,Rapar,506570,Bhimasar
24,468,Kachchh,3723,Rapar,506571,Bharidia (Bhutakia)
24,468,Kachchh,3723,Rapar,506572,Sonalva
24,468,Kachchh,3723,Rapar,506573,Pragpar
24,468,Kachchh,3723,Rapar,506574,Dabhunda
24,468,Kachchh,3723,Rapar,506575,Nilpar
24,468,Kachchh,3723,Rapar,506576,Palanpar
24,468,Kachchh,3723,Rapar,506577,Trambau
24,468,Kachchh,3723,Rapar,506578,Ramvav
24,468,Kachchh,3723,Rapar,506579,Kuda(Kuda-Jampar)
24,468,Kachchh,3723,Rapar,506580,Pagivandh
24,468,Kachchh,3723,Rapar,506581,Dhadadhroni Vandh
24,468,Kachchh,3723,Rapar,506582,Sarasla
24,468,Kachchh,3723,Rapar,506583,Badargadh
24,468,Kachchh,3723,Rapar,506584,Khirai
24,468,Kachchh,3723,Rapar,506585,Sai
24,468,Kachchh,3723,Rapar,506586,Tindalva Mota
24,468,Kachchh,3723,Rapar,506587,Vallabhpar
24,468,Kachchh,3723,Rapar,506588,Vekra
24,468,Kachchh,3723,Rapar,506589,Padampar
24,468,Kachchh,3723,Rapar,506590,Makhel
24,468,Kachchh,3723,Rapar,506591,Taga
24,468,Kachchh,3723,Rapar,506592,Vijapar
24,468,Kachchh,3723,Rapar,506593,Nanda
24,468,Kachchh,3723,Rapar,506594,Sukhpar
24,468,Kachchh,3723,Rapar,506595,Varnun
24,468,Kachchh,3723,Rapar,506596,Pandya No Gadh
24,468,Kachchh,3723,Rapar,506597,Palansva
24,468,Kachchh,3723,Rapar,506598,Amrapar
24,468,Kachchh,3723,Rapar,506599,Somani Vandh
24,468,Kachchh,3723,Rapar,506600,Mangadh
24,468,Kachchh,3723,Rapar,506601,Ghanithal
24,468,Kachchh,3723,Rapar,506602,Jadavas
24,468,Kachchh,3723,Rapar,506603,Kidiyanagar
24,468,Kachchh,3723,Rapar,506604,Chhotapar
24,468,Kachchh,3723,Rapar,506605,Badalpar
24,468,Kachchh,3723,Rapar,506606,Naliyatimbo
24,468,Kachchh,3723,Rapar,506607,Dedarva
24,468,Kachchh,3723,Rapar,506608,Govindpar
24,468,Kachchh,3723,Rapar,506609,Chitrod
24,468,Kachchh,3723,Rapar,506610,Rampar
24,468,Kachchh,3723,Rapar,506611,khanpar
24,468,Kachchh,3723,Rapar,506612,Pratap Gadh
24,468,Kachchh,3723,Rapar,506613,Mevasa
24,468,Kachchh,3723,Rapar,506614,Sany
24,468,Kachchh,3723,Rapar,506615,Kanmer
