2,0,HIMACHAL PRADESH,0,HIMACHAL PRADESH,0,HIMACHAL PRADESH
2,23,Chamba,0,Chamba,0,Chamba
2,23,Chamba,83,Pangi,0,Pangi
2,23,Chamba,83,Pangi,6673,R.F.Luj  (6)
2,23,Chamba,83,Pangi,6674,Luj  (7)
2,23,Chamba,83,Pangi,6675,Dharwas  (11)
2,23,Chamba,83,Pangi,6676,R.F.Kanyun  (8)
2,23,Chamba,83,Pangi,6677,R.F.Urnu  (9)
2,23,Chamba,83,Pangi,6678,D.P.F.Pinchho  (10)
2,23,Chamba,83,Pangi,6679,Kuthah  (12)
2,23,Chamba,83,Pangi,6680,Chaloli  (13)
2,23,Chamba,83,Pangi,6681,Rusmas  (14)
2,23,Chamba,83,Pangi,6682,Tai  (15)
2,23,Chamba,83,Pangi,6683,Sural Bhatori  (16)
2,23,Chamba,83,Pangi,6684,Dhar Shinkal  (17)
2,23,Chamba,83,Pangi,6685,Hundan Bhatori  (18)
2,23,Chamba,83,Pangi,6686,Tundru  (19)
2,23,Chamba,83,Pangi,6687,Takwas  (20)
2,23,Chamba,83,Pangi,6688,Seri Bhatwas  (21)
2,23,Chamba,83,Pangi,6689,Kawas  (24)
2,23,Chamba,83,Pangi,6690,Praghwal  (28)  
2,23,Chamba,83,Pangi,6691,Hughal  (25)
2,23,Chamba,83,Pangi,6692,Jhalwas  (20)
2,23,Chamba,83,Pangi,6693,Ghangit  (27)
2,23,Chamba,83,Pangi,6694,R.F.Chilkot  (5)
2,23,Chamba,83,Pangi,6695,Rani Ka Gahar  (4)
2,23,Chamba,83,Pangi,6696,Gahar Dunei  (1)
2,23,Chamba,83,Pangi,6697,Gahar Bindrabani  (2)
2,23,Chamba,83,Pangi,6698,Pre Garaon  (3)
2,23,Chamba,83,Pangi,6699,R.F.Kalatop  (29)
2,23,Chamba,83,Pangi,6700,Punto  (30)
2,23,Chamba,83,Pangi,6701,R.F.Punto  (31)
2,23,Chamba,83,Pangi,6702,Karel  (32)
2,23,Chamba,83,Pangi,6703,Mahliat  (33)
2,23,Chamba,83,Pangi,6704,Kupha  (23)
2,23,Chamba,83,Pangi,6705,Thamoh  (34)
2,23,Chamba,83,Pangi,6706,Parmas  (22)
2,23,Chamba,83,Pangi,6707,R.F.Chhatwani  (35)
2,23,Chamba,83,Pangi,6708,Chacharwas  (36)
2,23,Chamba,83,Pangi,6709,Kothi  (38)
2,23,Chamba,83,Pangi,6710,Seri   (37)
2,23,Chamba,83,Pangi,6711,Dhar Parmar (51)
2,23,Chamba,83,Pangi,6712,Parmar  (45)
2,23,Chamba,83,Pangi,6713,Kumar  (44)
2,23,Chamba,83,Pangi,6714,D.P.F.Biyuseri  (42)
2,23,Chamba,83,Pangi,6715,Gawari  (41)
2,23,Chamba,83,Pangi,6716,R.F.Rangi  (43)
2,23,Chamba,83,Pangi,6717,Phindru  (40)
2,23,Chamba,83,Pangi,6718,R.F.Sidh-Ka-Dehra  (39)
2,23,Chamba,83,Pangi,6719,R.F.Kagal  (89)
2,23,Chamba,83,Pangi,6720,Dhar Chichot  (90)
2,23,Chamba,83,Pangi,6721,Dhar Bhasanu  (91)
2,23,Chamba,83,Pangi,6722,Phindpar  (88)
2,23,Chamba,83,Pangi,6723,Mindhal  (87)
2,23,Chamba,83,Pangi,6724,Sach (47)
2,23,Chamba,83,Pangi,6725,Khinan  (46)
2,23,Chamba,83,Pangi,6726,Kuthal  (48)
2,23,Chamba,83,Pangi,6727,Ghisal  (49)
2,23,Chamba,83,Pangi,6728,Hilaur  (50)
2,23,Chamba,83,Pangi,6729,Micham  (53)
2,23,Chamba,83,Pangi,6730,Dhar Dusgahar  (52)
2,23,Chamba,83,Pangi,6731,Dhar Udeen  (58)
2,23,Chamba,83,Pangi,6732,Dhar Chholagu (59) 
2,23,Chamba,83,Pangi,6733,Dhar Topiyun  (60)
2,23,Chamba,83,Pangi,6734,Tuwan  (61)
2,23,Chamba,83,Pangi,6735,Udeen  (57)
2,23,Chamba,83,Pangi,6736,Shoon  (56)
2,23,Chamba,83,Pangi,6737,Leu  (55)
2,23,Chamba,83,Pangi,6738,Sahli  (54)
2,23,Chamba,83,Pangi,6739,Dhanala  (75)
2,23,Chamba,83,Pangi,6740,R.F.Pilu  (76)
2,23,Chamba,83,Pangi,6741,R.F.Bambal  (86)
2,23,Chamba,83,Pangi,6742,R.F.Kulal  (93)
2,23,Chamba,83,Pangi,6743,Kulal  (92)
2,23,Chamba,83,Pangi,6744,Dhar Bansar  (95)
2,23,Chamba,83,Pangi,6745,R.F.Chakmand  (94)
2,23,Chamba,83,Pangi,6746,Dhar Thimi  (96)
2,23,Chamba,83,Pangi,6747,R.F.Kaslun  (97)
2,23,Chamba,83,Pangi,6748,Rei  (85)
2,23,Chamba,83,Pangi,6749,R.F.Thandal  (84)
2,23,Chamba,83,Pangi,6750,Chhau  (83)
2,23,Chamba,83,Pangi,6751,D.P.F.Ranu (98)
2,23,Chamba,83,Pangi,6752,R.F.Ajog  (99)
2,23,Chamba,83,Pangi,6753,Ajog  (100)
2,23,Chamba,83,Pangi,6754,R.F.Nildhar  (101)
2,23,Chamba,83,Pangi,6755,Dhar Panala  (103)
2,23,Chamba,83,Pangi,6756,Dhar Lunei  (104)
2,23,Chamba,83,Pangi,6757,Dhar Tarmpal  (106)
2,23,Chamba,83,Pangi,6758,R.F.Pingu  (105)
2,23,Chamba,83,Pangi,6759,D.P.F.Pingu  (102)
2,23,Chamba,83,Pangi,6760,Shour  (79)
2,23,Chamba,83,Pangi,6761,R.F.Shour  (80)
2,23,Chamba,83,Pangi,6762,D.P.F.Purthi  (81)
2,23,Chamba,83,Pangi,6763,Purthi  (82)
2,23,Chamba,83,Pangi,6764,D.P.F.Kadunalah  (78)
2,23,Chamba,83,Pangi,6765,Thandal  (77)
2,23,Chamba,83,Pangi,6766,R.F.Kaban  (74)
2,23,Chamba,83,Pangi,6767,Mojhi  (73)
2,23,Chamba,83,Pangi,6768,R.F.Mojhi  (72)
2,23,Chamba,83,Pangi,6769,D.P.F. Aahar (71) 
2,23,Chamba,83,Pangi,6770,Saichu  (65)
2,23,Chamba,83,Pangi,6771,R.F.Saichu  (64)
2,23,Chamba,83,Pangi,6772,Dhar Gahl  (62)
2,23,Chamba,83,Pangi,6773,Dhar Harvi  (63)
2,23,Chamba,83,Pangi,6774,Chasak  (66)
2,23,Chamba,83,Pangi,6775,D.P.F.Gajrahan  (69)
2,23,Chamba,83,Pangi,6776,Dhar Sidhani  (70)
2,23,Chamba,83,Pangi,6777,Chasak Bhator  (68)
2,23,Chamba,83,Pangi,6778,Dhar Chasak Bhator   (67)
2,23,Chamba,84,Chaurah,0,Chaurah
2,23,Chamba,84,Chaurah,6779,Trakar Kalaban  (367)
2,23,Chamba,84,Chaurah,6780,Trakar Malikundi Malur  (366)
2,23,Chamba,84,Chaurah,6781,Alwas  (365)
2,23,Chamba,84,Chaurah,6782,R.F.Singra  (364)
2,23,Chamba,84,Chaurah,6783,Dhar Singra  (363)
2,23,Chamba,84,Chaurah,6784,Tarakar Jhamuni (362)
2,23,Chamba,84,Chaurah,6785,R.F. Neru  (361)
2,23,Chamba,84,Chaurah,6786,Trakar Mansa  (360)
2,23,Chamba,84,Chaurah,6787,Mansa  (359)
2,23,Chamba,84,Chaurah,6788,R.F.Mansa  (358)
2,23,Chamba,84,Chaurah,6789,Guila  (357)
2,23,Chamba,84,Chaurah,6790,R.F.Guila  (356)
2,23,Chamba,84,Chaurah,6791,R.F.Guddan  (373)
2,23,Chamba,84,Chaurah,6792,Guddan  (374)
2,23,Chamba,84,Chaurah,6793,Trakar Rani Kot  (368)
2,23,Chamba,84,Chaurah,6794,Dind  (372)
2,23,Chamba,84,Chaurah,6795,R.F.Dind  (375)
2,23,Chamba,84,Chaurah,6796,Sathias  (376)
2,23,Chamba,84,Chaurah,6797,Garh  (377)
2,23,Chamba,84,Chaurah,6798,Chalonj  (371)
2,23,Chamba,84,Chaurah,6799,Trakar Kateli  (369)
2,23,Chamba,84,Chaurah,6800,Ghulei  (370)
2,23,Chamba,84,Chaurah,6801,Majoga  (379)
2,23,Chamba,84,Chaurah,6802,Siri  (378)
2,23,Chamba,84,Chaurah,6803,Shaol  (353)
2,23,Chamba,84,Chaurah,6804,R.F.Shaol  (351)
2,23,Chamba,84,Chaurah,6805,Aoun (349)
2,23,Chamba,84,Chaurah,6806,R.F.Suila  (354)
2,23,Chamba,84,Chaurah,6807,Junas  (355)
2,23,Chamba,84,Chaurah,6808,Mulwas  (348)
2,23,Chamba,84,Chaurah,6809,Mangli   (345)
2,23,Chamba,84,Chaurah,6810,R.F.Majur  (346)
2,23,Chamba,84,Chaurah,6811,Bhauras  (347)
2,23,Chamba,84,Chaurah,6812,R.F.Hailera  (344)
2,23,Chamba,84,Chaurah,6813,Andwas (350)
2,23,Chamba,84,Chaurah,6814,Bunderi  (352)
2,23,Chamba,84,Chaurah,6815,D.P.F.Chholi  (341)
2,23,Chamba,84,Chaurah,6816,R.F.Junth  (340)
2,23,Chamba,84,Chaurah,6817,Chiyuli (342)
2,23,Chamba,84,Chaurah,6818,Dhar Mehilwar  (343)
2,23,Chamba,84,Chaurah,6819,Dhar Makkan  (311)
2,23,Chamba,84,Chaurah,6820,Dhar Chachul  (307)
2,23,Chamba,84,Chaurah,6821,R.F.Chachul  (308)
2,23,Chamba,84,Chaurah,6822,Dhar Bhujgali  (305)
2,23,Chamba,84,Chaurah,6823,Dhar Sau  (306)
2,23,Chamba,84,Chaurah,6824,R.F.Sau  (303)
2,23,Chamba,84,Chaurah,6825,Sau  (304)
2,23,Chamba,84,Chaurah,6826,Chachul  (309)
2,23,Chamba,84,Chaurah,6827,Makkan  (310)
2,23,Chamba,84,Chaurah,6828,Sanwal  (315)
2,23,Chamba,84,Chaurah,6829,R.F.Jangbani  (314)
2,23,Chamba,84,Chaurah,6830,Baraila  (313)
2,23,Chamba,84,Chaurah,6831,Dhar Kalopar  (312)
2,23,Chamba,84,Chaurah,6832,Matiund  (322)
2,23,Chamba,84,Chaurah,6833,Nanori  (321)
2,23,Chamba,84,Chaurah,6834,R.F.Shakti  (320)
2,23,Chamba,84,Chaurah,6835,Dehgran  (317)
2,23,Chamba,84,Chaurah,6836,Shalela Bari  (316)
2,23,Chamba,84,Chaurah,6837,D.P.F. Kherna   (287)
2,23,Chamba,84,Chaurah,6838,Ail  (297)
2,23,Chamba,84,Chaurah,6839,R.F.Ail  (301)
2,23,Chamba,84,Chaurah,6840,D.P.F.Khajrala  (302)
2,23,Chamba,84,Chaurah,6841,Dhar Sharwani  (300)
2,23,Chamba,84,Chaurah,6842,R.F.Shagwari  (298)
2,23,Chamba,84,Chaurah,6843,D.P.F.Teru  (294)
2,23,Chamba,84,Chaurah,6844,Dhar Teru  (299)
2,23,Chamba,84,Chaurah,6845,Dhar Gunyali  (293)
2,23,Chamba,84,Chaurah,6846,Shagwari  (296)
2,23,Chamba,84,Chaurah,6847,D.P.F.Chandraul  (290)
2,23,Chamba,84,Chaurah,6848,R.F.Chandraul  (295)
2,23,Chamba,84,Chaurah,6849,Dhar Bharnu  (292)
2,23,Chamba,84,Chaurah,6850,Bharnu  (291)
2,23,Chamba,84,Chaurah,6851,Khangu  (288)
2,23,Chamba,84,Chaurah,6852,D.P.F.Khangu  (289)
2,23,Chamba,84,Chaurah,6853,D.P.F.Jawala  (286)
2,23,Chamba,84,Chaurah,6854,R.F.Khangu  (272)
2,23,Chamba,84,Chaurah,6855,D.P.F.Halai  (285)
2,23,Chamba,84,Chaurah,6856,Ludrora  (284)
2,23,Chamba,84,Chaurah,6857,R.F. Tikari    (283)
2,23,Chamba,84,Chaurah,6858,D.P.F.Chili  (273)
2,23,Chamba,84,Chaurah,6859,Chalai    (282)
2,23,Chamba,84,Chaurah,6860,Bhatsar  (318)
