stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
1,1,Kupwara,0,Kupwara,0,Kupwara
1,1,Kupwara,1,Kupwara,0,Kupwara
1,1,Kupwara,1,Kupwara,1,Bore
1,1,Kupwara,1,Kupwara,2,Keran
1,1,Kupwara,1,Kupwara,3,Bugna
1,1,Kupwara,1,Kupwara,4,Bichwal
1,1,Kupwara,1,Kupwara,5,Mindiyan
1,1,Kupwara,1,Kupwara,6,Patrin
1,1,Kupwara,1,Kupwara,7,Juma Gund 
1,1,Kupwara,1,Kupwara,8,Khantha Wali (Shalun Bhatta)
1,1,Kupwara,1,Kupwara,9,Har Duing
1,1,Kupwara,1,Kupwara,10,Chunti Wari
1,1,Kupwara,1,Kupwara,11,Dudi
1,1,Kupwara,1,Kupwara,12,Dab Bal
1,1,Kupwara,1,Kupwara,13,Misri Behak
1,1,Kupwara,1,Kupwara,14,Machil
1,1,Kupwara,1,Kupwara,15,Push Wari
1,1,Kupwara,1,Kupwara,16,Khurhama
1,1,Kupwara,1,Kupwara,17,Sever Thendi Pora
1,1,Kupwara,1,Kupwara,18,Warnow 
1,1,Kupwara,1,Kupwara,19,Tekiya Khurhama
1,1,Kupwara,1,Kupwara,20,Kuligam
1,1,Kupwara,1,Kupwara,21,Maidan Pora
1,1,Kupwara,1,Kupwara,22,Sayiwan 
1,1,Kupwara,1,Kupwara,23,Daramwari
1,1,Kupwara,1,Kupwara,24,Lal Pora
1,1,Kupwara,1,Kupwara,25,Redi Nag
1,1,Kupwara,1,Kupwara,26,Dard Pora
1,1,Kupwara,1,Kupwara,27,Muqam Shrif Dar
1,1,Kupwara,1,Kupwara,28,Muqam Lolab
1,1,Kupwara,1,Kupwara,29,Hayat Pora
1,1,Kupwara,1,Kupwara,30,Rukh Gund Macher
1,1,Kupwara,1,Kupwara,31,Thun Doosa
1,1,Kupwara,1,Kupwara,32,Dever Inder Bug
1,1,Kupwara,1,Kupwara,33,Teki Pora
1,1,Kupwara,1,Kupwara,34,Drooch Wani
1,1,Kupwara,1,Kupwara,35,Chandi Gam
1,1,Kupwara,1,Kupwara,36,Chrali Gund
1,1,Kupwara,1,Kupwara,37,Sogam 
1,1,Kupwara,1,Kupwara,38,Tung Check
1,1,Kupwara,1,Kupwara,39,Gung Bug
1,1,Kupwara,1,Kupwara,40,Krohsan
1,1,Kupwara,1,Kupwara,41,Putushy
1,1,Kupwara,1,Kupwara,42,Gagal
1,1,Kupwara,1,Kupwara,43,Wavoora
1,1,Kupwara,1,Kupwara,44,Sorigam
1,1,Kupwara,1,Kupwara,45,Khanti Pora
1,1,Kupwara,1,Kupwara,46,Doni Wari
1,1,Kupwara,1,Kupwara,47,Cheeri Koot
1,1,Kupwara,1,Kupwara,48,Gundi  Jahangeer
1,1,Kupwara,1,Kupwara,49,Shumriyal
1,1,Kupwara,1,Kupwara,50,Khumriyal
1,1,Kupwara,1,Kupwara,51,Kalarooch
1,1,Kupwara,1,Kupwara,52,Zangli Kasheera
1,1,Kupwara,1,Kupwara,53,Manigah
1,1,Kupwara,1,Kupwara,54,Lashdat
1,1,Kupwara,1,Kupwara,55,Hayihama
1,1,Kupwara,1,Kupwara,56,Halmat Pora
1,1,Kupwara,1,Kupwara,57,Teker
1,1,Kupwara,1,Kupwara,58,Buhi Pora
1,1,Kupwara,1,Kupwara,59,Gund Gushi
1,1,Kupwara,1,Kupwara,60,Gushi
1,1,Kupwara,1,Kupwara,61,Batter Gam
1,1,Kupwara,1,Kupwara,62,Gulgam 
1,1,Kupwara,1,Kupwara,63,Checki Kaliloan
1,1,Kupwara,1,Kupwara,64,Auwoora
1,1,Kupwara,1,Kupwara,65,Alchi Zab
1,1,Kupwara,1,Kupwara,66,Kawari
1,1,Kupwara,1,Kupwara,67,Zurhama
1,1,Kupwara,1,Kupwara,68,Marhama
1,1,Kupwara,1,Kupwara,69,Ladriwan
1,1,Kupwara,1,Kupwara,70,Hundi
1,1,Kupwara,1,Kupwara,71,Hayan
1,1,Kupwara,1,Kupwara,72,Gungloosa (Gugloosa)
1,1,Kupwara,1,Kupwara,73,Shum Nag 
1,1,Kupwara,1,Kupwara,74,Solina
1,1,Kupwara,1,Kupwara,75,Dard Sun Resh Gund
1,1,Kupwara,1,Kupwara,76,Guzriyal
1,1,Kupwara,1,Kupwara,77,Warsun
1,1,Kupwara,1,Kupwara,78,Dard Hari Khar Gund
1,1,Kupwara,1,Kupwara,79,Lona Hari
