stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
20,0,JHARKHAND,0,JHARKHAND,0,JHARKHAND
20,346,Garhwa ,0,Garhwa ,0,Garhwa 
20,346,Garhwa ,2495,Kharaundhi,0,Kharaundhi
20,346,Garhwa ,2495,Kharaundhi,347134,Khokha
20,346,Garhwa ,2495,Kharaundhi,347135,Chandna
20,346,Garhwa ,2495,Kharaundhi,347136,Pipra
20,346,Garhwa ,2495,Kharaundhi,347137,Husru
20,346,Garhwa ,2495,Kharaundhi,347138,Bhaluhi Alias Kariwadih
20,346,Garhwa ,2495,Kharaundhi,347139,Sundi
20,346,Garhwa ,2495,Kharaundhi,347140,Pipri
20,346,Garhwa ,2495,Kharaundhi,347141,Raje
20,346,Garhwa ,2495,Kharaundhi,347142,Kharaundhi
20,346,Garhwa ,2495,Kharaundhi,347143,Chandni
20,346,Garhwa ,2495,Kharaundhi,347144,Lami Alias  Sarahia
20,346,Garhwa ,2495,Kharaundhi,347145,Amrora
20,346,Garhwa ,2495,Kharaundhi,347146,Majhganwan
20,346,Garhwa ,2495,Kharaundhi,347147,Kupa
20,346,Garhwa ,2495,Kharaundhi,347148,Hendea  Alias Baitri
20,346,Garhwa ,2495,Kharaundhi,347149,Baitra
20,346,Garhwa ,2495,Kharaundhi,347150,Sisri
20,346,Garhwa ,2495,Kharaundhi,347151,Torelawa
20,346,Garhwa ,2495,Kharaundhi,347152,Arangi
20,346,Garhwa ,2495,Kharaundhi,347153,Aunraia Alias Chauria
20,346,Garhwa ,2496,Bhawnathpur,0,Bhawnathpur
20,346,Garhwa ,2496,Bhawnathpur,347154,Rohinian
20,346,Garhwa ,2496,Bhawnathpur,347155,Bansani
20,346,Garhwa ,2496,Bhawnathpur,347156,Barwari
20,346,Garhwa ,2496,Bhawnathpur,347157,Makri
20,346,Garhwa ,2496,Bhawnathpur,347158,Dhanimandra
20,346,Garhwa ,2496,Bhawnathpur,347159,Garda
20,346,Garhwa ,2496,Bhawnathpur,347160,Adhaura
20,346,Garhwa ,2496,Bhawnathpur,347161,Pandaria
20,346,Garhwa ,2496,Bhawnathpur,347162,Singhitali
20,346,Garhwa ,2496,Bhawnathpur,347163,Chapri
20,346,Garhwa ,2496,Bhawnathpur,347164,Saraia
20,346,Garhwa ,2496,Bhawnathpur,347165,Gorgonwan
20,346,Garhwa ,2496,Bhawnathpur,347166,Bhawanathpur
20,346,Garhwa ,2496,Bhawnathpur,347167,Buka
20,346,Garhwa ,2496,Bhawnathpur,347168,Arsali
20,346,Garhwa ,2496,Bhawnathpur,347169,Ghaghra
