zz,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
29,0,KARNATAKA,0,KARNATAKA,0,KARNATAKA
29,555,Belgaum,0,Belgaum,0,Belgaum
29,555,Belgaum,5433,Chikodi,0,Chikodi
29,555,Belgaum,5433,Chikodi,597114,Hadnal
29,555,Belgaum,5433,Chikodi,597115,Sulagaon
29,555,Belgaum,5433,Chikodi,597116,Mattiwade
29,555,Belgaum,5433,Chikodi,597117,Bhatnaganur
29,555,Belgaum,5433,Chikodi,597118,Kurli
29,555,Belgaum,5433,Chikodi,597119,Appachiwadi
29,555,Belgaum,5433,Chikodi,597120,Koganoli
29,555,Belgaum,5433,Chikodi,597121,Hanabarawadi
29,555,Belgaum,5433,Chikodi,597122,Hanchinal (K.S.)
29,555,Belgaum,5433,Chikodi,597123,Benadi
29,555,Belgaum,5433,Chikodi,597124,Bolewadi
29,555,Belgaum,5433,Chikodi,597125,Akkol
29,555,Belgaum,5433,Chikodi,597126,Padlihal
29,555,Belgaum,5433,Chikodi,597127,Lakhanapur
29,555,Belgaum,5433,Chikodi,597128,Jatrat
29,555,Belgaum,5433,Chikodi,597129,Adi
29,555,Belgaum,5433,Chikodi,597130,Bhivashi
29,555,Belgaum,5433,Chikodi,597131,Naganur
29,555,Belgaum,5433,Chikodi,597132,Yamagarni
29,555,Belgaum,5433,Chikodi,597133,Soundalga
29,555,Belgaum,5433,Chikodi,597134,Budihal
29,555,Belgaum,5433,Chikodi,597135,Kodni
29,555,Belgaum,5433,Chikodi,597136,Gayakanawadi
29,555,Belgaum,5433,Chikodi,597137,Shirguppi
29,555,Belgaum,5433,Chikodi,597138,Pangeri (B)
29,555,Belgaum,5433,Chikodi,597139,Budulmukh
29,555,Belgaum,5433,Chikodi,597140,Shendur
29,555,Belgaum,5433,Chikodi,597141,Gondikuppi
29,555,Belgaum,5433,Chikodi,597142,Yarnal
29,555,Belgaum,5433,Chikodi,597143,Nippani (Rural)
29,555,Belgaum,5433,Chikodi,597144,Amalzari
29,555,Belgaum,5433,Chikodi,597145,Gavan
29,555,Belgaum,5433,Chikodi,597146,Tavadi
29,555,Belgaum,5433,Chikodi,597147,Manakapur
29,555,Belgaum,5433,Chikodi,597148,Kasanal
29,555,Belgaum,5433,Chikodi,597149,Donewadi
29,555,Belgaum,5433,Chikodi,597150,Boragaon
29,555,Belgaum,5433,Chikodi,597151,Boragaonwadi
29,555,Belgaum,5433,Chikodi,597152,Sadalaga (Rural)
29,555,Belgaum,5433,Chikodi,597153,Janwad
29,555,Belgaum,5433,Chikodi,597154,Shiradwad
29,555,Belgaum,5433,Chikodi,597155,Karadaga
29,555,Belgaum,5433,Chikodi,597156,Barwad
29,555,Belgaum,5433,Chikodi,597157,Mangur
29,555,Belgaum,5433,Chikodi,597158,Kunnur
29,555,Belgaum,5433,Chikodi,597159,Gajabarwadi
29,555,Belgaum,5433,Chikodi,597160,Shivapurawadi
29,555,Belgaum,5433,Chikodi,597161,Bhoj
29,555,Belgaum,5433,Chikodi,597162,Hunnaragi
29,555,Belgaum,5433,Chikodi,597163,Sidnal
29,555,Belgaum,5433,Chikodi,597164,Mamadapur (KL)
29,555,Belgaum,5433,Chikodi,597165,Bhimapurwadi
29,555,Belgaum,5433,Chikodi,597166,Galatga
29,555,Belgaum,5433,Chikodi,597167,Dilalapurwadi
29,555,Belgaum,5433,Chikodi,597168,Bedkihal
29,555,Belgaum,5433,Chikodi,597169,Shamanewadi
29,555,Belgaum,5433,Chikodi,597170,Nej
29,555,Belgaum,5433,Chikodi,597171,Nagaral
29,555,Belgaum,5433,Chikodi,597172,Nanadiwadi
29,555,Belgaum,5433,Chikodi,597173,Nanadi
29,555,Belgaum,5433,Chikodi,597174,Malikwad
29,555,Belgaum,5433,Chikodi,597175,Examba
29,555,Belgaum,5433,Chikodi,597176,Kallol
29,555,Belgaum,5433,Chikodi,597177,Yadyanawadi
29,555,Belgaum,5433,Chikodi,597178,Yadurwadi
29,555,Belgaum,5433,Chikodi,597179,Chandur
29,555,Belgaum,5433,Chikodi,597180,Chandur - Tek
29,555,Belgaum,5433,Chikodi,597181,Yadur
29,555,Belgaum,5433,Chikodi,597182,Hosa Yedur
29,555,Belgaum,5433,Chikodi,597183,Ingali
29,555,Belgaum,5433,Chikodi,597184,Manjari
29,555,Belgaum,5433,Chikodi,597185,Manjariwadi
29,555,Belgaum,5433,Chikodi,597186,Ankali
29,555,Belgaum,5433,Chikodi,597187,Shiddapurwadi
29,555,Belgaum,5433,Chikodi,597188,Kadapur
29,555,Belgaum,5433,Chikodi,597189,Jodakurli
29,555,Belgaum,5433,Chikodi,597190,Kerur
29,555,Belgaum,5433,Chikodi,597191,Roopanal
29,555,Belgaum,5433,Chikodi,597192,Hirekudi
29,555,Belgaum,5433,Chikodi,597193,Chikodi (Rural)
29,555,Belgaum,5433,Chikodi,597194,Kuppanawadi
29,555,Belgaum,5433,Chikodi,597195,Girgaon
29,555,Belgaum,5433,Chikodi,597196,Shirgaon
29,555,Belgaum,5433,Chikodi,597197,Shiragaonwadi
29,555,Belgaum,5433,Chikodi,597198,Khadaklat
29,555,Belgaum,5433,Chikodi,597199,Thapakarwadi
29,555,Belgaum,5433,Chikodi,597200,Pangire (A)
29,555,Belgaum,5433,Chikodi,597201,Rampur
29,555,Belgaum,5433,Chikodi,597202,Chikalwal
29,555,Belgaum,5433,Chikodi,597203,Manuchiwadi
29,555,Belgaum,5433,Chikodi,597204,Sankanwadi
29,555,Belgaum,5433,Chikodi,597205,Navalihal
29,555,Belgaum,5433,Chikodi,597206,Peerawadi
29,555,Belgaum,5433,Chikodi,597207,Pattankudi
29,555,Belgaum,5433,Chikodi,597208,Walki
29,555,Belgaum,5433,Chikodi,597209,Yadyanawadi
29,555,Belgaum,5433,Chikodi,597210,Nainglaj
29,555,Belgaum,5433,Chikodi,597211,Dhulaganawadi
29,555,Belgaum,5433,Chikodi,597212,Kuthali
29,555,Belgaum,5433,Chikodi,597213,Kothali
29,555,Belgaum,5433,Chikodi,597214,Chinchani
29,555,Belgaum,5433,Chikodi,597215,Handyanwadi
29,555,Belgaum,5433,Chikodi,597216,Umrani
29,555,Belgaum,5433,Chikodi,597217,Itnal
29,555,Belgaum,5433,Chikodi,597218,Nagaramunnoli
29,555,Belgaum,5433,Chikodi,597219,Belkud
29,555,Belgaum,5433,Chikodi,597220,Bambalwad
29,555,Belgaum,5433,Chikodi,597221,Kungatolli
29,555,Belgaum,5433,Chikodi,597222,Karoshi
29,555,Belgaum,5433,Chikodi,597223,Jainapur
29,555,Belgaum,5433,Chikodi,597224,Toranahalli
29,555,Belgaum,5433,Chikodi,597225,Bidrahalli
29,555,Belgaum,5433,Chikodi,597226,Hattarwat
29,555,Belgaum,5433,Chikodi,597227,Mangnur
29,555,Belgaum,5433,Chikodi,597228,Wadral
29,555,Belgaum,5433,Chikodi,597229,Majalatti
29,555,Belgaum,5433,Chikodi,597230,Khajagoudanhatti
29,555,Belgaum,5433,Chikodi,597231,Mugali
29,555,Belgaum,5433,Chikodi,597232,Kamatyanahatti 
29,555,Belgaum,5433,Chikodi,597233,Bennihalli
29,555,Belgaum,5433,Chikodi,597234,Karagaon
29,555,Belgaum,5433,Chikodi,597235,Donawad
29,555,Belgaum,5433,Chikodi,597236,Hanchinal (K.K.)
29,555,Belgaum,5433,Chikodi,597237,Belagali
29,555,Belgaum,5433,Chikodi,597238,Kenchanatti
29,555,Belgaum,5433,Chikodi,597239,Meerapurhatti
29,555,Belgaum,5433,Chikodi,597240,Kabbur
29,555,Belgaum,5433,Chikodi,597241,Jodatti
29,555,Belgaum,5433,Chikodi,597242,Vijayanagar
29,555,Belgaum,5433,Chikodi,597243,Pogatyanatti
29,555,Belgaum,5433,Chikodi,597244,Jaganur
29,555,Belgaum,5433,Chikodi,597245,Mamadapur (Kk)
29,555,Belgaum,5434,Athni,0,Athni
29,555,Belgaum,5434,Athni,597246,Pandegaon
29,555,Belgaum,5434,Athni,597247,Khilegaon
29,555,Belgaum,5434,Athni,597248,Ajur
29,555,Belgaum,5434,Athni,597249,Anantapur
