stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
32,0,KERALA,0,KERALA,0,KERALA
32,588,Kasaragod,0,Kasaragod,0,Kasaragod
32,588,Kasaragod,5630,Kasaragod,0,Kasaragod
32,588,Kasaragod,5630,Kasaragod,627057,Pavoor
32,588,Kasaragod,5630,Kasaragod,627058,Vorkady
32,588,Kasaragod,5630,Kasaragod,627059,Pathur
32,588,Kasaragod,5630,Kasaragod,627060,Kodalamogaru
32,588,Kasaragod,5630,Kasaragod,627061,Koliyoor
32,588,Kasaragod,5630,Kasaragod,627062,Kaliyoor
32,588,Kasaragod,5630,Kasaragod,627063,Talikala
32,588,Kasaragod,5630,Kasaragod,627064,Meenja
32,588,Kasaragod,5630,Kasaragod,627065,Kadambar
32,588,Kasaragod,5630,Kasaragod,627066,Moodambail
32,588,Kasaragod,5630,Kasaragod,627067,Kuloor
32,588,Kasaragod,5630,Kasaragod,627068,Majibail
32,588,Kasaragod,5630,Kasaragod,627069,Badaje
32,588,Kasaragod,5630,Kasaragod,627070,Mulinja
32,588,Kasaragod,5630,Kasaragod,627071,Kodibail
32,588,Kasaragod,5630,Kasaragod,627072,Ichilangod
32,588,Kasaragod,5630,Kasaragod,627073,Heroor
32,588,Kasaragod,5630,Kasaragod,627074,Kubanoor
32,588,Kasaragod,5630,Kasaragod,627075,Bekoor
32,588,Kasaragod,5630,Kasaragod,627076,Kayyar
32,588,Kasaragod,5630,Kasaragod,627077,Kudalmarkala
32,588,Kasaragod,5630,Kasaragod,627078,Paivalike
32,588,Kasaragod,5630,Kasaragod,627079,Chippar
32,588,Kasaragod,5630,Kasaragod,627080,Bayar
32,588,Kasaragod,5630,Kasaragod,627081,Badoor
32,588,Kasaragod,5630,Kasaragod,627082,Angadimogaru
32,588,Kasaragod,5630,Kasaragod,627083,Mugu
32,588,Kasaragod,5630,Kasaragod,627084,Maire
32,588,Kasaragod,5630,Kasaragod,627085,Enmakaje
32,588,Kasaragod,5630,Kasaragod,627086,Kattukukke
32,588,Kasaragod,5630,Kasaragod,627087,Padre
32,588,Kasaragod,5630,Kasaragod,627088,Badiyadka
32,588,Kasaragod,5630,Kasaragod,627089,Nirchal
32,588,Kasaragod,5630,Kasaragod,627090,Bela
32,588,Kasaragod,5630,Kasaragod,627091,Puthige
32,588,Kasaragod,5630,Kasaragod,627092,Edanad
32,588,Kasaragod,5630,Kasaragod,627093,Kannur
32,588,Kasaragod,5630,Kasaragod,627094,Kidoor
32,588,Kasaragod,5630,Kasaragod,627095,Ujarulvar
32,588,Kasaragod,5630,Kasaragod,627096,Bombrana
32,588,Kasaragod,5630,Kasaragod,627097,Arikady
32,588,Kasaragod,5630,Kasaragod,627098,Ichilampady
32,588,Kasaragod,5630,Kasaragod,627099,Patla
32,588,Kasaragod,5630,Kasaragod,627100,Kalnad
