stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
31,0,LAKSHADWEEP,0,LAKSHADWEEP,0,LAKSHADWEEP
31,587,Lakshadweep,0,Lakshadweep,0,Lakshadweep
31,587,Lakshadweep,5620,Amini,0,Amini
31,587,Lakshadweep,5620,Amini,627030,Amini (CT)
31,587,Lakshadweep,5621,Bitra,0,Bitra
31,587,Lakshadweep,5621,Bitra,627031,Bitra
31,587,Lakshadweep,5622,Chetlat,0,Chetlat
31,587,Lakshadweep,5622,Chetlat,627032,Chetlat
31,587,Lakshadweep,5623,Kiltan,0,Kiltan
31,587,Lakshadweep,5623,Kiltan,627033,Kiltan
31,587,Lakshadweep,5624,Kadmat,0,Kadmat
31,587,Lakshadweep,5624,Kadmat,627034,Kadmat (CT)
31,587,Lakshadweep,5625,Kavaratti,0,Kavaratti
31,587,Lakshadweep,5625,Kavaratti,627035,Pitti (Birds Island)
31,587,Lakshadweep,5625,Kavaratti,627036,Suheli Valiyakara
31,587,Lakshadweep,5625,Kavaratti,627037,Suheli Cheriyakara
31,587,Lakshadweep,5625,Kavaratti,627038,Kavaratti (CT)
31,587,Lakshadweep,5626,Agatti,0,Agatti
31,587,Lakshadweep,5626,Agatti,627039,Tinnakara
31,587,Lakshadweep,5626,Agatti,627040,Parali (I)
31,587,Lakshadweep,5626,Agatti,627041,Parali (II)
31,587,Lakshadweep,5626,Agatti,627042,Parali (III)
31,587,Lakshadweep,5626,Agatti,627043,Bangaram
31,587,Lakshadweep,5626,Agatti,627044,Agatti
31,587,Lakshadweep,5626,Agatti,627045,Kalpitti
31,587,Lakshadweep,5627,Andrott ,0,Andrott 
31,587,Lakshadweep,5627,Andrott ,627046,Andrott (CT)
31,587,Lakshadweep,5628,Kalpeni,0,Kalpeni
31,587,Lakshadweep,5628,Kalpeni,627047,Cheriyam
31,587,Lakshadweep,5628,Kalpeni,627048,Kodithala
31,587,Lakshadweep,5628,Kalpeni,627049,Tilakkam (I)
31,587,Lakshadweep,5628,Kalpeni,627050,Tilakkam (II)
31,587,Lakshadweep,5628,Kalpeni,627051,Tilakkam (III)
31,587,Lakshadweep,5628,Kalpeni,627052,Pitti (I)
31,587,Lakshadweep,5628,Kalpeni,627053,Pitti (II)
31,587,Lakshadweep,5628,Kalpeni,627054,Kalpeni (CT)
31,587,Lakshadweep,5629,Minicoy,0,Minicoy
31,587,Lakshadweep,5629,Minicoy,627055,Viringili
31,587,Lakshadweep,5629,Minicoy,627056,Minicoy (CT)
