stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
23,0,MADHYA PRADESH,0,MADHYA PRADESH,0,MADHYA PRADESH
23,418,Sheopur ,0,Sheopur ,0,Sheopur 
23,418,Sheopur ,3380,Vijaypur,0,Vijaypur
23,418,Sheopur ,3380,Vijaypur,451361,Arrod
23,418,Sheopur ,3380,Vijaypur,451362,Imalia
23,418,Sheopur ,3380,Vijaypur,451363,Jhar Baroda
23,418,Sheopur ,3380,Vijaypur,451364,Ransinghpura
23,418,Sheopur ,3380,Vijaypur,451365,Kishanpura
23,418,Sheopur ,3380,Vijaypur,451366,Hullpur
23,418,Sheopur ,3380,Vijaypur,451367,Barkheda
23,418,Sheopur ,3380,Vijaypur,451368,Lahosghani
23,418,Sheopur ,3380,Vijaypur,451369,Khitarpal
23,418,Sheopur ,3380,Vijaypur,451370,Ladpura
23,418,Sheopur ,3380,Vijaypur,451371,Bhainsai
23,418,Sheopur ,3380,Vijaypur,451372,Garhi
23,418,Sheopur ,3380,Vijaypur,451373,Upcha
23,418,Sheopur ,3380,Vijaypur,451374,Madha
23,418,Sheopur ,3380,Vijaypur,451375,Ahiri
23,418,Sheopur ,3380,Vijaypur,451376,Itawai
23,418,Sheopur ,3380,Vijaypur,451377,Ranawad
23,418,Sheopur ,3380,Vijaypur,451378,Gohara
23,418,Sheopur ,3380,Vijaypur,451379,Bharkhoh
23,418,Sheopur ,3380,Vijaypur,451380,Andhupura
23,418,Sheopur ,3380,Vijaypur,451381,Sunwai
23,418,Sheopur ,3380,Vijaypur,451382,Bagrod
23,418,Sheopur ,3380,Vijaypur,451383,Dongarpur (Vijaypur)
23,418,Sheopur ,3380,Vijaypur,451384,Dord
23,418,Sheopur ,3380,Vijaypur,451385,Bardula
23,418,Sheopur ,3380,Vijaypur,451386,Arusta
23,418,Sheopur ,3380,Vijaypur,451387,Gurja
23,418,Sheopur ,3380,Vijaypur,451388,Bichpuri
23,418,Sheopur ,3380,Vijaypur,451389,Mewra
23,418,Sheopur ,3380,Vijaypur,451390,Bara Kalan
23,418,Sheopur ,3380,Vijaypur,451391,Pachnaya
23,418,Sheopur ,3380,Vijaypur,451392,Gota
23,418,Sheopur ,3380,Vijaypur,451393,Laxmanpura Bijepur
23,418,Sheopur ,3380,Vijaypur,451394,Khurdwara
23,418,Sheopur ,3380,Vijaypur,451395,Daudpur
23,418,Sheopur ,3380,Vijaypur,451396,Gopalpura
23,418,Sheopur ,3380,Vijaypur,451397,Jaipura
23,418,Sheopur ,3380,Vijaypur,451398,Medawali
23,418,Sheopur ,3380,Vijaypur,451399,Chandeli
23,418,Sheopur ,3380,Vijaypur,451400,Parwati Baroda
23,418,Sheopur ,3380,Vijaypur,451401,Aroda
23,418,Sheopur ,3380,Vijaypur,451402,Benipura
23,418,Sheopur ,3380,Vijaypur,451403,Chhapar
23,418,Sheopur ,3380,Vijaypur,451404,Dhamini
23,418,Sheopur ,3380,Vijaypur,451405,Piparwas
23,418,Sheopur ,3380,Vijaypur,451406,Shahpur Khurd
23,418,Sheopur ,3380,Vijaypur,451407,Chentikheda
23,418,Sheopur ,3380,Vijaypur,451408,Agara
23,418,Sheopur ,3380,Vijaypur,451409,Umari Khurd
23,418,Sheopur ,3380,Vijaypur,451410,Ghorade
23,418,Sheopur ,3380,Vijaypur,451411,Dehari
23,418,Sheopur ,3380,Vijaypur,451412,Umari Kalan
23,418,Sheopur ,3380,Vijaypur,451413,Dodai Kalan
23,418,Sheopur ,3380,Vijaypur,451414,Bamanwas
23,418,Sheopur ,3380,Vijaypur,451415,Dodai Khurd
23,418,Sheopur ,3380,Vijaypur,451416,Khadera
23,418,Sheopur ,3380,Vijaypur,451417,Khadi No.1
23,418,Sheopur ,3380,Vijaypur,451418,Nad
23,418,Sheopur ,3380,Vijaypur,451419,Dhamani
23,418,Sheopur ,3380,Vijaypur,451420,Surdeh
23,418,Sheopur ,3380,Vijaypur,451421,Dhourera
23,418,Sheopur ,3380,Vijaypur,451422,Magardeh
23,418,Sheopur ,3380,Vijaypur,451423,Similiya
23,418,Sheopur ,3380,Vijaypur,451424,Jhumka
23,418,Sheopur ,3380,Vijaypur,451425,Baroda Kalan
23,418,Sheopur ,3380,Vijaypur,451426,Nayagaon (Gaswani)
23,418,Sheopur ,3380,Vijaypur,451427,Chimalwani
23,418,Sheopur ,3380,Vijaypur,451428,Kamlapur
23,418,Sheopur ,3380,Vijaypur,451429,Deori
23,418,Sheopur ,3380,Vijaypur,451430,Badhwani
23,418,Sheopur ,3380,Vijaypur,451431,Simrai
23,418,Sheopur ,3380,Vijaypur,451432,Dongarpur (Gaswani)
23,418,Sheopur ,3380,Vijaypur,451433,Enta
23,418,Sheopur ,3380,Vijaypur,451434,Sarangpur
23,418,Sheopur ,3380,Vijaypur,451435,Gaswani
23,418,Sheopur ,3380,Vijaypur,451436,Mohanpur (Gaswani)
23,418,Sheopur ,3380,Vijaypur,451437,Kinjari
23,418,Sheopur ,3380,Vijaypur,451438,Baroda Khurd
23,418,Sheopur ,3380,Vijaypur,451439,Binega
23,418,Sheopur ,3380,Vijaypur,451440,Sehula
23,418,Sheopur ,3380,Vijaypur,451441,Khurka
23,418,Sheopur ,3380,Vijaypur,451442,Nerkheda
23,418,Sheopur ,3380,Vijaypur,451443,Dhobini
23,418,Sheopur ,3380,Vijaypur,451444,Kota
23,418,Sheopur ,3380,Vijaypur,451445,Behata
23,418,Sheopur ,3380,Vijaypur,451446,Kotari
23,418,Sheopur ,3380,Vijaypur,451447,Farara
23,418,Sheopur ,3380,Vijaypur,451448,Sahsram
23,418,Sheopur ,3380,Vijaypur,451449,Nitanwas
23,418,Sheopur ,3380,Vijaypur,451450,Seedhini
23,418,Sheopur ,3380,Vijaypur,451451,Patpara
23,418,Sheopur ,3380,Vijaypur,451452,Khurjan
23,418,Sheopur ,3380,Vijaypur,451453,Budhera
23,418,Sheopur ,3380,Vijaypur,451454,Aal
23,418,Sheopur ,3380,Vijaypur,451455,Dudhai
23,418,Sheopur ,3380,Vijaypur,451456,Gilai
23,418,Sheopur ,3380,Vijaypur,451457,Silpara
23,418,Sheopur ,3380,Vijaypur,451458,Dubera
23,418,Sheopur ,3380,Vijaypur,451459,Bechai
23,418,Sheopur ,3380,Vijaypur,451460,Kadwai
23,418,Sheopur ,3380,Vijaypur,451461,Shukrawara
