stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
27,0,MAHARASHTRA,0,MAHARASHTRA,0,MAHARASHTRA
27,497,Nandurbar,0,Nandurbar,0,Nandurbar
27,497,Nandurbar,3950,Akkalkuwa,0,Akkalkuwa
27,497,Nandurbar,3950,Akkalkuwa,525002,Manibeli
27,497,Nandurbar,3950,Akkalkuwa,525003,Dhankhedi
27,497,Nandurbar,3950,Akkalkuwa,525004,Chimalkhadi
27,497,Nandurbar,3950,Akkalkuwa,525005,Sinduri
27,497,Nandurbar,3950,Akkalkuwa,525006,Bamani
27,497,Nandurbar,3950,Akkalkuwa,525007,Danel
27,497,Nandurbar,3950,Akkalkuwa,525008,Mukhadi
27,497,Nandurbar,3950,Akkalkuwa,525009,Gaman
27,497,Nandurbar,3950,Akkalkuwa,525010,Jangathi
27,497,Nandurbar,3950,Akkalkuwa,525011,Arethi
27,497,Nandurbar,3950,Akkalkuwa,525012,Kukadipadar
27,497,Nandurbar,3950,Akkalkuwa,525013,Kewadi
27,497,Nandurbar,3950,Akkalkuwa,525014,Barisugas
27,497,Nandurbar,3950,Akkalkuwa,525015,Pimpalkhuta
27,497,Nandurbar,3950,Akkalkuwa,525016,Surgas
27,497,Nandurbar,3950,Akkalkuwa,525017,Khodasbara
27,497,Nandurbar,3950,Akkalkuwa,525018,Jugalkhet
27,497,Nandurbar,3950,Akkalkuwa,525019,Balaghat
27,497,Nandurbar,3950,Akkalkuwa,525020,Bardi
27,497,Nandurbar,3950,Akkalkuwa,525021,Mokas
27,497,Nandurbar,3950,Akkalkuwa,525022,Pandhramati
27,497,Nandurbar,3950,Akkalkuwa,525023,Chapadi
27,497,Nandurbar,3950,Akkalkuwa,525024,Wadfali (R)
27,497,Nandurbar,3950,Akkalkuwa,525025,Movan
27,497,Nandurbar,3950,Akkalkuwa,525026,Bagda
27,497,Nandurbar,3950,Akkalkuwa,525027,Morhi
27,497,Nandurbar,3950,Akkalkuwa,525028,Vehgi
27,497,Nandurbar,3950,Akkalkuwa,525029,Dhebramal
27,497,Nandurbar,3950,Akkalkuwa,525030,Sambar
27,497,Nandurbar,3950,Akkalkuwa,525031,Palaskhobra
27,497,Nandurbar,3950,Akkalkuwa,525032,Mandawa
27,497,Nandurbar,3950,Akkalkuwa,525033,Kanjala
27,497,Nandurbar,3950,Akkalkuwa,525034,Welkhadi
27,497,Nandurbar,3950,Akkalkuwa,525035,Veri
27,497,Nandurbar,3950,Akkalkuwa,525036,Chanwai
27,497,Nandurbar,3950,Akkalkuwa,525037,Malpada
27,497,Nandurbar,3950,Akkalkuwa,525038,Bhagdari
27,497,Nandurbar,3950,Akkalkuwa,525039,Olpada 
27,497,Nandurbar,3950,Akkalkuwa,525040,Bijaligavhan
27,497,Nandurbar,3950,Akkalkuwa,525041,Kanjani
27,497,Nandurbar,3950,Akkalkuwa,525042,Bijaripati
27,497,Nandurbar,3950,Akkalkuwa,525043,Molgi
27,497,Nandurbar,3950,Akkalkuwa,525044,Ukhalipada 
27,497,Nandurbar,3950,Akkalkuwa,525045,Sorchapada 
27,497,Nandurbar,3950,Akkalkuwa,525046,Kathi
27,497,Nandurbar,3950,Akkalkuwa,525047,Bhangrapani
27,497,Nandurbar,3950,Akkalkuwa,525048,Pimprapani
27,497,Nandurbar,3950,Akkalkuwa,525049,Pimpti
27,497,Nandurbar,3950,Akkalkuwa,525050,Umati
27,497,Nandurbar,3950,Akkalkuwa,525051,Jamali (ka)
27,497,Nandurbar,3950,Akkalkuwa,525052,Bokhadi
27,497,Nandurbar,3950,Akkalkuwa,525053,Bedakund
27,497,Nandurbar,3950,Akkalkuwa,525054,Bharkund
27,497,Nandurbar,3950,Akkalkuwa,525055,Sallibar
27,497,Nandurbar,3950,Akkalkuwa,525056,Veli
27,497,Nandurbar,3950,Akkalkuwa,525057,Gadwani
27,497,Nandurbar,3950,Akkalkuwa,525058,Urmalamal
27,497,Nandurbar,3950,Akkalkuwa,525059,Chivalutar
27,497,Nandurbar,3950,Akkalkuwa,525060,Ambaribar
27,497,Nandurbar,3950,Akkalkuwa,525061,Khuntagavhan
27,497,Nandurbar,3950,Akkalkuwa,525062,Jamana
27,497,Nandurbar,3950,Akkalkuwa,525063,Patbara
27,497,Nandurbar,3950,Akkalkuwa,525064,Umaragavhan
27,497,Nandurbar,3950,Akkalkuwa,525065,Orpa
27,497,Nandurbar,3950,Akkalkuwa,525066,Nendwan Kh
27,497,Nandurbar,3950,Akkalkuwa,525067,Nendwan Bk
27,497,Nandurbar,3950,Akkalkuwa,525068,Khurchimal
27,497,Nandurbar,3950,Akkalkuwa,525069,Mal
27,497,Nandurbar,3950,Akkalkuwa,525070,Hunakhamb
27,497,Nandurbar,3950,Akkalkuwa,525071,Khodi
27,497,Nandurbar,3950,Akkalkuwa,525072,Sari
27,497,Nandurbar,3950,Akkalkuwa,525073,Junwani
27,497,Nandurbar,3950,Akkalkuwa,525074,Sakliumar
27,497,Nandurbar,3950,Akkalkuwa,525075,Wadibar
27,497,Nandurbar,3950,Akkalkuwa,525076,Walamba (k)
27,497,Nandurbar,3950,Akkalkuwa,525077,Dahel
27,497,Nandurbar,3950,Akkalkuwa,525078,Mogra
27,497,Nandurbar,3950,Akkalkuwa,525079,Oghani
27,497,Nandurbar,3950,Akkalkuwa,525080,Chikhali
27,497,Nandurbar,3950,Akkalkuwa,525081,Walamba (R)
27,497,Nandurbar,3950,Akkalkuwa,525082,Nimbapati
27,497,Nandurbar,3950,Akkalkuwa,525083,Horafali
27,497,Nandurbar,3950,Akkalkuwa,525084,Beti
27,497,Nandurbar,3950,Akkalkuwa,525085,Morkhi
27,497,Nandurbar,3950,Akkalkuwa,525086,Thana
27,497,Nandurbar,3950,Akkalkuwa,525087,Khadakapani
27,497,Nandurbar,3950,Akkalkuwa,525088,Odhi
27,497,Nandurbar,3950,Akkalkuwa,525089,Kothali
27,497,Nandurbar,3950,Akkalkuwa,525090,Kataskhai
27,497,Nandurbar,3950,Akkalkuwa,525091,Ohwa
27,497,Nandurbar,3950,Akkalkuwa,525092,Todikund
27,497,Nandurbar,3950,Akkalkuwa,525093,Dab
27,497,Nandurbar,3950,Akkalkuwa,525094,Khai
27,497,Nandurbar,3950,Akkalkuwa,525095,Kuwa
27,497,Nandurbar,3950,Akkalkuwa,525096,Kolavimal
27,497,Nandurbar,3950,Akkalkuwa,525097,Kankalamal
27,497,Nandurbar,3950,Akkalkuwa,525098,Bharadipadar
27,497,Nandurbar,3950,Akkalkuwa,525099,Darasarapadar
27,497,Nandurbar,3950,Akkalkuwa,525100,Ukhalsag
27,497,Nandurbar,3950,Akkalkuwa,525101,Ambabari
27,497,Nandurbar,3950,Akkalkuwa,525102,Ratanbara
27,497,Nandurbar,3950,Akkalkuwa,525103,Rojkund
27,497,Nandurbar,3950,Akkalkuwa,525104,Moramba
27,497,Nandurbar,3950,Akkalkuwa,525105,Rampur
27,497,Nandurbar,3950,Akkalkuwa,525106,Shendvan
27,497,Nandurbar,3950,Akkalkuwa,525107,Talamba
27,497,Nandurbar,3950,Akkalkuwa,525108,Mahukhadi
27,497,Nandurbar,3950,Akkalkuwa,525109,Jambipani
27,497,Nandurbar,3950,Akkalkuwa,525110,Ranzani
27,497,Nandurbar,3950,Akkalkuwa,525111,Raisingpur
27,497,Nandurbar,3950,Akkalkuwa,525112,Ghunsi
27,497,Nandurbar,3950,Akkalkuwa,525113,Vadali
27,497,Nandurbar,3950,Akkalkuwa,525114,Lalpur
27,497,Nandurbar,3950,Akkalkuwa,525115,Kakadkhunt
27,497,Nandurbar,3950,Akkalkuwa,525116,Mahupada
27,497,Nandurbar,3950,Akkalkuwa,525117,Khadkuna
27,497,Nandurbar,3950,Akkalkuwa,525118,Kakdiamba
27,497,Nandurbar,3950,Akkalkuwa,525119,Gavhali
27,497,Nandurbar,3950,Akkalkuwa,525120,Dodwa
27,497,Nandurbar,3950,Akkalkuwa,525121,Nawapada
27,497,Nandurbar,3950,Akkalkuwa,525122,Umarkuva
27,497,Nandurbar,3950,Akkalkuwa,525123,Pechari Deo
27,497,Nandurbar,3950,Akkalkuwa,525124,Tawali
27,497,Nandurbar,3950,Akkalkuwa,525125,Porambi
27,497,Nandurbar,3950,Akkalkuwa,525126,Nawagaon
27,497,Nandurbar,3950,Akkalkuwa,525127,Mandara
27,497,Nandurbar,3950,Akkalkuwa,525128,Kolavi
27,497,Nandurbar,3950,Akkalkuwa,525129,Koyalivihir
27,497,Nandurbar,3950,Akkalkuwa,525130,Vakadhaman
27,497,Nandurbar,3950,Akkalkuwa,525131,Sonapati
27,497,Nandurbar,3950,Akkalkuwa,525132,Bhovara
27,497,Nandurbar,3950,Akkalkuwa,525133,Khatkuwa
27,497,Nandurbar,3950,Akkalkuwa,525134,Ankushvihir (Bri)
27,497,Nandurbar,3950,Akkalkuwa,525135,Khatwani
27,497,Nandurbar,3950,Akkalkuwa,525136,Ankushvihir (bri)
27,497,Nandurbar,3950,Akkalkuwa,525137,Digiamba
27,497,Nandurbar,3950,Akkalkuwa,525138,Junanagarmuthas
27,497,Nandurbar,3950,Akkalkuwa,525139,Nawa Nagarmutha
27,497,Nandurbar,3950,Akkalkuwa,525140,Khadake
27,497,Nandurbar,3950,Akkalkuwa,525141,Kumbharkhan
27,497,Nandurbar,3950,Akkalkuwa,525142,Gotpada
27,497,Nandurbar,3950,Akkalkuwa,525143,Chhote Udepur
27,497,Nandurbar,3950,Akkalkuwa,525144,Guliumbar
27,497,Nandurbar,3950,Akkalkuwa,525145,Dogripada
27,497,Nandurbar,3950,Akkalkuwa,525146,Rethi
27,497,Nandurbar,3950,Akkalkuwa,525147,Sheltapani
27,497,Nandurbar,3950,Akkalkuwa,525148,Chandpur
27,497,Nandurbar,3950,Akkalkuwa,525149,Udepur
27,497,Nandurbar,3950,Akkalkuwa,525150,Korai
27,497,Nandurbar,3950,Akkalkuwa,525151,Ziri Sawar
27,497,Nandurbar,3950,Akkalkuwa,525152,Nain Shewadi
27,497,Nandurbar,3950,Akkalkuwa,525153,Jamali (umar-kuwa)
27,497,Nandurbar,3950,Akkalkuwa,525154,Kauli
27,497,Nandurbar,3950,Akkalkuwa,525155,Amaliphali 
27,497,Nandurbar,3950,Akkalkuwa,525156,Bamangaon
27,497,Nandurbar,3950,Akkalkuwa,525157,Kadwa Mahu
27,497,Nandurbar,3950,Akkalkuwa,525158,Kawali Gavhan
27,497,Nandurbar,3950,Akkalkuwa,525159,Pimpalgaon
27,497,Nandurbar,3950,Akkalkuwa,525160,Guliamba
27,497,Nandurbar,3950,Akkalkuwa,525161,Khapran
27,497,Nandurbar,3950,Akkalkuwa,525162,Amali Bari
27,497,Nandurbar,3950,Akkalkuwa,525163,Kankala
27,497,Nandurbar,3950,Akkalkuwa,525164,Amali
27,497,Nandurbar,3950,Akkalkuwa,525165,Singpur Kh
27,497,Nandurbar,3950,Akkalkuwa,525166,Sojdan
27,497,Nandurbar,3950,Akkalkuwa,525167,Alivihir
27,497,Nandurbar,3950,Akkalkuwa,525168,Deomogaranagar 
27,497,Nandurbar,3950,Akkalkuwa,525169,Ghantani
27,497,Nandurbar,3950,Akkalkuwa,525170,Kankali
27,497,Nandurbar,3950,Akkalkuwa,525171,Gangapur
27,497,Nandurbar,3950,Akkalkuwa,525172,Thanavihir
27,497,Nandurbar,3950,Akkalkuwa,525173,Nala
27,497,Nandurbar,3950,Akkalkuwa,525174,Virpur
27,497,Nandurbar,3950,Akkalkuwa,525175,Galotha Bk
27,497,Nandurbar,3950,Akkalkuwa,525176,Kakerpada
27,497,Nandurbar,3950,Akkalkuwa,525177,Galotha Kh
27,497,Nandurbar,3950,Akkalkuwa,525178,Timakmauli
27,497,Nandurbar,3950,Akkalkuwa,525179,Boripada
27,497,Nandurbar,3950,Akkalkuwa,525180,Wadfali (Na)
27,497,Nandurbar,3950,Akkalkuwa,525181,Bhabalpur
27,497,Nandurbar,3950,Akkalkuwa,525182,Singpur Bk
27,497,Nandurbar,3950,Akkalkuwa,525183,Mandaviamba
27,497,Nandurbar,3950,Akkalkuwa,525184,Janiamba
27,497,Nandurbar,3950,Akkalkuwa,525185,Vanyavihir Bk
27,497,Nandurbar,3950,Akkalkuwa,525186,Vanyavihir Kh
27,497,Nandurbar,3950,Akkalkuwa,525187,Sorapada
27,497,Nandurbar,3950,Akkalkuwa,525188,Mithyafali
27,497,Nandurbar,3950,Akkalkuwa,525189,Pimpripada
27,497,Nandurbar,3950,Akkalkuwa,525190,Rajmohi (Mothi)
27,497,Nandurbar,3950,Akkalkuwa,525191,Rajmohi Chhoti 
27,497,Nandurbar,3950,Akkalkuwa,525192,Khapar (CT)
27,497,Nandurbar,3950,Akkalkuwa,525193,Akkalkuwa (CT)
27,497,Nandurbar,3950,Akkalkuwa,525194,Makranifali (CT)
27,497,Nandurbar,3951,Akrani,0,Akrani
27,497,Nandurbar,3951,Akrani,525195,Surung
27,497,Nandurbar,3951,Akrani,525196,Tinasmal
27,497,Nandurbar,3951,Akrani,525197,Chitkhedi
27,497,Nandurbar,3951,Akrani,525198,Duttal
27,497,Nandurbar,3951,Akrani,525199,Borsisa
27,497,Nandurbar,3951,Akrani,525200,Vahwani
27,497,Nandurbar,3951,Akrani,525201,Nal Gavhan
27,497,Nandurbar,3951,Akrani,525202,Bhanoli
27,497,Nandurbar,3951,Akrani,525203,Jalola
27,497,Nandurbar,3951,Akrani,525204,Chhapari
27,497,Nandurbar,3951,Akrani,525205,Nandalwad
27,497,Nandurbar,3951,Akrani,525206,Pimpri
27,497,Nandurbar,3951,Akrani,525207,Achapa
27,497,Nandurbar,3951,Akrani,525208,Amala
27,497,Nandurbar,3951,Akrani,525209,Jamanvahi
27,497,Nandurbar,3951,Akrani,525210,Son Kh
27,497,Nandurbar,3951,Akrani,525211,Son Bk
27,497,Nandurbar,3951,Akrani,525212,Khadkya
27,497,Nandurbar,3951,Akrani,525213,Katri
27,497,Nandurbar,3951,Akrani,525214,Katri Forest
27,497,Nandurbar,3951,Akrani,525215,Khuntamodi
27,497,Nandurbar,3951,Akrani,525216,Kundal
27,497,Nandurbar,3951,Akrani,525217,Khanbara
27,497,Nandurbar,3951,Akrani,525218,Mojara
27,497,Nandurbar,3951,Akrani,525219,Varkhedi Bk
27,497,Nandurbar,3951,Akrani,525220,Varkhedi Kh
27,497,Nandurbar,3951,Akrani,525221,Hatdhui
27,497,Nandurbar,3951,Akrani,525222,Tembhala
27,497,Nandurbar,3951,Akrani,525223,Kharda
27,497,Nandurbar,3951,Akrani,525224,Nimkhedi
27,497,Nandurbar,3951,Akrani,525225,Bhogawade Bk
27,497,Nandurbar,3951,Akrani,525226,Umarani Bk
27,497,Nandurbar,3951,Akrani,525227,Umarani Kh
27,497,Nandurbar,3951,Akrani,525228,Bhujgaon
27,497,Nandurbar,3951,Akrani,525229,Surwani
27,497,Nandurbar,3951,Akrani,525230,Somane
27,497,Nandurbar,3951,Akrani,525231,Mundalwad
27,497,Nandurbar,3951,Akrani,525232,Harankhuri
27,497,Nandurbar,3951,Akrani,525233,Roshamal Bk
27,497,Nandurbar,3951,Akrani,525234,Bhogawade Kh
27,497,Nandurbar,3951,Akrani,525235,Dhanaje Bk
27,497,Nandurbar,3951,Akrani,525236,Borwan
27,497,Nandurbar,3951,Akrani,525237,Dhadgaon
27,497,Nandurbar,3951,Akrani,525238,Chondwade Bk
27,497,Nandurbar,3951,Akrani,525239,Dhanaje Kh
27,497,Nandurbar,3951,Akrani,525240,Chondwade Kh
27,497,Nandurbar,3951,Akrani,525241,Bilbarpada
27,497,Nandurbar,3951,Akrani,525242,Ambari
27,497,Nandurbar,3951,Akrani,525243,Kharwad
27,497,Nandurbar,3951,Akrani,525244,Kundya
27,497,Nandurbar,3951,Akrani,525245,Velkhedi
27,497,Nandurbar,3951,Akrani,525246,Mundalgaon
27,497,Nandurbar,3951,Akrani,525247,Toranmal (New)
27,497,Nandurbar,3951,Akrani,525248,Godamba
27,497,Nandurbar,3951,Akrani,525249,Jugani
27,497,Nandurbar,3951,Akrani,525250,Khamala
27,497,Nandurbar,3951,Akrani,525251,Kakarda
27,497,Nandurbar,3951,Akrani,525252,Ghatli
27,497,Nandurbar,3951,Akrani,525253,Kamod
27,497,Nandurbar,3951,Akrani,525254,Mokh Bk
27,497,Nandurbar,3951,Akrani,525255,Khushgavhan
27,497,Nandurbar,3951,Akrani,525256,Manwani Kh
27,497,Nandurbar,3951,Akrani,525257,Chippal
27,497,Nandurbar,3951,Akrani,525258,Kusumveri
27,497,Nandurbar,3951,Akrani,525259,Palkha
27,497,Nandurbar,3951,Akrani,525260,Nawegaon
27,497,Nandurbar,3951,Akrani,525261,Mankhedi Bk
27,497,Nandurbar,3951,Akrani,525262,Radikalam
27,497,Nandurbar,3951,Akrani,525263,Manwani Bk
27,497,Nandurbar,3951,Akrani,525264,Kela Kh
27,497,Nandurbar,3951,Akrani,525265,Mokh Kh
27,497,Nandurbar,3951,Akrani,525266,Panbari
27,497,Nandurbar,3951,Akrani,525267,Talai
27,497,Nandurbar,3951,Akrani,525268,Padamund
27,497,Nandurbar,3951,Akrani,525269,Kela Bk
27,497,Nandurbar,3951,Akrani,525270,Sisa
27,497,Nandurbar,3951,Akrani,525271,Chulwad
27,497,Nandurbar,3951,Akrani,525272,Kakarpati
27,497,Nandurbar,3951,Akrani,525273,Kalibel
27,497,Nandurbar,3951,Akrani,525274,Asali
27,497,Nandurbar,3951,Akrani,525275,Ramsala
27,497,Nandurbar,3951,Akrani,525276,Padali
27,497,Nandurbar,3951,Akrani,525277,Chittar
27,497,Nandurbar,3951,Akrani,525278,Chittar Forest
27,497,Nandurbar,3951,Akrani,525279,Ukhaliamba
27,497,Nandurbar,3951,Akrani,525280,Mal
27,497,Nandurbar,3951,Akrani,525281,Valiamba
27,497,Nandurbar,3951,Akrani,525282,Astamba
27,497,Nandurbar,3951,Akrani,525283,Astamba Forest
27,497,Nandurbar,3951,Akrani,525284,Paula
27,497,Nandurbar,3951,Akrani,525285,Pimpalchop
27,497,Nandurbar,3951,Akrani,525286,Atti
27,497,Nandurbar,3951,Akrani,525287,Keli
27,497,Nandurbar,3951,Akrani,525288,Thuwani
27,497,Nandurbar,3951,Akrani,525289,Bharad
27,497,Nandurbar,3951,Akrani,525290,Shikka
27,497,Nandurbar,3951,Akrani,525291,Nimgavhan
27,497,Nandurbar,3951,Akrani,525292,Domkhedi
27,497,Nandurbar,3951,Akrani,525293,Shelgada
27,497,Nandurbar,3951,Akrani,525294,Makadkund
27,497,Nandurbar,3951,Akrani,525295,Goradi
27,497,Nandurbar,3951,Akrani,525296,Kumbhari
27,497,Nandurbar,3951,Akrani,525297,Roshamal Kh
27,497,Nandurbar,3951,Akrani,525298,Kuktar
27,497,Nandurbar,3951,Akrani,525299,Akwani
27,497,Nandurbar,3951,Akrani,525300,Shelda
27,497,Nandurbar,3951,Akrani,525301,Junana
27,497,Nandurbar,3951,Akrani,525302,Mal
27,497,Nandurbar,3951,Akrani,525303,Khardi Kh
27,497,Nandurbar,3951,Akrani,525304,Bilgaon
27,497,Nandurbar,3951,Akrani,525305,Genda
27,497,Nandurbar,3951,Akrani,525306,Khutwada
27,497,Nandurbar,3951,Akrani,525307,Bori
27,497,Nandurbar,3951,Akrani,525308,Khardi Bk
27,497,Nandurbar,3951,Akrani,525309,Kamod Bk
27,497,Nandurbar,3951,Akrani,525310,Rajbardi
27,497,Nandurbar,3951,Akrani,525311,Shelkui
27,497,Nandurbar,3951,Akrani,525312,Sindvani
27,497,Nandurbar,3951,Akrani,525313,Katra
27,497,Nandurbar,3951,Akrani,525314,Telkhedi
27,497,Nandurbar,3951,Akrani,525315,Tembhurni
27,497,Nandurbar,3951,Akrani,525316,Mankhedi Kh
27,497,Nandurbar,3951,Akrani,525317,Mandvi Bk
27,497,Nandurbar,3951,Akrani,525318,Nigadi
27,497,Nandurbar,3951,Akrani,525319,Mandvi Kh
27,497,Nandurbar,3951,Akrani,525320,Khadkale Bk
27,497,Nandurbar,3951,Akrani,525321,Bodala
27,497,Nandurbar,3951,Akrani,525322,Khadkale Kh
27,497,Nandurbar,3951,Akrani,525323,Vavi
27,497,Nandurbar,3951,Akrani,525324,Kelimojara
27,497,Nandurbar,3951,Akrani,525325,Zummad
27,497,Nandurbar,3951,Akrani,525326,Maktarzira
27,497,Nandurbar,3951,Akrani,525327,Warwali
27,497,Nandurbar,3951,Akrani,525328,Sadri
27,497,Nandurbar,3951,Akrani,525329,Udadya
27,497,Nandurbar,3951,Akrani,525330,Bhadal
27,497,Nandurbar,3951,Akrani,525331,Bhabri
27,497,Nandurbar,3951,Akrani,525332,Bhamane
27,497,Nandurbar,3951,Akrani,525333,Bhusha
27,497,Nandurbar,3951,Akrani,525334,Sawaryadigar
27,497,Nandurbar,3951,Akrani,525335,Japi
27,497,Nandurbar,3951,Akrani,525336,Phalai
27,497,Nandurbar,3951,Akrani,525337,Sawarya
27,497,Nandurbar,3951,Akrani,525338,Lekhada
27,497,Nandurbar,3951,Akrani,525339,Sindidigar
27,497,Nandurbar,3951,Akrani,525340,Khadki
27,497,Nandurbar,3951,Akrani,525341,Chikhali
27,497,Nandurbar,3951,Akrani,525342,Kuwarkhot
27,497,Nandurbar,3951,Akrani,525343,Trishul
27,497,Nandurbar,3951,Akrani,525344,Kuklad
27,497,Nandurbar,3951,Akrani,525345,Toranmal (june)
27,497,Nandurbar,3951,Akrani,525346,Kelapani
27,497,Nandurbar,3951,Akrani,525347,Valval
27,497,Nandurbar,3951,Akrani,525348,Jarali
27,497,Nandurbar,3951,Akrani,525349,Kamod Kh
27,497,Nandurbar,3951,Akrani,525350,Chhinalkuwa
27,497,Nandurbar,3951,Akrani,525351,Gaurya
27,497,Nandurbar,3951,Akrani,525352,Sirsani
27,497,Nandurbar,3951,Akrani,525353,Pimpalbari
27,497,Nandurbar,3951,Akrani,525354,Bijari
27,497,Nandurbar,3951,Akrani,525355,Chinchkathi
27,497,Nandurbar,3951,Akrani,525356,Chandsaili
27,497,Nandurbar,3951,Akrani,525357,Vadfalya (CT)
27,497,Nandurbar,3952,Talode,0,Talode
27,497,Nandurbar,3952,Talode,525358,Ichhagavhan
27,497,Nandurbar,3952,Talode,525359,Sawar
27,497,Nandurbar,3952,Talode,525360,Kundave
27,497,Nandurbar,3952,Talode,525361,Biyamal
27,497,Nandurbar,3952,Talode,525362,Ekdhad
27,497,Nandurbar,3952,Talode,525363,Walheri
27,497,Nandurbar,3952,Talode,525364,Sojarbara
27,497,Nandurbar,3952,Talode,525365,Narmadanagar 
27,497,Nandurbar,3952,Talode,525366,Dekati
27,497,Nandurbar,3952,Talode,525367,Sardarnagar 
27,497,Nandurbar,3952,Talode,525368,Amalpada
27,497,Nandurbar,3952,Talode,525369,Pimparpada
27,497,Nandurbar,3952,Talode,525370,Retpada
27,497,Nandurbar,3952,Talode,525371,Ratanpada
27,497,Nandurbar,3952,Talode,525372,Umarkuwa
27,497,Nandurbar,3952,Talode,525373,Sorapada
27,497,Nandurbar,3952,Talode,525374,Ranapur
27,497,Nandurbar,3952,Talode,525375,Shirve
27,497,Nandurbar,3952,Talode,525376,Padhadi
27,497,Nandurbar,3952,Talode,525377,Somawal Bk
27,497,Nandurbar,3952,Talode,525378,Khusgavhan
27,497,Nandurbar,3952,Talode,525379,Somawal Kh
27,497,Nandurbar,3952,Talode,525380,Belipada
27,497,Nandurbar,3952,Talode,525381,Rajviri
27,497,Nandurbar,3952,Talode,525382,Budhavali
27,497,Nandurbar,3952,Talode,525383,Lobhani
27,497,Nandurbar,3952,Talode,525384,Budhaval
27,497,Nandurbar,3952,Talode,525385,Nalgavhan
27,497,Nandurbar,3952,Talode,525386,Ziri
27,497,Nandurbar,3952,Talode,525387,Kakalpur
27,497,Nandurbar,3952,Talode,525388,Shelwai
27,497,Nandurbar,3952,Talode,525389,Rampur
27,497,Nandurbar,3952,Talode,525390,Modalpada
27,497,Nandurbar,3952,Talode,525391,Satone
27,497,Nandurbar,3952,Talode,525392,Mendhwad
27,497,Nandurbar,3952,Talode,525393,Gaulanpada
27,497,Nandurbar,3952,Talode,525394,Mal Kh
