stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
14,0,MANIPUR,0,MANIPUR,0,MANIPUR
14,272,Senapati,0,Senapati,0,Senapati
14,272,Senapati,1858,Mao-Maram,0,Mao-Maram
14,272,Senapati,1858,Mao-Maram,268402,Tamphung
14,272,Senapati,1858,Mao-Maram,268403,Chakha
14,272,Senapati,1858,Mao-Maram,268404,Khangjang
14,272,Senapati,1858,Mao-Maram,268405,Thuyen
14,272,Senapati,1858,Mao-Maram,268406,Yangkhunou
14,272,Senapati,1858,Mao-Maram,268407,Bedramei
14,272,Senapati,1858,Mao-Maram,268408,Zenamci
14,272,Senapati,1858,Mao-Maram,268409,Zenamyi
14,272,Senapati,1858,Mao-Maram,268410,Yangkhullen
14,272,Senapati,1858,Mao-Maram,268411,Kenelu
14,272,Senapati,1858,Mao-Maram,268412,Kamalong
14,272,Senapati,1858,Mao-Maram,268413,Willong Khunou
14,272,Senapati,1858,Mao-Maram,268414,Willong Khullen
14,272,Senapati,1858,Mao-Maram,268415,Shang Khumei
14,272,Senapati,1858,Mao-Maram,268416,Sangkunglung
14,272,Senapati,1858,Mao-Maram,268417,Rajamei
14,272,Senapati,1858,Mao-Maram,268418,Oklong
14,272,Senapati,1858,Mao-Maram,268419,Oklong Maryam
14,272,Senapati,1858,Mao-Maram,268420,Oklong Khunou
14,272,Senapati,1858,Mao-Maram,268421,Kanem
14,272,Senapati,1858,Mao-Maram,268422,Makulongdi
14,272,Senapati,1858,Mao-Maram,268423,Sadim Naga   (Emesho Sadim)
14,272,Senapati,1858,Mao-Maram,268424,Emesiiphro 
14,272,Senapati,1858,Mao-Maram,268425,Maram Khunou
14,272,Senapati,1858,Mao-Maram,268426,Katomei
14,272,Senapati,1858,Mao-Maram,268427,Katomei Makeng
14,272,Senapati,1858,Mao-Maram,268428,Katomei Centre
14,272,Senapati,1858,Mao-Maram,268429,Makeng Cheijinba Katomei
14,272,Senapati,1858,Mao-Maram,268430,Taphou Naga
14,272,Senapati,1858,Mao-Maram,268431,Taphou Phyamai
14,272,Senapati,1858,Mao-Maram,268432,Taphou Oneame
14,272,Senapati,1858,Mao-Maram,268433,Taphou Pudunamei
14,272,Senapati,1858,Mao-Maram,268434,Taphou Ngaihang
14,272,Senapati,1858,Mao-Maram,268435,Rikhumai Taphou
14,272,Senapati,1858,Mao-Maram,268436,Ikailongdi
14,272,Senapati,1858,Mao-Maram,268437,Makhrelui
14,272,Senapati,1858,Mao-Maram,268438,Senapati
14,272,Senapati,1858,Mao-Maram,268439,Mao Karong
14,272,Senapati,1858,Mao-Maram,268440,Khabung Karong
14,272,Senapati,1858,Mao-Maram,268441,Kathikho
14,272,Senapati,1858,Mao-Maram,268442,Maram Mathak Sagei
14,272,Senapati,1858,Mao-Maram,268443,Maram Khulakpa Sagei
14,272,Senapati,1858,Mao-Maram,268444,Maram Makha Sagei
14,272,Senapati,1858,Mao-Maram,268445,Maram Kavanam
14,272,Senapati,1858,Mao-Maram,268446,Maram Centre
14,272,Senapati,1858,Mao-Maram,268447,Maram Sagonbam
14,272,Senapati,1858,Mao-Maram,268448,Lairoching
14,272,Senapati,1858,Mao-Maram,268449,Mao Marafii
14,272,Senapati,1858,Mao-Maram,268450,Khriidziiphi
14,272,Senapati,1858,Mao-Maram,268451,Khongnem
14,272,Senapati,1858,Mao-Maram,268452,Puni Pfosemai
14,272,Senapati,1858,Mao-Maram,268453,Emefiithumai
14,272,Senapati,1858,Mao-Maram,268454,New Maram
14,272,Senapati,1858,Mao-Maram,268455,Toklung
14,272,Senapati,1858,Mao-Maram,268456,Maram Ramlung
14,272,Senapati,1858,Mao-Maram,268457,Maram Bazar
14,272,Senapati,1858,Mao-Maram,268458,Makhan Khuman
14,272,Senapati,1858,Mao-Maram,268459,Mao Pundung
14,272,Senapati,1858,Mao-Maram,268460,Pungdunglung
14,272,Senapati,1858,Mao-Maram,268461,Makhan Khullen
14,272,Senapati,1858,Mao-Maram,268462,Makhan Centre 
14,272,Senapati,1858,Mao-Maram,268463,Makhan Lovadziingho
14,272,Senapati,1858,Mao-Maram,268464,New Makhan
14,272,Senapati,1858,Mao-Maram,268465,Chowainamei Khullen
14,272,Senapati,1858,Mao-Maram,268466,Chowainamei Khunou
14,272,Senapati,1858,Mao-Maram,268467,Takeimei
14,272,Senapati,1858,Mao-Maram,268468,Chakumei
14,272,Senapati,1858,Mao-Maram,268469,Tadubi
14,272,Senapati,1858,Mao-Maram,268470,Phikomai
14,272,Senapati,1858,Mao-Maram,268471,New Magaimai
14,272,Senapati,1858,Mao-Maram,268472,Song Song
14,272,Senapati,1858,Mao-Maram,268473,Kalinamei
14,272,Senapati,1858,Mao-Maram,268474,Kayinu
14,272,Senapati,1858,Mao-Maram,268475,Namgailong Rongmei
14,272,Senapati,1858,Mao-Maram,268476,Rabunamei
14,272,Senapati,1858,Mao-Maram,268477,Punanamei
14,272,Senapati,1858,Mao-Maram,268478,Pudunamei
14,272,Senapati,1858,Mao-Maram,268479,Chowainu
14,272,Senapati,1858,Mao-Maram,268480,Robve Solephe
14,272,Senapati,1858,Mao-Maram,268481,Tobumei
14,272,Senapati,1858,Mao-Maram,268482,Shajouba
14,272,Senapati,1858,Mao-Maram,268483,Makhel
14,272,Senapati,1858,Mao-Maram,268484,Keibi
14,272,Senapati,1858,Mao-Maram,268485,Khabung 
14,272,Senapati,1858,Mao-Maram,268486,Sorbung
14,272,Senapati,1858,Mao-Maram,268487,Khamsom
14,272,Senapati,1858,Mao-Maram,268488,Tingsong
14,272,Senapati,1858,Mao-Maram,268489,Ngatan
14,272,Senapati,1858,Mao-Maram,268490,Nsebekie
14,272,Senapati,1858,Mao-Maram,268491,Bollen Kuki
14,272,Senapati,1858,Mao-Maram,268492,Phoibung Kuki
14,272,Senapati,1858,Mao-Maram,268493,Changsang
14,272,Senapati,1858,Mao-Maram,268494,Leisangphung
14,272,Senapati,1858,Mao-Maram,268495,Washangphung
14,272,Senapati,1859,Paomata,0,Paomata
14,272,Senapati,1859,Paomata,268496,Laii Sarafii
14,272,Senapati,1859,Paomata,268497,New Laii
14,272,Senapati,1859,Paomata,268498,Laii
14,272,Senapati,1859,Paomata,268499,Katafiimei
14,272,Senapati,1859,Paomata,268500,Chingmei Khunou
14,272,Senapati,1859,Paomata,268501,Chingmei Khullen
14,272,Senapati,1859,Paomata,268502,Liyai Khunou
14,272,Senapati,1859,Paomata,268503,Liyai Khullen
14,272,Senapati,1859,Paomata,268504,Tungjoy Rikhubumai
14,272,Senapati,1859,Paomata,268505,Tungjoy
14,272,Senapati,1859,Paomata,268506,Paomata Centre
14,272,Senapati,1859,Paomata,268507,Tungam Makhufii
14,272,Senapati,1859,Paomata,268508,Tungam Khullen
14,272,Senapati,1859,Paomata,268509,Tungam Afii
14,272,Senapati,1859,Paomata,268510,Saranamei
14,272,Senapati,1859,Paomata,268511,Rakhutao
14,272,Senapati,1859,Paomata,268512,Khaikho
14,272,Senapati,1859,Paomata,268513,Phuba Khuman
14,272,Senapati,1859,Paomata,268514,Phuba Thapham
14,272,Senapati,1859,Paomata,268515,Maiba
14,272,Senapati,1860,Purul ,0,Purul 
14,272,Senapati,1860,Purul ,268516,Koide Makha
14,272,Senapati,1860,Purul ,268517,Koide Mathak
14,272,Senapati,1860,Purul ,268518,Purul Rosofii 
14,272,Senapati,1860,Purul ,268519,Purul Atongba
14,272,Senapati,1860,Purul ,268520,Purul Akutpa
14,272,Senapati,1860,Purul ,268521,Shirong
14,272,Senapati,1860,Purul ,268522,Lakhamei
14,272,Senapati,1860,Purul ,268523,Kodom Khullen
14,272,Senapati,1860,Purul ,268524,Kodom Khavii
14,272,Senapati,1860,Purul ,268525,Phaibung Khullen
14,272,Senapati,1860,Purul ,268526,Phaibung Khunou
14,272,Senapati,1860,Purul ,268527,Lower Phaibung
14,272,Senapati,1860,Purul ,268528,Ngari Raidolumai
14,272,Senapati,1860,Purul ,268529,Ngari Khullen
14,272,Senapati,1860,Purul ,268530,Ngari Lishang
14,272,Senapati,1860,Purul ,268531,Thiwa
14,272,Senapati,1860,Purul ,268532,Thiwa Songdo
14,272,Senapati,1860,Purul ,268533,Khongdei Khuman
14,272,Senapati,1860,Purul ,268534,Khongdei Shimphung
14,272,Senapati,1860,Purul ,268535,Khongdei Ngawar
14,272,Senapati,1860,Purul ,268536,Ngamju
14,272,Senapati,1860,Purul ,268537,Oinam
14,272,Senapati,1860,Purul ,268538,Thingba Khullen
14,272,Senapati,1860,Purul ,268539,Thingba Khunou
14,272,Senapati,1860,Purul ,268540,Keiye
14,272,Senapati,1860,Purul ,268541,Raafii
14,272,Senapati,1860,Purul ,268542,Kapao
14,272,Senapati,1861,Sadar Hills West,0,Sadar Hills West
14,272,Senapati,1861,Sadar Hills West,268543,Bollen
14,272,Senapati,1861,Sadar Hills West,268544,Khommunom
14,272,Senapati,1861,Sadar Hills West,268545,Geljang
14,272,Senapati,1861,Sadar Hills West,268546,Songjang Pakang
14,272,Senapati,1861,Sadar Hills West,268547,Kotlen
14,272,Senapati,1861,Sadar Hills West,268548,Leisang
14,272,Senapati,1861,Sadar Hills West,268549,12 Miles It Road
14,272,Senapati,1861,Sadar Hills West,268550,Holjang
14,272,Senapati,1861,Sadar Hills West,268551,Songpijang
14,272,Senapati,1861,Sadar Hills West,268552,Khollen
14,272,Senapati,1861,Sadar Hills West,268553,Paodel Basti
14,272,Senapati,1861,Sadar Hills West,268554,Selsi
14,272,Senapati,1861,Sadar Hills West,268555,Songjang Phailen
14,272,Senapati,1861,Sadar Hills West,268556,Thonglang Akutpa
14,272,Senapati,1861,Sadar Hills West,268557,Thonglang Atongba
14,272,Senapati,1861,Sadar Hills West,268558,Jhil
14,272,Senapati,1861,Sadar Hills West,268559,Kharpani
14,272,Senapati,1861,Sadar Hills West,268560,Makui Asang
14,272,Senapati,1861,Sadar Hills West,268561,Maokot
14,272,Senapati,1861,Sadar Hills West,268562,Gelnel
14,272,Senapati,1861,Sadar Hills West,268563,T.Waichong
14,272,Senapati,1861,Sadar Hills West,268564,Joupi
14,272,Senapati,1861,Sadar Hills West,268565,Gelbung
14,272,Senapati,1861,Sadar Hills West,268566,Dahalthari
14,272,Senapati,1861,Sadar Hills West,268567,Harup Kuki
14,272,Senapati,1861,Sadar Hills West,268568,Naibet
14,272,Senapati,1861,Sadar Hills West,268569,Gorkha Harup
14,272,Senapati,1861,Sadar Hills West,268570,Timsina
14,272,Senapati,1861,Sadar Hills West,268571,Makui Mayangkhang
14,272,Senapati,1861,Sadar Hills West,268572,Govajang
14,272,Senapati,1861,Sadar Hills West,268573,Santing (West)
14,272,Senapati,1861,Sadar Hills West,268574,Chalwa
14,272,Senapati,1861,Sadar Hills West,268575,T. Khonomphai
14,272,Senapati,1861,Sadar Hills West,268576,N.Teikhang
14,272,Senapati,1861,Sadar Hills West,268577,Haimol
14,272,Senapati,1861,Sadar Hills West,268578,Phoikon
14,272,Senapati,1861,Sadar Hills West,268579,Thardara
14,272,Senapati,1861,Sadar Hills West,268580,Harup Naga
14,272,Senapati,1861,Sadar Hills West,268581,Dhori Ghari
14,272,Senapati,1861,Sadar Hills West,268582,Chuchekhup
14,272,Senapati,1861,Sadar Hills West,268583,Tahar Basti
14,272,Senapati,1861,Sadar Hills West,268584,Lamchok
14,272,Senapati,1861,Sadar Hills West,268585,School Parganda
14,272,Senapati,1861,Sadar Hills West,268586,Maohing Nepali
14,272,Senapati,1861,Sadar Hills West,268587,Ghimithari
14,272,Senapati,1861,Sadar Hills West,268588,M.Chaljang
14,272,Senapati,1861,Sadar Hills West,268589,Laloi
14,272,Senapati,1861,Sadar Hills West,268590,Makui Naga
14,272,Senapati,1861,Sadar Hills West,268591,Kolghari
14,272,Senapati,1861,Sadar Hills West,268592,Thulochor
14,272,Senapati,1861,Sadar Hills West,268593,Riyar Tahar
14,272,Senapati,1861,Sadar Hills West,268594,Manedra
14,272,Senapati,1861,Sadar Hills West,268595,Harup Khopi
14,272,Senapati,1861,Sadar Hills West,268596,Maohing Kuki
14,272,Senapati,1861,Sadar Hills West,268597,Aveil
14,272,Senapati,1861,Sadar Hills West,268598,Chawangkening
14,272,Senapati,1861,Sadar Hills West,268599,Haizawl
14,272,Senapati,1861,Sadar Hills West,268600,Bileijang
14,272,Senapati,1861,Sadar Hills West,268601,Tapon Naga
14,272,Senapati,1861,Sadar Hills West,268602,Gorkha Tapon
14,272,Senapati,1861,Sadar Hills West,268603,Noonpani
14,272,Senapati,1861,Sadar Hills West,268604,Kailenjang
14,272,Senapati,1861,Sadar Hills West,268605,Laikot
14,272,Senapati,1861,Sadar Hills West,268606,Langka
14,272,Senapati,1861,Sadar Hills West,268607,S.Keithelmanbi
14,272,Senapati,1861,Sadar Hills West,268608,Natheljang
14,272,Senapati,1861,Sadar Hills West,268609,Satikhola
14,272,Senapati,1861,Sadar Hills West,268610,Santolabari
14,272,Senapati,1861,Sadar Hills West,268611,Kharkhari
14,272,Senapati,1861,Sadar Hills West,268612,Panikheti
14,272,Senapati,1861,Sadar Hills West,268613,Has Pukhri
14,272,Senapati,1861,Sadar Hills West,268614,Bajaghara
14,272,Senapati,1861,Sadar Hills West,268615,Toribari
14,272,Senapati,1861,Sadar Hills West,268616,Songtun (J)
14,272,Senapati,1861,Sadar Hills West,268617,Songpekjang
14,272,Senapati,1861,Sadar Hills West,268618,Songpekjang Nepali
14,272,Senapati,1861,Sadar Hills West,268619,Taphou Kuki
14,272,Senapati,1861,Sadar Hills West,268620,Maramei
14,272,Senapati,1861,Sadar Hills West,268621,Hengbung
14,272,Senapati,1861,Sadar Hills West,268622,Mayangkhang Khunou
14,272,Senapati,1861,Sadar Hills West,268623,Mayangkhang 
14,272,Senapati,1861,Sadar Hills West,268624,M.Ningthoupham
14,272,Senapati,1861,Sadar Hills West,268625,T. Khullen 
14,272,Senapati,1861,Sadar Hills West,268626,N.Changoubung
14,272,Senapati,1861,Sadar Hills West,268627,Chingloubung 
14,272,Senapati,1861,Sadar Hills West,268628,Saikotjang
14,272,Senapati,1861,Sadar Hills West,268629,Tokpa Naga
14,272,Senapati,1861,Sadar Hills West,268630,Jangnom
14,272,Senapati,1861,Sadar Hills West,268631,Mahabir
14,272,Senapati,1861,Sadar Hills West,268632,Washangpung
14,272,Senapati,1861,Sadar Hills West,268633,K. Gamnom
14,272,Senapati,1861,Sadar Hills West,268634,Chandraman
14,272,Senapati,1861,Sadar Hills West,268635,Makuli
14,272,Senapati,1861,Sadar Hills West,268636,Kharkhola
14,272,Senapati,1861,Sadar Hills West,268637,Thanamba
14,272,Senapati,1861,Sadar Hills West,268638,Haipi
14,272,Senapati,1861,Sadar Hills West,268639,Lungphou
14,272,Senapati,1861,Sadar Hills West,268640,Lungphou Nepali
14,272,Senapati,1861,Sadar Hills West,268641,S.Changoubung
14,272,Senapati,1861,Sadar Hills West,268642,V.Changoubung
14,272,Senapati,1861,Sadar Hills West,268643,Kholjang
14,272,Senapati,1861,Sadar Hills West,268644,P.Khothah
14,272,Senapati,1861,Sadar Hills West,268645,S. Khomunnom
14,272,Senapati,1861,Sadar Hills West,268646,Ameladara
14,272,Senapati,1861,Sadar Hills West,268647,Parsain
14,272,Senapati,1861,Sadar Hills West,268648,Kongpao
14,272,Senapati,1861,Sadar Hills West,268649,Tumnoupokpi
14,272,Senapati,1861,Sadar Hills West,268650,Tumuyon Khunou
14,272,Senapati,1861,Sadar Hills West,268651,Daili
14,272,Senapati,1861,Sadar Hills West,268652,Phyapau
14,272,Senapati,1861,Sadar Hills West,268653,Haijang
14,272,Senapati,1861,Sadar Hills West,268654,Upper Kalapahar
14,272,Senapati,1861,Sadar Hills West,268655,Mahika
14,272,Senapati,1861,Sadar Hills West,268656,Gopibung Kuki
14,272,Senapati,1861,Sadar Hills West,268657,Gopibung Nepali
14,272,Senapati,1861,Sadar Hills West,268658,Liyai Kalapahar
14,272,Senapati,1861,Sadar Hills West,268659,Manidara
14,272,Senapati,1861,Sadar Hills West,268660,Chandmari
14,272,Senapati,1861,Sadar Hills West,268661,Tokpa Nepali
14,272,Senapati,1861,Sadar Hills West,268662,Tujang Pt. I
14,272,Senapati,1861,Sadar Hills West,268663,Tujang Pt. Ii
14,272,Senapati,1861,Sadar Hills West,268664,Canaanphai
14,272,Senapati,1861,Sadar Hills West,268665,Paspati
14,272,Senapati,1861,Sadar Hills West,268666,Jangmol
14,272,Senapati,1861,Sadar Hills West,268667,Molsang
14,272,Senapati,1861,Sadar Hills West,268668,S.Jalenmol
14,272,Senapati,1861,Sadar Hills West,268669,Lower Kalapahar
14,272,Senapati,1861,Sadar Hills West,268670,Songtun (K)
14,272,Senapati,1861,Sadar Hills West,268671,L. Sehjang
