stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
17,0,MEGHALAYA,0,MEGHALAYA,0,MEGHALAYA
17,293,West Garo Hills,0,West Garo Hills,0,West Garo Hills
17,293,West Garo Hills,1962,Selsella,0,Selsella
17,293,West Garo Hills,1962,Selsella,272744,Burirjhar
17,293,West Garo Hills,1962,Selsella,272745,Nama Burirjhar
17,293,West Garo Hills,1962,Selsella,272746,Bhangarpar
17,293,West Garo Hills,1962,Selsella,272747,Gandhimari
17,293,West Garo Hills,1962,Selsella,272748,Pabomari
17,293,West Garo Hills,1962,Selsella,272749,Williampur
17,293,West Garo Hills,1962,Selsella,272750,Nidanpur
17,293,West Garo Hills,1962,Selsella,272751,Sorokpara
17,293,West Garo Hills,1962,Selsella,272752,Alokdia
17,293,West Garo Hills,1962,Selsella,272753,Paham
17,293,West Garo Hills,1962,Selsella,272754,Paham Tilapara
17,293,West Garo Hills,1962,Selsella,272755,Pathorkata
17,293,West Garo Hills,1962,Selsella,272756,Gofuapara
17,293,West Garo Hills,1962,Selsella,272757,Upper Nalbari
17,293,West Garo Hills,1962,Selsella,272758,Lower Nalbari  - I
17,293,West Garo Hills,1962,Selsella,272759,Pushkanipara
17,293,West Garo Hills,1962,Selsella,272760,Maulakandi
17,293,West Garo Hills,1962,Selsella,272761,Galadigli
17,293,West Garo Hills,1962,Selsella,272762,Bamundanga
17,293,West Garo Hills,1962,Selsella,272763,Kokaimari
17,293,West Garo Hills,1962,Selsella,272764,Dewankata
17,293,West Garo Hills,1962,Selsella,272765,Bangalkata
17,293,West Garo Hills,1962,Selsella,272766,Apalgre  
17,293,West Garo Hills,1962,Selsella,272767,Kaimbatapara
17,293,West Garo Hills,1962,Selsella,272768,Kalapani     II
17,293,West Garo Hills,1962,Selsella,272769,Kalapani    
17,293,West Garo Hills,1962,Selsella,272770,Gopalthan
17,293,West Garo Hills,1962,Selsella,272771,Broshibanda
17,293,West Garo Hills,1962,Selsella,272772,Goladigli
17,293,West Garo Hills,1962,Selsella,272773,Charbatapara
17,293,West Garo Hills,1962,Selsella,272774,Haribhanga
17,293,West Garo Hills,1962,Selsella,272775,Bholarbhita
17,293,West Garo Hills,1962,Selsella,272776,Bholarbhita  (W)
17,293,West Garo Hills,1962,Selsella,272777,Shyamnagar
