stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
15,0,MIZORAM,0,MIZORAM,0,MIZORAM
15,281,Mamit,0,Mamit,0,Mamit
15,281,Mamit,1896,Zawlnuam,0,Zawlnuam
15,281,Mamit,1896,Zawlnuam,271013,Kanhmun
15,281,Mamit,1896,Zawlnuam,271014,Luimawi
15,281,Mamit,1896,Zawlnuam,271015,Bajirungpaveng
15,281,Mamit,1896,Zawlnuam,271016,Thinghlun
15,281,Mamit,1896,Zawlnuam,271017,Kolalian
15,281,Mamit,1896,Zawlnuam,271018,Hriphaw
15,281,Mamit,1896,Zawlnuam,271019,Bungthuam
15,281,Mamit,1896,Zawlnuam,271020,Zawlpui
15,281,Mamit,1896,Zawlnuam,271021,Zamuang
15,281,Mamit,1896,Zawlnuam,271022,Rengdil
15,281,Mamit,1896,Zawlnuam,271023,W.Damdiai
15,281,Mamit,1896,Zawlnuam,271024,Kawrthah
15,281,Mamit,1896,Zawlnuam,271025,Tumpanglui
15,281,Mamit,1896,Zawlnuam,271026,Sotapa Veng
15,281,Mamit,1896,Zawlnuam,271027,Mualthuam
15,281,Mamit,1896,Zawlnuam,271028,Darlak
15,281,Mamit,1896,Zawlnuam,271029,Kawrtethawveng
15,281,Mamit,1896,Zawlnuam,271030,Serhmun
15,281,Mamit,1896,Zawlnuam,271031,Lahmun
15,281,Mamit,1896,Zawlnuam,271032,W.Lungpher
15,281,Mamit,1896,Zawlnuam,271033,W.Bunghmun
15,281,Mamit,1896,Zawlnuam,271034,Tuirum
15,281,Mamit,1896,Zawlnuam,271035,Khanthuam
15,281,Mamit,1896,Zawlnuam,271036,Dinthar Bethel
15,281,Mamit,1896,Zawlnuam,271037,Khamrang
15,281,Mamit,1896,Zawlnuam,271038,Setlak
15,281,Mamit,1896,Zawlnuam,271039,Saipuilui
15,281,Mamit,1896,Zawlnuam,271040,Dampui
15,281,Mamit,1896,Zawlnuam,271041,Nalzawl
15,281,Mamit,1896,Zawlnuam,271042,Bawngva
15,281,Mamit,1896,Zawlnuam,271043,Phaizau
15,281,Mamit,1896,Zawlnuam,271044,Tuidai
15,281,Mamit,1896,Zawlnuam,271045,K. Sarali
15,281,Mamit,1896,Zawlnuam,271046,Chilui
15,281,Mamit,1896,Zawlnuam,271047,N.Sabual
15,281,Mamit,1896,Zawlnuam,271048,N.Tlangkhang
15,281,Mamit,1896,Zawlnuam,271049,Sihthiang
