stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
13,0,NAGALAND,0,NAGALAND,0,NAGALAND
13,261,Mon,0,Mon,0,Mon
13,261,Mon,1744,Naginimora,0,Naginimora
13,261,Mon,1744,Naginimora,266967,Tiru (Lower)
13,261,Mon,1744,Naginimora,266968,Tiru (Upper)
13,261,Mon,1744,Naginimora,266969,Namthai
13,261,Mon,1744,Naginimora,266970,Hotahoti
13,261,Mon,1744,Naginimora,266971,Mahung (UR)
13,261,Mon,1744,Naginimora,266972,Kongon
13,261,Mon,1745,Tizit,0,Tizit
13,261,Mon,1745,Tizit,266973,Laokhun
13,261,Mon,1745,Tizit,266974,Tingalibam (Sakho)
13,261,Mon,1745,Tizit,266975,Yanpan
13,261,Mon,1745,Tizit,266976,Tela
13,261,Mon,1745,Tizit,266977,Tizit Hq
13,261,Mon,1745,Tizit,266978,Tekun (UR)
13,261,Mon,1745,Tizit,266979,Lapa
13,261,Mon,1745,Tizit,266980,Lapalampong (UR)
13,261,Mon,1745,Tizit,266981,Longlem
13,261,Mon,1745,Tizit,266982,Tizit Village
13,261,Mon,1745,Tizit,266983,Tekang (UR)
13,261,Mon,1745,Tizit,266984,Old Sangsa (UR)
13,261,Mon,1745,Tizit,266985,Sangsa
13,261,Mon,1745,Tizit,266986,Ngangtan (UR)
13,261,Mon,1745,Tizit,266987,Ngangting
13,261,Mon,1745,Tizit,266988,Zakho
13,261,Mon,1746,Hunta,0,Hunta
13,261,Mon,1746,Hunta,266989,Nokzang
13,261,Mon,1746,Hunta,266990,Joboka
13,261,Mon,1746,Hunta,266991,Neitong
13,261,Mon,1746,Hunta,266992,Hunta Hq
13,261,Mon,1746,Hunta,266993,Yannyu Laishan (UR)
13,261,Mon,1746,Hunta,266994,Laokhu
13,261,Mon,1746,Hunta,266995,Old Jaboka (UR)
13,261,Mon,1746,Hunta,266996,Longting
13,261,Mon,1746,Hunta,266997,Nokyan
13,261,Mon,1746,Hunta,266998,Yannyu
13,261,Mon,1747,Shangnyu,0,Shangnyu
13,261,Mon,1747,Shangnyu,266999,Zangkham Tingsa 
13,261,Mon,1747,Shangnyu,267000,Zangkham
13,261,Mon,1747,Shangnyu,267001,Nyasha
13,261,Mon,1747,Shangnyu,267002,Shangnyu
13,261,Mon,1747,Shangnyu,267003,Longpho
13,261,Mon,1748,Mon Sadar,0,Mon Sadar
13,261,Mon,1748,Mon Sadar,267004,Oting
13,261,Mon,1748,Mon Sadar,267005,Tekuk (UR)
13,261,Mon,1748,Mon Sadar,267006,Wangla
13,261,Mon,1748,Mon Sadar,267007,Goching
13,261,Mon,1748,Mon Sadar,267008,Tuimei
13,261,Mon,1748,Mon Sadar,267009,Phuktong
13,261,Mon,1748,Mon Sadar,267010,Lampongsheanghah
13,261,Mon,1748,Mon Sadar,267011,Hongphoi
13,261,Mon,1748,Mon Sadar,267012,Pongkong
13,261,Mon,1748,Mon Sadar,267013,Longkai
13,261,Mon,1748,Mon Sadar,267014,Leangnyu
13,261,Mon,1748,Mon Sadar,267015,Mon Village
13,261,Mon,1748,Mon Sadar,267016,Leangha
13,261,Mon,1748,Mon Sadar,267017,Chui
13,261,Mon,1748,Mon Sadar,267018,Totokchingnyu
13,261,Mon,1748,Mon Sadar,267019,Totok Chinglem (UR)
13,261,Mon,1748,Mon Sadar,267020,Totokchingha
13,261,Mon,1748,Mon Sadar,267021,Totokchingkho
13,261,Mon,1749,Wakching,0,Wakching
13,261,Mon,1749,Wakching,267022,Tanhai
13,261,Mon,1749,Wakching,267023,Wakching Hq
13,261,Mon,1749,Wakching,267024,Shiyong
13,261,Mon,1749,Wakching,267025,Lampong Wakching (UR)
13,261,Mon,1749,Wakching,267026,Wakching 
13,261,Mon,1749,Wakching,267027,Wakching Chingla Vill.
13,261,Mon,1749,Wakching,267028,Wanching
13,261,Mon,1749,Wakching,267029,Chingtang
13,261,Mon,1749,Wakching,267030,Chingphoi
