stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
7,0,NCT OF DELHI,0,NCT OF DELHI,0,NCT OF DELHI
7,90,North West,0,North West,0,North West
7,90,North West,430,Narela,0,Narela
7,90,North West,430,Narela,63866,Lam Pur
7,90,North West,430,Narela,63867,Mamoor Pur
7,90,North West,430,Narela,63868,Singhu
7,90,North West,430,Narela,63869,Singhola
7,90,North West,430,Narela,63870,Hamid Pur
7,90,North West,430,Narela,63871,Taj Pur Kalan
7,90,North West,430,Narela,63872,Akbar Pur Majra
7,90,North West,430,Narela,63873,Palla
7,90,North West,430,Narela,63874,Qullak Pur
7,90,North West,430,Narela,63875,Jhangola
7,90,North West,430,Narela,63876,Sunger Pur Shahdara  (un-inhabited)
7,90,North West,430,Narela,63877,Sunger Pur Delhi
7,90,North West,430,Narela,63878,Tigi Pur 
7,90,North West,430,Narela,63879,Fateh Pur Jat
7,90,North West,430,Narela,63880,Kham Pur
7,90,North West,430,Narela,63881,Shah Pur Garhi
7,90,North West,430,Narela,63882,Kureni
7,90,North West,430,Narela,63883,Raja Pur Kalan (Un-inhabited)
7,90,North West,430,Narela,63884,Sanoth 
7,90,North West,430,Narela,63885,Ghoga 
7,90,North West,430,Narela,63886,Hareoli
7,90,North West,430,Narela,63887,Ochandi
7,90,North West,430,Narela,63888,Mungesh Pur
7,90,North West,430,Narela,63889,Katewara
7,90,North West,430,Narela,63890,Bazid Pur Thakran
7,90,North West,430,Narela,63891,Nangal Thakran 
7,90,North West,430,Narela,63892,Sultan Pur Dabas
7,90,North West,430,Narela,63893,Iradat Nagar alias Naya Bans
7,90,North West,430,Narela,63894,Holambi Khurd
7,90,North West,430,Narela,63895,Holambi Kalan
7,90,North West,430,Narela,63896,Zind Pur
7,90,North West,430,Narela,63897,Hiranki
7,90,North West,430,Narela,63898,Mohd. Pur Ramzan Pur
7,90,North West,430,Narela,63899,Tehri Daulat Pur (Un-inhabited)
7,90,North West,430,Narela,63900,Garhi Khasru
7,90,North West,430,Narela,63901,Nangli Poona
7,90,North West,430,Narela,63902,Bodh Pur Bija Pur
7,90,North West,430,Narela,63903,Kankar Khera
7,90,North West,430,Narela,63904,Pansali
7,90,North West,430,Narela,63905,Bankner (CT)
7,90,North West,430,Narela,63906,Bhor Garh (CT)
7,90,North West,430,Narela,63907,Tikri Khurd (CT)
7,90,North West,430,Narela,63908,Bakhtawar Pur (CT)
7,90,North West,430,Narela,63909,Bankauli (CT)
7,90,North West,430,Narela,63910,Ali Pur (CT)
7,90,North West,430,Narela,63911,Mukhmel Pur (CT)
7,90,North West,430,Narela,63912,Ibrahim Pur (CT)
7,90,North West,430,Narela,63913,Qadi Pur (CT)
7,90,North West,430,Narela,63914,Libas Pur (CT)
7,90,North West,430,Narela,63915,Siras Pur (CT)
7,90,North West,430,Narela,63916,Khera Kalan (CT)
7,90,North West,430,Narela,63917,Sahibabad Daulat Pur (CT)
7,90,North West,430,Narela,63918,Pehlad Pur Bangar (CT)
7,90,North West,430,Narela,63919,Khera Khurd (CT)
7,90,North West,430,Narela,63920,Barwala (CT)
7,90,North West,430,Narela,63921,Pooth Khurd (CT)
7,90,North West,430,Narela,63922,Bawana (CT)
7,90,North West,430,Narela,63923,Darya Pur Kalan (CT)
7,90,North West,431,Saraswati Vihar,0,Saraswati Vihar
7,90,North West,431,Saraswati Vihar,63924,Punjab Khor
7,90,North West,431,Saraswati Vihar,63925,Jat Khor
7,90,North West,431,Saraswati Vihar,63926,Salah Pur Majra
7,90,North West,431,Saraswati Vihar,63927,Budhan Pur
7,90,North West,431,Saraswati Vihar,63928,Chand Pur
7,90,North West,431,Saraswati Vihar,63929,Madan Pur Dabas
7,90,North West,431,Saraswati Vihar,63930,Rasool Pur
7,90,North West,431,Saraswati Vihar,63931,Saoda
7,90,North West,431,Saraswati Vihar,63932,Chatesar
7,90,North West,431,Saraswati Vihar,63933,Jonti
7,90,North West,431,Saraswati Vihar,63934,Garhi Rindhala
7,90,North West,431,Saraswati Vihar,63935,Nizam Pur Rashid Pur
7,90,North West,431,Saraswati Vihar,63936,Qutab Garh (CT)
7,90,North West,431,Saraswati Vihar,63937,Lad Pur (CT)
7,90,North West,431,Saraswati Vihar,63938,Kanjhawala (CT)
7,90,North West,431,Saraswati Vihar,63939,Gheora (CT)
7,90,North West,431,Saraswati Vihar,63940,Rani Khera (CT)
7,90,North West,431,Saraswati Vihar,63941,Mubarak Pur Dabas (CT)
7,90,North West,431,Saraswati Vihar,63942,Kirari Suleman Nagar (CT)
7,90,North West,431,Saraswati Vihar,63943,Nithari (CT)
7,90,North West,431,Saraswati Vihar,63944,Mohammad Pur Majri (CT)
7,90,North West,431,Saraswati Vihar,63945,Karala (CT)
7,90,North West,431,Saraswati Vihar,63946,Begum Pur (CT)
7,90,North West,431,Saraswati Vihar,63947,Pooth Kalan (CT)
7,90,North West,431,Saraswati Vihar,63948,Sultan Pur Majra (CT)
7,90,North West,432,Model Town,0,Model Town
7,90,North West,432,Model Town,63949,Shanjar Pur(un-inhabited)
7,90,North West,432,Model Town,63950,Bhalswa Jahangir Pur (CT)
7,91,North,0,North,0,North
7,91,North,433,Civil Lines,0,Civil Lines
7,91,North,433,Civil Lines,63951,Salem Pur Majra Burari
7,91,North,433,Civil Lines,63952,Badar Pur Majra Burari
7,91,North,433,Civil Lines,63953,Jagat Pur ilaqa Shahdara (un-inhabited)
7,91,North,433,Civil Lines,63954,Jagat Pur ilaqa Delhi
7,91,North,433,Civil Lines,63955,Mukand Pur (CT)
7,91,North,433,Civil Lines,63956,Kamal Pur Majra Burari (CT)
7,91,North,433,Civil Lines,63957,Burari  (CT)
7,91,North,433,Civil Lines,63958,Jharoda Majra Burari  (CT)
7,91,North,434,Sadar Bazar,0,Sadar Bazar
7,91,North,435,Kotwali,0,Kotwali
7,92,North East,0,North East,0,North East
7,92,North East,436,Seelam Pur,0,Seelam Pur
7,92,North East,436,Seelam Pur,63959,Badar Pur Khadar
7,92,North East,436,Seelam Pur,63960,Pur Delhi
7,92,North East,436,Seelam Pur,63961,Pur Shahdara
7,92,North East,436,Seelam Pur,63962,Saba Pur Delhi
7,92,North East,436,Seelam Pur,63963,Saba Pur Shahdara
7,92,North East,436,Seelam Pur,63964,Sadat Pur Musalmanan (un-inhabited)
7,92,North East,436,Seelam Pur,63965,Bihari Pur
7,92,North East,436,Seelam Pur,63966,Sher Pur
7,92,North East,436,Seelam Pur,63967,Garhi Mendu
7,92,North East,436,Seelam Pur,63968,Sadat Pur Gujran (CT)
7,92,North East,436,Seelam Pur,63969,Baqiabad (CT)
7,92,North East,436,Seelam Pur,63970,Karawal Nagar (CT)
7,92,North East,436,Seelam Pur,63971,Dayal Pur (CT)
7,92,North East,436,Seelam Pur,63972,Jiwan Pur alias Johri Pur (CT)
7,92,North East,436,Seelam Pur,63973,Mustafabad (CT)
7,92,North East,436,Seelam Pur,63974,Khan Pur Dhani (CT)
7,92,North East,436,Seelam Pur,63975,Tukhmir Pur (CT)
7,92,North East,436,Seelam Pur,63976,Khajoori Khas (CT)
7,92,North East,436,Seelam Pur,63977,Mir Pur Turk (CT)
7,92,North East,436,Seelam Pur,63978,Ziauddin Pur (CT)
7,92,North East,436,Seelam Pur,63979,Gokal Pur (CT)
7,92,North East,437,Shahdara,0,Shahdara
7,92,North East,437,Shahdara,63980,Babar Pur (CT)
7,92,North East,437,Shahdara,63981,Jaffrabad (CT)
7,92,North East,438,Seema Puri,0,Seema Puri
7,92,North East,438,Seema Puri,63982,Mandoli (CT)
7,93,East,0,East,0,East
7,93,East,439,Gandhi Nagar,0,Gandhi Nagar
7,93,East,439,Gandhi Nagar,63983,Shakar Pur Baramad (CT)
7,93,East,440,Vivek Vihar,0,Vivek Vihar
7,93,East,441,Preet Vihar,0,Preet Vihar
7,93,East,441,Preet Vihar,63984,Shamas Pur
7,93,East,441,Preet Vihar,63985,Gharonda Neemka Bangar alias Patpar Ganj (CT)
7,93,East,441,Preet Vihar,63986,Gharoli (CT)
7,93,East,441,Preet Vihar,63987,Kondli (CT)
7,93,East,441,Preet Vihar,63988,Dallo Pura (CT)
7,93,East,441,Preet Vihar,63989,Chilla Saroda Bangar (CT)
7,93,East,441,Preet Vihar,63990,Chilla Saroda Khadar (CT)
7,94,New Delhi,0,New Delhi,0,New Delhi
7,94,New Delhi,442,Connaught Place,0,Connaught Place
7,94,New Delhi,443,Chanakya Puri,0,Chanakya Puri
7,94,New Delhi,444,Parliament Street,0,Parliament Street
7,95,Central,0,Central,0,Central
7,95,Central,445,Darya Ganj,0,Darya Ganj
7,95,Central,446,Pahar Ganj,0,Pahar Ganj
7,95,Central,447,Karol Bagh,0,Karol Bagh
7,96,West,0,West,0,West
7,96,West,448,Patel Nagar,0,Patel Nagar
7,96,West,448,Patel Nagar,63991,Hastsal (CT)
7,96,West,448,Patel Nagar,63992,Raja Pur Khurd (CT)
7,96,West,449,Rajouri Garden,0,Rajouri Garden
7,96,West,450,Punjabi Bagh,0,Punjabi Bagh
7,96,West,450,Punjabi Bagh,63993,Neel Wal
7,96,West,450,Punjabi Bagh,63994,Jaffar Pur alias Hiran Kudna
7,96,West,450,Punjabi Bagh,63995,Bapraula (CT)
7,96,West,450,Punjabi Bagh,63996,Tilang Pur Kotla (CT)
7,96,West,450,Punjabi Bagh,63997,Shafi Pur Ranhola (CT)
7,96,West,450,Punjabi Bagh,63998,Nilothi (CT)
7,96,West,450,Punjabi Bagh,63999,Nangloi Jat (CT)
7,96,West,450,Punjabi Bagh,64000,Quammruddin Nagar (CT)
7,96,West,450,Punjabi Bagh,64001,Mundka (CT)
7,96,West,450,Punjabi Bagh,64002,Bakkar Wala (CT)
7,96,West,450,Punjabi Bagh,64003,Tikri Kalan (CT)
7,97,South West,0,South West,0,South West
7,97,South West,451,Najafgarh,0,Najafgarh
7,97,South West,451,Najafgarh,64004,Dichaon Kalan
7,97,South West,451,Najafgarh,64005,Surakh Pur
