stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
34,0,PUDUCHERRY,0,PUDUCHERRY,0,PUDUCHERRY
34,634,Yanam,0,Yanam,0,Yanam
34,634,Yanam,5908,Yanam Taluk,0,Yanam Taluk
34,635,Puducherry,0,Puducherry,0,Puducherry
34,635,Puducherry,5909,Puducherry Taluk,0,Puducherry Taluk
34,635,Puducherry,5909,Puducherry Taluk,644917,Thimmanaickenpalayam
34,635,Puducherry,5909,Puducherry Taluk,644918,Abishegapakkam
34,635,Puducherry,5909,Puducherry Taluk,644919,Tavalakuppam
34,635,Puducherry,5909,Puducherry Taluk,644920,Purnankuppam
34,635,Puducherry,5909,Puducherry Taluk,644921,Ariankuppam (CT)
34,635,Puducherry,5909,Puducherry Taluk,644922,Manavely (CT)
34,635,Puducherry,5910,Ozhukarai Taluk,0,Ozhukarai Taluk
34,635,Puducherry,5911,Villianur Taluk,0,Villianur Taluk
34,635,Puducherry,5911,Villianur Taluk,644923,Manalipet
34,635,Puducherry,5911,Villianur Taluk,644924,Chettipet
34,635,Puducherry,5911,Villianur Taluk,644925,Suthukeny
34,635,Puducherry,5911,Villianur Taluk,644926,Pudukuppam
34,635,Puducherry,5911,Villianur Taluk,644927,Katteri
34,635,Puducherry,5911,Villianur Taluk,644928,Kuppam
34,635,Puducherry,5911,Villianur Taluk,644929,Thethampakkam
34,635,Puducherry,5911,Villianur Taluk,644930,Kodathur
34,635,Puducherry,5911,Villianur Taluk,644931,Kunichampet
34,635,Puducherry,5911,Villianur Taluk,644932,Mannadipet 
34,635,Puducherry,5911,Villianur Taluk,644933,Vadanur
34,635,Puducherry,5911,Villianur Taluk,644934,Sorapet
34,635,Puducherry,5911,Villianur Taluk,644935,Vambupet
34,635,Puducherry,5911,Villianur Taluk,644936,Sellipattu
34,635,Puducherry,5911,Villianur Taluk,644937,Sannasikuppam
34,635,Puducherry,5911,Villianur Taluk,644938,Kalithirthalkuppam
34,635,Puducherry,5911,Villianur Taluk,644939,Madagadipet
34,635,Puducherry,5911,Villianur Taluk,644940,Thirubuvanai
34,635,Puducherry,5911,Villianur Taluk,644941,Thiruvandarkoil
34,635,Puducherry,5911,Villianur Taluk,644942,Sedarapet
34,635,Puducherry,5911,Villianur Taluk,644943,Karasur
34,635,Puducherry,5911,Villianur Taluk,644944,Thuthipet
34,635,Puducherry,5911,Villianur Taluk,644945,Thondamanatham
34,635,Puducherry,5911,Villianur Taluk,644946,Ramanathapuram
34,635,Puducherry,5911,Villianur Taluk,644947,Pillaiyarkuppam
34,635,Puducherry,5911,Villianur Taluk,644948,Koodapakkam
34,635,Puducherry,5911,Villianur Taluk,644949,Ulaivaikkal
34,635,Puducherry,5911,Villianur Taluk,644950,Oussudu
34,635,Puducherry,5911,Villianur Taluk,644951,Arugur
34,635,Puducherry,5911,Villianur Taluk,644952,Kizhur
34,635,Puducherry,5911,Villianur Taluk,644953,Sathamangalam
34,635,Puducherry,5911,Villianur Taluk,644954,Mangalam
34,635,Puducherry,5911,Villianur Taluk,644955,Uruvaiyar
34,635,Puducherry,5911,Villianur Taluk,644956,Thirukanji
34,635,Puducherry,5911,Villianur Taluk,644957,Perungalur
34,635,Puducherry,5911,Villianur Taluk,644958,Manakuppam
34,635,Puducherry,5911,Villianur Taluk,644959,Villianur (CT)
34,635,Puducherry,5911,Villianur Taluk,644960,Odiampet (OG)
34,635,Puducherry,5912,Bahour Taluk,0,Bahour Taluk
34,635,Puducherry,5912,Bahour Taluk,644961,Madukkarai
34,635,Puducherry,5912,Bahour Taluk,644962,Kariamanickam
34,635,Puducherry,5912,Bahour Taluk,644963,Eripakkam
