stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
8,0,RAJASTHAN,0,RAJASTHAN,0,RAJASTHAN
8,99,Ganganagar ,0,Ganganagar ,0,Ganganagar 
8,99,Ganganagar ,457,Karanpur,0,Karanpur
8,99,Ganganagar ,457,Karanpur,64088,15 S
8,99,Ganganagar ,457,Karanpur,64089,14 S
8,99,Ganganagar ,457,Karanpur,64090,13 S-B
8,99,Ganganagar ,457,Karanpur,64091,13 S-A
8,99,Ganganagar ,457,Karanpur,64092,9 S-B
8,99,Ganganagar ,457,Karanpur,64093,9 S-A
8,99,Ganganagar ,457,Karanpur,64094,5 S-B
8,99,Ganganagar ,457,Karanpur,64095,5 S-A
8,99,Ganganagar ,457,Karanpur,64096,3 S
8,99,Ganganagar ,457,Karanpur,64097,1 S
8,99,Ganganagar ,457,Karanpur,64098,10 H
8,99,Ganganagar ,457,Karanpur,64099,1 R
8,99,Ganganagar ,457,Karanpur,64100,2 R
8,99,Ganganagar ,457,Karanpur,64101,4 R
8,99,Ganganagar ,457,Karanpur,64102,3 R
8,99,Ganganagar ,457,Karanpur,64103,12 H
8,99,Ganganagar ,457,Karanpur,64104,11 H
8,99,Ganganagar ,457,Karanpur,64105,2 S
8,99,Ganganagar ,457,Karanpur,64106,4 S
8,99,Ganganagar ,457,Karanpur,64107,6 S
8,99,Ganganagar ,457,Karanpur,64108,7 S
8,99,Ganganagar ,457,Karanpur,64109,8 S
8,99,Ganganagar ,457,Karanpur,64110,10 S
8,99,Ganganagar ,457,Karanpur,64111,11 S
8,99,Ganganagar ,457,Karanpur,64112,6 V
8,99,Ganganagar ,457,Karanpur,64113,12 S
8,99,Ganganagar ,457,Karanpur,64114,1 X
8,99,Ganganagar ,457,Karanpur,64115,2 X
8,99,Ganganagar ,457,Karanpur,64116,17 S
8,99,Ganganagar ,457,Karanpur,64117,16 S
8,99,Ganganagar ,457,Karanpur,64118,36 H
8,99,Ganganagar ,457,Karanpur,64119,34 H
8,99,Ganganagar ,457,Karanpur,64120,33 H
8,99,Ganganagar ,457,Karanpur,64121,28 H
8,99,Ganganagar ,457,Karanpur,64122,4 X
8,99,Ganganagar ,457,Karanpur,64123,3 X
8,99,Ganganagar ,457,Karanpur,64124,7 V
8,99,Ganganagar ,457,Karanpur,64125,26 H
8,99,Ganganagar ,457,Karanpur,64126,24 H-B
8,99,Ganganagar ,457,Karanpur,64127,8 V
8,99,Ganganagar ,457,Karanpur,64128,4 V
8,99,Ganganagar ,457,Karanpur,64129,24 H-A
8,99,Ganganagar ,457,Karanpur,64130,21 H
8,99,Ganganagar ,457,Karanpur,64131,3 V
8,99,Ganganagar ,457,Karanpur,64132,20 H
8,99,Ganganagar ,457,Karanpur,64133,1 V I
8,99,Ganganagar ,457,Karanpur,64134,1 V II
8,99,Ganganagar ,457,Karanpur,64135,2 V II
8,99,Ganganagar ,457,Karanpur,64136,2 V I
8,99,Ganganagar ,457,Karanpur,64137,18 H
8,99,Ganganagar ,457,Karanpur,64138,16/17 H
8,99,Ganganagar ,457,Karanpur,64139,13 H
8,99,Ganganagar ,457,Karanpur,64140,14 H
8,99,Ganganagar ,457,Karanpur,64141,15 H
8,99,Ganganagar ,457,Karanpur,64142,1 T
8,99,Ganganagar ,457,Karanpur,64143,2 T
8,99,Ganganagar ,457,Karanpur,64144,4 T
8,99,Ganganagar ,457,Karanpur,64145,3 T
8,99,Ganganagar ,457,Karanpur,64146,2 U
8,99,Ganganagar ,457,Karanpur,64147,5 U (RURAL)
8,99,Ganganagar ,457,Karanpur,64148,4 U(RURAL)
8,99,Ganganagar ,457,Karanpur,64149,19 F
8,99,Ganganagar ,457,Karanpur,64150,20 F
8,99,Ganganagar ,457,Karanpur,64151,3 U (RURAL)
8,99,Ganganagar ,457,Karanpur,64152,19 H
8,99,Ganganagar ,457,Karanpur,64153,1 W
8,99,Ganganagar ,457,Karanpur,64154,3 W
8,99,Ganganagar ,457,Karanpur,64155,2 W
8,99,Ganganagar ,457,Karanpur,64156,22 H
8,99,Ganganagar ,457,Karanpur,64157,23 H
8,99,Ganganagar ,457,Karanpur,64158,25 H
8,99,Ganganagar ,457,Karanpur,64159,27 H-A
8,99,Ganganagar ,457,Karanpur,64160,30 H
8,99,Ganganagar ,457,Karanpur,64161,27 H
8,99,Ganganagar ,457,Karanpur,64162,29 H
8,99,Ganganagar ,457,Karanpur,64163,32 H
8,99,Ganganagar ,457,Karanpur,64164,32 H-A
8,99,Ganganagar ,457,Karanpur,64165,35 H
8,99,Ganganagar ,457,Karanpur,64166,38 H
8,99,Ganganagar ,457,Karanpur,64167,37 H
8,99,Ganganagar ,457,Karanpur,64168,23 O
8,99,Ganganagar ,457,Karanpur,64169,42 H
8,99,Ganganagar ,457,Karanpur,64170,41 H
8,99,Ganganagar ,457,Karanpur,64171,39 H
8,99,Ganganagar ,457,Karanpur,64172,40 H-B
8,99,Ganganagar ,457,Karanpur,64173,40 H-A
8,99,Ganganagar ,457,Karanpur,64174,31 H
8,99,Ganganagar ,457,Karanpur,64175,14 O
8,99,Ganganagar ,457,Karanpur,64176,9 O
8,99,Ganganagar ,457,Karanpur,64177,8 O
8,99,Ganganagar ,457,Karanpur,64178,9 W
8,99,Ganganagar ,457,Karanpur,64179,8 W
8,99,Ganganagar ,457,Karanpur,64180,7 W
8,99,Ganganagar ,457,Karanpur,64181,6 W
8,99,Ganganagar ,457,Karanpur,64182,4 W
8,99,Ganganagar ,457,Karanpur,64183,5 W
8,99,Ganganagar ,457,Karanpur,64184,24 F
8,99,Ganganagar ,457,Karanpur,64185,22 F
8,99,Ganganagar ,457,Karanpur,64186,23 F
8,99,Ganganagar ,457,Karanpur,64187,21 F
8,99,Ganganagar ,457,Karanpur,64188,1 M
8,99,Ganganagar ,457,Karanpur,64189,2 M
8,99,Ganganagar ,457,Karanpur,64190,5 M
8,99,Ganganagar ,457,Karanpur,64191,6 M
8,99,Ganganagar ,457,Karanpur,64192,4 M
8,99,Ganganagar ,457,Karanpur,64193,26 F
8,99,Ganganagar ,457,Karanpur,64194,27 F
8,99,Ganganagar ,457,Karanpur,64195,28 F
8,99,Ganganagar ,457,Karanpur,64196,25 F
8,99,Ganganagar ,457,Karanpur,64197,2 N
8,99,Ganganagar ,457,Karanpur,64198,1 N
8,99,Ganganagar ,457,Karanpur,64199,10 W
8,99,Ganganagar ,457,Karanpur,64200,3 O
8,99,Ganganagar ,457,Karanpur,64201,4 O
8,99,Ganganagar ,457,Karanpur,64202,5 O
8,99,Ganganagar ,457,Karanpur,64203,6 O-B
8,99,Ganganagar ,457,Karanpur,64204,6 O-A
8,99,Ganganagar ,457,Karanpur,64205,11 O-B
8,99,Ganganagar ,457,Karanpur,64206,7 O
8,99,Ganganagar ,457,Karanpur,64207,11 O-A
8,99,Ganganagar ,457,Karanpur,64208,12 O
8,99,Ganganagar ,457,Karanpur,64209,15 O
8,99,Ganganagar ,457,Karanpur,64210,16 O
8,99,Ganganagar ,457,Karanpur,64211,13 O (RURAL)
8,99,Ganganagar ,457,Karanpur,64212,17 O
8,99,Ganganagar ,457,Karanpur,64213,19 O
8,99,Ganganagar ,457,Karanpur,64214,22 O-A
8,99,Ganganagar ,457,Karanpur,64215,21 O
8,99,Ganganagar ,457,Karanpur,64216,22 O-B
8,99,Ganganagar ,457,Karanpur,64217,24 O
8,99,Ganganagar ,457,Karanpur,64218,11 FA
8,99,Ganganagar ,457,Karanpur,64219,10 FA
8,99,Ganganagar ,457,Karanpur,64220,8 FA
8,99,Ganganagar ,457,Karanpur,64221,6 FA
8,99,Ganganagar ,457,Karanpur,64222,5 FA
8,99,Ganganagar ,457,Karanpur,64223,2 FA
8,99,Ganganagar ,457,Karanpur,64224,1 FA
8,99,Ganganagar ,457,Karanpur,64225,46 F (RURAL)
8,99,Ganganagar ,457,Karanpur,64226,45 F
8,99,Ganganagar ,457,Karanpur,64227,44 F
8,99,Ganganagar ,457,Karanpur,64228,43 F
8,99,Ganganagar ,457,Karanpur,64229,36 F
8,99,Ganganagar ,457,Karanpur,64230,10 O
8,99,Ganganagar ,457,Karanpur,64231,2 O
8,99,Ganganagar ,457,Karanpur,64232,1 O
8,99,Ganganagar ,457,Karanpur,64233,35 F
8,99,Ganganagar ,457,Karanpur,64234,34 F
8,99,Ganganagar ,457,Karanpur,64235,32 F
8,99,Ganganagar ,457,Karanpur,64236,30 F
8,99,Ganganagar ,457,Karanpur,64237,29 F
8,99,Ganganagar ,457,Karanpur,64238,31 F
8,99,Ganganagar ,457,Karanpur,64239,33 F
8,99,Ganganagar ,457,Karanpur,64240,37 F
8,99,Ganganagar ,457,Karanpur,64241,1 MM
8,99,Ganganagar ,457,Karanpur,64242,38 F
8,99,Ganganagar ,457,Karanpur,64243,39 F
8,99,Ganganagar ,457,Karanpur,64244,40 F
8,99,Ganganagar ,457,Karanpur,64245,41 F
8,99,Ganganagar ,457,Karanpur,64246,41 F-A
8,99,Ganganagar ,457,Karanpur,64247,42 F
8,99,Ganganagar ,457,Karanpur,64248,1 FF
8,99,Ganganagar ,457,Karanpur,64249,2 FF
8,99,Ganganagar ,457,Karanpur,64250,47 FA
8,99,Ganganagar ,457,Karanpur,64251,47 F
