stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
11,0,SIKKIM,0,SIKKIM,0,SIKKIM
11,241,North  District,0,North  District,0,North  District
11,241,North  District,1547,Chungthang,0,Tshungthang
11,241,North  District,1547,Chungthang,0,Chungthang
11,241,North  District,1547,Chungthang,260925,Lachen
11,241,North  District,1547,Chungthang,260926,Lachung
11,241,North  District,1547,Chungthang,260927,Chungthang
11,241,North  District,1547,Chungthang,260928,Shipgyer
11,241,North  District,1547,Chungthang,260929,Tung
11,241,North  District,1547,Chungthang,260930,Lachen Forest Block
11,241,North  District,1547,Chungthang,260931,Thangu Forest Block 
11,241,North  District,1547,Chungthang,260932,Lachung Forest Block
11,241,North  District,1547,Chungthang,260933,Tshungthang Forest Block
11,241,North  District,1548,Mangan,0,Mangan
11,241,North  District,1548,Mangan,260934,Naga-Namgor
11,241,North  District,1548,Mangan,260935,Meyong
11,241,North  District,1548,Mangan,260936,Singchit
11,241,North  District,1548,Mangan,260937,Pakshep
11,241,North  District,1548,Mangan,260938,Kazor 
11,241,North  District,1548,Mangan,260939,Sentam
11,241,North  District,1548,Mangan,260940,Salim Pakel
11,241,North  District,1548,Mangan,260941,Lingthem 
11,241,North  District,1548,Mangan,260942,Lingdem
11,241,North  District,1548,Mangan,260943,Tingbong
11,241,North  District,1548,Mangan,260944,Lingzah-Tolung
11,241,North  District,1548,Mangan,260945,Sakyong-Pentong
11,241,North  District,1548,Mangan,260946,Lum
11,241,North  District,1548,Mangan,260947,Sangtok
11,241,North  District,1548,Mangan,260948,Gor
11,241,North  District,1548,Mangan,260949,Gnon-Samdong
11,241,North  District,1548,Mangan,260950,Hee-Gyathang
11,241,North  District,1548,Mangan,260951,Barfok
11,241,North  District,1548,Mangan,260952,Lingdong
11,241,North  District,1548,Mangan,260953,Zimchung
11,241,North  District,1548,Mangan,260954,Singhik
11,241,North  District,1548,Mangan,260955,Ringhim
11,241,North  District,1548,Mangan,260956,Nampatam
11,241,North  District,1548,Mangan,260957,Tingchim
11,241,North  District,1548,Mangan,260958,U. Mangshila
11,241,North  District,1548,Mangan,260959,L. Mangshila
11,241,North  District,1548,Mangan,260960,Namok
11,241,North  District,1548,Mangan,260961,Sheyam
11,241,North  District,1548,Mangan,260962,Tangyek
11,241,North  District,1548,Mangan,260963,Ramthamg
11,241,North  District,1548,Mangan,260964,Rongong
11,241,North  District,1548,Mangan,260965,Tumlong
11,241,North  District,1548,Mangan,260966,Phodong
11,241,North  District,1548,Mangan,260967,Chawang
11,241,North  District,1548,Mangan,260968,Phamtam
11,241,North  District,1548,Mangan,260969,Men-Rongong
11,241,North  District,1548,Mangan,260970,Paney-Phensong
11,241,North  District,1548,Mangan,260971,Labi
11,241,North  District,1548,Mangan,260972,Kabi
11,241,North  District,1548,Mangan,260973,Tingda
11,241,North  District,1548,Mangan,260974,Upper Dzongu Forest Block
11,241,North  District,1548,Mangan,260975,Lower Dzongu Forest Block
11,241,North  District,1548,Mangan,260976,Naga Forest Block
11,241,North  District,1548,Mangan,260977,Mangan Forest Block
11,241,North  District,1548,Mangan,260978,Phodong Forest Block
11,241,North  District,1548,Mangan,260979,Kabi Forest Block
11,242,West District,0,West District,0,West District
11,242,West District,1549,Gyalshing,0,Gyalshing
11,242,West District,1549,Gyalshing,260980,Dubdi
11,242,West District,1549,Gyalshing,260981,Yuksam
11,242,West District,1549,Gyalshing,260982,Gerethang
11,242,West District,1549,Gyalshing,260983,Labing
11,242,West District,1549,Gyalshing,260984,Tsozo
11,242,West District,1549,Gyalshing,260985,Khachodpalri
11,242,West District,1549,Gyalshing,260986,Tingle I
11,242,West District,1549,Gyalshing,260987,Tingle II
11,242,West District,1549,Gyalshing,260988,Meli
11,242,West District,1549,Gyalshing,260989,Meliaching
11,242,West District,1549,Gyalshing,260990,Singlitam
11,242,West District,1549,Gyalshing,260991,Tingbrum
