stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
33,0,TAMIL NADU,0,TAMIL NADU,0,TAMIL NADU
33,602,Thiruvallur,0,Thiruvallur,0,Thiruvallur
33,602,Thiruvallur,5693,Gummidipoondi,0,Gummidipoondi
33,602,Thiruvallur,5693,Gummidipoondi,628548,Egumadurai
33,602,Thiruvallur,5693,Gummidipoondi,628549,Naidukuppam
33,602,Thiruvallur,5693,Gummidipoondi,628550,Arambakkam 
33,602,Thiruvallur,5693,Gummidipoondi,628551,Poovalai
33,602,Thiruvallur,5693,Gummidipoondi,628552,Kannambakkam
33,602,Thiruvallur,5693,Gummidipoondi,628553,Pallavada
33,602,Thiruvallur,5693,Gummidipoondi,628554,Sanaputhur
33,602,Thiruvallur,5693,Gummidipoondi,628555,Edur
33,602,Thiruvallur,5693,Gummidipoondi,628556,Medhipalayam
33,602,Thiruvallur,5693,Gummidipoondi,628557,Sunnambukkulam
33,602,Thiruvallur,5693,Gummidipoondi,628558,Obasamudram
33,602,Thiruvallur,5693,Gummidipoondi,628559,Melakalani
33,602,Thiruvallur,5693,Gummidipoondi,628560,Appavaram
33,602,Thiruvallur,5693,Gummidipoondi,628561,Sennavaram
33,602,Thiruvallur,5693,Gummidipoondi,628562,Natham
33,602,Thiruvallur,5693,Gummidipoondi,628563,Elavur
33,602,Thiruvallur,5693,Gummidipoondi,628564,Narasingapuram
33,602,Thiruvallur,5693,Gummidipoondi,628565,Thurapallam
33,602,Thiruvallur,5693,Gummidipoondi,628566,Peria obulapuram
33,602,Thiruvallur,5693,Gummidipoondi,628567,Eguvarpalayam
33,602,Thiruvallur,5693,Gummidipoondi,628568,Soorapundi
33,602,Thiruvallur,5693,Gummidipoondi,628569,Madaharpakkam (Part)
33,602,Thiruvallur,5693,Gummidipoondi,628570,Manellore
33,602,Thiruvallur,5693,Gummidipoondi,628571,Pondavakkam
33,602,Thiruvallur,5693,Gummidipoondi,628572,Chedilpakkam
33,602,Thiruvallur,5693,Gummidipoondi,628573,Nemalur
33,602,Thiruvallur,5693,Gummidipoondi,628574,Budur
33,602,Thiruvallur,5693,Gummidipoondi,628575,Dharkasthu Kandigam 
33,602,Thiruvallur,5693,Gummidipoondi,628576,Varnasikuppam 
33,602,Thiruvallur,5693,Gummidipoondi,628577,Kannankottai
33,602,Thiruvallur,5693,Gummidipoondi,628578,Siruvada
33,602,Thiruvallur,5693,Gummidipoondi,628579,Panchalai
33,602,Thiruvallur,5693,Gummidipoondi,628580,Vaniamallee
33,602,Thiruvallur,5693,Gummidipoondi,628581,Poovalambedu
33,602,Thiruvallur,5693,Gummidipoondi,628582,Chithoornatham
33,602,Thiruvallur,5693,Gummidipoondi,628583,Pappankuppam   
33,602,Thiruvallur,5693,Gummidipoondi,628584,Chinnaobulapuram
33,602,Thiruvallur,5693,Gummidipoondi,628585,Theruali
33,602,Thiruvallur,5693,Gummidipoondi,628586,Authupakkam
33,602,Thiruvallur,5693,Gummidipoondi,628587,Mangavaram
33,602,Thiruvallur,5693,Gummidipoondi,628588,Vazhuthalambedu
33,602,Thiruvallur,5693,Gummidipoondi,628589,Rettambedu
33,602,Thiruvallur,5693,Gummidipoondi,628590,Kuriviagaram
33,602,Thiruvallur,5693,Gummidipoondi,628591,Chinnasozhiambakkam
33,602,Thiruvallur,5693,Gummidipoondi,628592,Ayanallur  
33,602,Thiruvallur,5693,Gummidipoondi,628593,Enadhimelpakkam
33,602,Thiruvallur,5693,Gummidipoondi,628594,Peria Soliambakkam
33,602,Thiruvallur,5693,Gummidipoondi,628595,Paleswarankandigai
33,602,Thiruvallur,5693,Gummidipoondi,628596,Nangapallam   
33,602,Thiruvallur,5693,Gummidipoondi,628597,Kuruvattucheri
33,602,Thiruvallur,5693,Gummidipoondi,628598,Verkadu
33,602,Thiruvallur,5693,Gummidipoondi,628599,Pudugummidipundi
33,602,Thiruvallur,5693,Gummidipoondi,628600,Karumbukuppam
33,602,Thiruvallur,5693,Gummidipoondi,628601,Sinthalakuppam
33,602,Thiruvallur,5693,Gummidipoondi,628602,Sirupulalpettai  
33,602,Thiruvallur,5693,Gummidipoondi,628603,Amirthamangalam
33,602,Thiruvallur,5693,Gummidipoondi,628604,Chinnapuliyur
33,602,Thiruvallur,5693,Gummidipoondi,628605,Periapuliyur
33,602,Thiruvallur,5693,Gummidipoondi,628606,Kollanur
33,602,Thiruvallur,5693,Gummidipoondi,628607,Thervoy
33,602,Thiruvallur,5693,Gummidipoondi,628608,Karadipudur
33,602,Thiruvallur,5693,Gummidipoondi,628609,Madhavaram 
33,602,Thiruvallur,5693,Gummidipoondi,628610,Mukkarambakkam
33,602,Thiruvallur,5693,Gummidipoondi,628611,Nelvoy
33,602,Thiruvallur,5693,Gummidipoondi,628612,Paleswaram
33,602,Thiruvallur,5693,Gummidipoondi,628613,Venkuzhi
33,602,Thiruvallur,5693,Gummidipoondi,628614,Sepedu
33,602,Thiruvallur,5693,Gummidipoondi,628615,Manali
33,602,Thiruvallur,5693,Gummidipoondi,628616,Erukkuvoy
33,602,Thiruvallur,5693,Gummidipoondi,628617,Karani
33,602,Thiruvallur,5693,Gummidipoondi,628618,Pudupalayam
33,602,Thiruvallur,5693,Gummidipoondi,628619,Mangalam
33,602,Thiruvallur,5693,Gummidipoondi,628620,Palavakkam
33,602,Thiruvallur,5693,Gummidipoondi,628621,Kanlur
33,602,Thiruvallur,5693,Gummidipoondi,628622,Getnamallee
33,602,Thiruvallur,5693,Gummidipoondi,628623,Thandalacheri
33,602,Thiruvallur,5693,Gummidipoondi,628624,Annappa Naickankuppam
33,602,Thiruvallur,5693,Gummidipoondi,628625,Melmudalambedu
33,602,Thiruvallur,5693,Gummidipoondi,628626,Kilmudalambedu 
33,602,Thiruvallur,5693,Gummidipoondi,628627,Puduvoyal 
33,602,Thiruvallur,5693,Gummidipoondi,628628,Madaharpakkam (CT)
33,602,Thiruvallur,5693,Gummidipoondi,628629,Peddikuppam (CT)
33,602,Thiruvallur,5694,Ponneri,0,Ponneri
33,602,Thiruvallur,5694,Ponneri,628630,Poongulam 
33,602,Thiruvallur,5694,Ponneri,628631,Injur
33,602,Thiruvallur,5694,Ponneri,628632,Seliambedu
33,602,Thiruvallur,5694,Ponneri,628633,Mangodu
33,602,Thiruvallur,5694,Ponneri,628634,Keerapakkam
33,602,Thiruvallur,5694,Ponneri,628635,Kallur
33,602,Thiruvallur,5694,Ponneri,628636,Karimanal
33,602,Thiruvallur,5694,Ponneri,628637,Annamalaicheri
33,602,Thiruvallur,5694,Ponneri,628638,Periaveppathur
33,602,Thiruvallur,5694,Ponneri,628639,Chennaveppathur
33,602,Thiruvallur,5694,Ponneri,628640,Uppunelvoyal
33,602,Thiruvallur,5694,Ponneri,628641,Agaram
33,602,Thiruvallur,5694,Ponneri,628642,Devambattu
33,602,Thiruvallur,5694,Ponneri,628643,Kanganimedu
33,602,Thiruvallur,5694,Ponneri,628644,Umipedu
33,602,Thiruvallur,5694,Ponneri,628645,Senganyam
33,602,Thiruvallur,5694,Ponneri,628646,Periakarumbur
33,602,Thiruvallur,5694,Ponneri,628647,Panapakkam
33,602,Thiruvallur,5694,Ponneri,628648,Kumaranjeri
33,602,Thiruvallur,5694,Ponneri,628649,Ilupakkam
33,602,Thiruvallur,5694,Ponneri,628650,Kolur 
33,602,Thiruvallur,5694,Ponneri,628651,Sirulapakkam
33,602,Thiruvallur,5694,Ponneri,628652,Avurivakkam
33,602,Thiruvallur,5694,Ponneri,628653,Kanavanthurai
33,602,Thiruvallur,5694,Ponneri,628654,Pakkam
33,602,Thiruvallur,5694,Ponneri,628655,Thirupalaivanam
33,602,Thiruvallur,5694,Ponneri,628656,Poovami
33,602,Thiruvallur,5694,Ponneri,628657,Vembedu
33,602,Thiruvallur,5694,Ponneri,628658,Avoor
33,602,Thiruvallur,5694,Ponneri,628659,Vidathandalam
33,602,Thiruvallur,5694,Ponneri,628660,Arasur
33,602,Thiruvallur,5694,Ponneri,628661,Appalavaram
33,602,Thiruvallur,5694,Ponneri,628662,Andavoyal
33,602,Thiruvallur,5694,Ponneri,628663,Sombattu
33,602,Thiruvallur,5694,Ponneri,628664,Paranambedu
33,602,Thiruvallur,5694,Ponneri,628665,Kilikodi
33,602,Thiruvallur,5694,Ponneri,628666,Kattavur
33,602,Thiruvallur,5694,Ponneri,628667,Medur
33,602,Thiruvallur,5694,Ponneri,628668,Asanabudur
33,602,Thiruvallur,5694,Ponneri,628669,Vanjivakkam
33,602,Thiruvallur,5694,Ponneri,628670,Pralayambakkam
33,602,Thiruvallur,5694,Ponneri,628671,Andarmadam
33,602,Thiruvallur,5694,Ponneri,628672,Pulicut  
33,602,Thiruvallur,5694,Ponneri,628673,Thangalperumbalam
33,602,Thiruvallur,5694,Ponneri,628674,Sirupazhaverkadu
33,602,Thiruvallur,5694,Ponneri,628675,Kadapakkam
33,602,Thiruvallur,5694,Ponneri,628676,Thathamanji
33,602,Thiruvallur,5694,Ponneri,628677,Ernakuracheri
33,602,Thiruvallur,5694,Ponneri,628678,Perumbedu  
33,602,Thiruvallur,5694,Ponneri,628679,Chinnakavanam 
33,602,Thiruvallur,5694,Ponneri,628680,Guduvanjeri
33,602,Thiruvallur,5694,Ponneri,628681,Kanagavallipuram
33,602,Thiruvallur,5694,Ponneri,628682,Thirupair
33,602,Thiruvallur,5694,Ponneri,628683,Elaimbedu
33,602,Thiruvallur,5694,Ponneri,628684,Lingapayampettai
33,602,Thiruvallur,5694,Ponneri,628685,Somanjeri
33,602,Thiruvallur,5694,Ponneri,628686,Athamanjeri
33,602,Thiruvallur,5694,Ponneri,628687,Sirulapooncheri
33,602,Thiruvallur,5694,Ponneri,628688,Kattoor
33,602,Thiruvallur,5694,Ponneri,628689,Abrahampuram
33,602,Thiruvallur,5694,Ponneri,628690,Karungali
33,602,Thiruvallur,5694,Ponneri,628691,Kalanji
33,602,Thiruvallur,5694,Ponneri,628692,Kattupalli
33,602,Thiruvallur,5694,Ponneri,628693,Voyalur
33,602,Thiruvallur,5694,Ponneri,628694,Thiruvellavoyal
33,602,Thiruvallur,5694,Ponneri,628695,Eripillaikuppam
33,602,Thiruvallur,5694,Ponneri,628696,Velur
33,602,Thiruvallur,5694,Ponneri,628697,Siruvelur
33,602,Thiruvallur,5694,Ponneri,628698,Aladu  
33,602,Thiruvallur,5694,Ponneri,628699,Kumarasirulapakkam
33,602,Thiruvallur,5694,Ponneri,628700,Kaniambakkam
33,602,Thiruvallur,5694,Ponneri,628701,Kadamanjeri
33,602,Thiruvallur,5694,Ponneri,628702,Thinaipakkam
33,602,Thiruvallur,5694,Ponneri,628703,Marattoor
33,602,Thiruvallur,5694,Ponneri,628704,Devadanam
33,602,Thiruvallur,5694,Ponneri,628705,Thadaperumbakkam  
