stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
16,0,TRIPURA,0,TRIPURA,0,TRIPURA
16,289,West Tripura ,0,West Tripura ,0,West Tripura 
16,289,West Tripura ,1922,Mohanpur,0,Mohanpur
16,289,West Tripura ,1922,Mohanpur,271843,Paschim Simna (Part)
16,289,West Tripura ,1922,Mohanpur,271844,Megliband  (Part)
16,289,West Tripura ,1922,Mohanpur,271845,Ishanpur(Part)
16,289,West Tripura ,1922,Mohanpur,271846,Mantala(Part)
16,289,West Tripura ,1922,Mohanpur,271847,Kalachhara
16,289,West Tripura ,1922,Mohanpur,271848,Bejoynagar
16,289,West Tripura ,1922,Mohanpur,271849,Mohanpur(Part)
16,289,West Tripura ,1922,Mohanpur,271850,Noagaon(Part)
16,289,West Tripura ,1922,Mohanpur,271851,Kalkalia
16,289,West Tripura ,1922,Mohanpur,271852,Bamutia
16,289,West Tripura ,1922,Mohanpur,271853,Fatikchhara
16,289,West Tripura ,1922,Mohanpur,271854,Laxmilunga
16,289,West Tripura ,1922,Mohanpur,271855,Lankamura (Part)
16,289,West Tripura ,1922,Mohanpur,271856,Ramnagar (Part) (Minabari)
16,289,West Tripura ,1922,Mohanpur,271857,Barjala (Part)
16,289,West Tripura ,1922,Mohanpur,271858,Kunjaban (Part) 
16,289,West Tripura ,1922,Mohanpur,271859,Debendrachandranagar (Part)
16,289,West Tripura ,1922,Mohanpur,271860,Bodhjongnagar
16,289,West Tripura ,1922,Mohanpur,271861,Tulabagan
16,289,West Tripura ,1922,Mohanpur,271862,Uttar Debendrachandranagar
16,289,West Tripura ,1922,Mohanpur,271863,Taranagar (CT)
16,289,West Tripura ,1922,Mohanpur,271864,Narsingarh (CT)
16,289,West Tripura ,1922,Mohanpur,271865,Singarbil (CT)
16,289,West Tripura ,1922,Mohanpur,271866,Gandhigram (CT)
16,289,West Tripura ,1923,Hezamara,0,Hezamara
16,289,West Tripura ,1923,Hezamara,271867,Paschim Simna (Part)
16,289,West Tripura ,1923,Hezamara,271868,Megliband (Part)
16,289,West Tripura ,1923,Hezamara,271869,Purba Simna
16,289,West Tripura ,1923,Hezamara,271870,Uttar Dashgharia
16,289,West Tripura ,1923,Hezamara,271871,Sankhola
16,289,West Tripura ,1923,Hezamara,271872,Ishanpur(Part)
16,289,West Tripura ,1923,Hezamara,271873,Baluaban
16,289,West Tripura ,1923,Hezamara,271874,Mantala(Part)
16,289,West Tripura ,1923,Hezamara,271875,Baikunthapur
16,289,West Tripura ,1923,Hezamara,271876,Dakshin Dashgharia
16,289,West Tripura ,1923,Hezamara,271877,Subalsingh
16,289,West Tripura ,1923,Hezamara,271878,Kamukchhara
16,289,West Tripura ,1923,Hezamara,271879,Surendranagar
