stcode,dtcode,disticname,sdtcode,subdisticname,tvcode,villagename
5,0,UTTARAKHAND,0,UTTARAKHAND,0,UTTARAKHAND
5,56,Uttarkashi,0,Uttarkashi,0,Uttarkashi
5,56,Uttarkashi,278,Puraula,0,Puraula
5,56,Uttarkashi,278,Puraula,40101,Bestiwalli
5,56,Uttarkashi,278,Puraula,40102,Besti Palli
5,56,Uttarkashi,278,Puraula,40103,Rama Gaon
5,56,Uttarkashi,278,Puraula,40104,Raun
5,56,Uttarkashi,278,Puraula,40105,Gundiyar Gaon
5,56,Uttarkashi,278,Puraula,40106,Nagjhala
5,56,Uttarkashi,278,Puraula,40107,Pora
5,56,Uttarkashi,278,Puraula,40108,Sukdala
5,56,Uttarkashi,278,Puraula,40109,Moltari Rajputonki
5,56,Uttarkashi,278,Puraula,40110,Dhikal Gaon
5,56,Uttarkashi,278,Puraula,40111,Dokhariyani
5,56,Uttarkashi,278,Puraula,40112,Syaluka
5,56,Uttarkashi,278,Puraula,40113,Sar Gaon
5,56,Uttarkashi,278,Puraula,40114,Kaslaun
5,56,Uttarkashi,278,Puraula,40115,Lewtari
5,56,Uttarkashi,278,Puraula,40116,Digari
5,56,Uttarkashi,278,Puraula,40117,Kimdar
5,56,Uttarkashi,278,Puraula,40118,Chhanika
5,56,Uttarkashi,278,Puraula,40119,Paunti
5,56,Uttarkashi,278,Puraula,40120,Gaul
5,56,Uttarkashi,278,Puraula,40121,Kurara
5,56,Uttarkashi,278,Puraula,40122,Chhara
5,56,Uttarkashi,278,Puraula,40123,Angora
5,56,Uttarkashi,278,Puraula,40124,Shreekot
5,56,Uttarkashi,278,Puraula,40125,Dhundada
5,56,Uttarkashi,278,Puraula,40126,Dhyoralagasunali
5,56,Uttarkashi,278,Puraula,40127,Suranukiseri
5,56,Uttarkashi,278,Puraula,40128,Dhyoralagakhadkyasem
5,56,Uttarkashi,278,Puraula,40129,Sunali
5,56,Uttarkashi,278,Puraula,40130,Bhadrali
5,56,Uttarkashi,278,Puraula,40131,Kharkyasem
5,56,Uttarkashi,278,Puraula,40132,Kumarkot
5,56,Uttarkashi,278,Puraula,40133,Moltari
5,56,Uttarkashi,278,Puraula,40134,Dhampur
