id,state_name
AN,Andaman and Nicobar Islands
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BR,Bihar
CG,Chandigarh
CH,Chhattisgarh
DH,Dadra and Nagar Haveli
DD,Daman and Diu
DL,Delhi
GA,Goa
GJ,Gujarat
HR,Haryana
HP,Himachal Pradesh
JK,Jammu and Kashmir
JH,Jharkhand
KA,Karnataka
KL,Kerala
LD,Lakshadweep
MP,Madhya Pradesh
MH,Maharashtra
MN,Manipur
ML,Meghalaya
MZ,Mizoram
NL,Nagaland
OR,Odisha
PY,Puducherry
PB,Punjab
RJ,Rajasthan
SK,Sikkim
TN,Tamil Nadu
TS,Telangana
TR,Tripura
UK,Uttar Pradesh
UP,Uttarakhand
WB,West Bengal
